BOLLStrategy_26_1.0,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-02 00:00:00,BTCUSDT,LONG,100,Binance,6983.36,698.336
2018-04-04 07:00:00,BTCUSDT,CLOSE,100,Binance,7304.31,730.431
2018-04-07 01:00:00,BTCUSDT,LONG,100,Binance,6830.0,683.0
2018-04-09 10:00:00,BTCUSDT,CLOSE,100,Binance,6782.0,678.2
2018-04-10 15:00:00,BTCUSDT,LONG,100,Binance,6837.54,683.754
2018-04-12 06:00:00,BTCUSDT,CLOSE,100,Binance,6776.4,677.64
2018-04-12 11:00:00,BTCUSDT,LONG,100,Binance,7693.0,769.3000000000001
2018-04-14 10:00:00,BTCUSDT,CLOSE,100,Binance,7936.34,793.634
2018-04-14 20:00:00,BTCUSDT,LONG,100,Binance,8077.96,807.796
2018-04-16 02:00:00,BTCUSDT,CLOSE,100,Binance,8119.0,811.9000000000001
2018-04-17 07:00:00,BTCUSDT,LONG,100,Binance,8138.6,813.8600000000001
2018-04-17 18:00:00,BTCUSDT,CLOSE,100,Binance,7945.17,794.517
2018-04-18 06:00:00,BTCUSDT,LONG,100,Binance,8125.0,812.5
2018-04-22 23:00:00,BTCUSDT,CLOSE,100,Binance,8787.02,878.7020000000001
2018-04-23 07:00:00,BTCUSDT,LONG,100,Binance,8943.0,894.3000000000001
2018-04-23 19:00:00,BTCUSDT,CLOSE,100,Binance,8847.37,884.7370000000001
2018-04-23 20:00:00,BTCUSDT,LONG,100,Binance,8924.11,892.4110000000001
2018-04-25 04:00:00,BTCUSDT,CLOSE,100,Binance,9200.0,920.0
2018-04-26 20:00:00,BTCUSDT,LONG,100,Binance,9123.99,912.399
2018-04-27 20:00:00,BTCUSDT,CLOSE,100,Binance,8970.0,897.0
2018-04-28 12:00:00,BTCUSDT,LONG,100,Binance,9378.07,937.807
2018-04-29 10:00:00,BTCUSDT,CLOSE,100,Binance,9210.03,921.0030000000002
2018-05-02 02:00:00,BTCUSDT,LONG,100,Binance,9047.0,904.7
2018-05-06 05:00:00,BTCUSDT,CLOSE,100,Binance,9751.15,975.115
2018-05-08 01:00:00,BTCUSDT,LONG,100,Binance,9420.0,942.0
2018-05-08 09:00:00,BTCUSDT,CLOSE,100,Binance,9310.0,931.0
2018-05-09 11:00:00,BTCUSDT,LONG,100,Binance,9258.13,925.813
2018-05-10 17:00:00,BTCUSDT,CLOSE,100,Binance,9157.55,915.755
2018-05-12 12:00:00,BTCUSDT,LONG,100,Binance,8631.31,863.131
2018-05-12 15:00:00,BTCUSDT,CLOSE,100,Binance,8313.13,831.313
2018-05-13 09:00:00,BTCUSDT,LONG,100,Binance,8576.0,857.6
2018-05-14 03:00:00,BTCUSDT,CLOSE,100,Binance,8390.0,839.0
2018-05-14 13:00:00,BTCUSDT,LONG,100,Binance,8680.0,868.0
2018-05-15 14:00:00,BTCUSDT,CLOSE,100,Binance,8500.0,850.0
2018-05-17 01:00:00,BTCUSDT,LONG,100,Binance,8369.81,836.981
2018-05-17 17:00:00,BTCUSDT,CLOSE,100,Binance,8243.51,824.3510000000001
2018-05-18 18:00:00,BTCUSDT,LONG,100,Binance,8200.0,820.0
2018-05-19 21:00:00,BTCUSDT,CLOSE,100,Binance,8189.0,818.9000000000001
2018-05-20 09:00:00,BTCUSDT,LONG,100,Binance,8360.0,836.0
2018-05-21 14:00:00,BTCUSDT,CLOSE,100,Binance,8396.01,839.6010000000001
2018-05-26 07:00:00,BTCUSDT,LONG,100,Binance,7550.0,755.0
2018-05-26 22:00:00,BTCUSDT,CLOSE,100,Binance,7327.28,732.7280000000001
2018-05-27 23:00:00,BTCUSDT,LONG,100,Binance,7338.99,733.899
2018-05-28 05:00:00,BTCUSDT,CLOSE,100,Binance,7185.58,718.558
2018-05-29 11:00:00,BTCUSDT,LONG,100,Binance,7405.61,740.561
2018-05-30 14:00:00,BTCUSDT,CLOSE,100,Binance,7374.45,737.445
