,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,long_window,short_window
66,-7.91%,5.78%,15.36%,5 days 02:00:00.000000000,88.50%,58.84786719985783,2509,3.4771193899347312,6.076291660000003,59%,17,-16.21%,2 days 14:00:00.000000000,120,60
41,-8.35%,12.34%,43.37%,8 days 04:06:00.000000000,143.45%,55.97602504824596,2509,3.589725119363584,5.833744079999997,40%,10,-12.86%,0 days 14:00:00.000000000,252,26
58,-5.00%,2.90%,10.80%,3 days 06:20:46.000000000,27.48%,51.97842860707313,2017,3.2021011549162597,5.811613439999993,50%,26,-9.75%,2 days 00:00:00.000000000,72,45
44,-4.26%,2.38%,9.90%,2 days 14:50:38.000000000,36.34%,45.07709717546229,2735,3.4259809820942984,5.584516210000004,47%,32,-9.63%,0 days 23:00:00.000000000,60,30
71,-9.34%,13.51%,43.99%,11 days 13:17:09.000000000,92.00%,59.922242927910006,2509,3.3582401907855823,5.550184369999999,43%,7,-16.42%,2 days 06:00:00.000000000,252,72
16,-4.81%,1.77%,8.64%,1 days 18:10:13.000000000,30.61%,53.33849573334351,2509,3.2932888204749706,5.42941377,49%,47,-13.33%,0 days 04:00:00.000000000,45,10
74,-9.96%,11.30%,32.57%,10 days 03:07:30.000000000,98.63%,55.450175977270334,2509,3.3119877332357013,5.33123291,50%,8,-11.93%,5 days 09:00:00.000000000,252,84
8,-2.97%,1.89%,16.47%,1 days 21:54:33.000000000,31.21%,58.67006182715314,2735,3.002402804551781,5.192655630000004,25%,44,-7.83%,0 days 10:00:00.000000000,84,5
64,-5.31%,3.28%,9.90%,3 days 14:54:47.000000000,26.52%,58.790539104465964,2735,3.021890489397371,5.161873620000008,57%,23,-13.09%,2 days 03:00:00.000000000,84,60
14,-3.35%,1.16%,6.98%,1 days 03:27:03.000000000,30.10%,56.324146163559774,2509,3.2134892564735007,4.9477026499999965,44%,71,-14.89%,0 days 23:00:00.000000000,30,10
9,-2.81%,1.97%,13.91%,2 days 00:30:00.000000000,39.28%,61.86200833275935,2735,2.9293141125582394,4.923159430000006,29%,42,-7.23%,1 days 02:00:00.000000000,96,5
51,-5.22%,2.34%,10.39%,2 days 17:07:45.000000000,30.79%,54.51255084319098,2735,3.072863853901697,4.678176680000001,48%,31,-11.25%,1 days 02:00:00.000000000,60,35
36,-4.96%,2.30%,10.61%,2 days 19:04:00.000000000,33.99%,52.25451906477835,2276,3.2101204661421403,4.538335619999995,47%,30,-11.00%,0 days 23:00:00.000000000,60,26
33,-3.07%,0.96%,5.17%,0 days 20:30:00.000000000,31.85%,56.46652199179354,2509,3.1375211200206614,4.323291779999998,49%,94,-15.95%,0 days 19:00:00.000000000,30,26
69,-6.75%,3.32%,16.75%,4 days 00:28:34.000000000,38.17%,58.168555752077566,2017,3.057001335939415,4.290305339999994,43%,21,-19.04%,3 days 00:00:00.000000000,96,72
2,-2.64%,0.83%,6.81%,0 days 20:26:56.000000000,28.81%,69.46335572090483,2509,2.6387323418994764,4.018119340000011,37%,98,-10.95%,1 days 03:00:00.000000000,26,5
3,-2.54%,0.88%,6.96%,0 days 22:20:54.000000000,28.12%,58.83460669352009,2509,2.7499383917803395,4.014599750000008,36%,89,-10.56%,0 days 05:00:00.000000000,30,5
13,-3.16%,0.95%,6.94%,0 days 22:46:45.000000000,28.55%,62.514724219341176,2039,2.782244589519043,3.9530806100000175,41%,86,-11.13%,0 days 09:00:00.000000000,26,10
54,-3.03%,3.31%,12.82%,4 days 04:09:00.000000000,22.82%,73.42112498635262,2735,2.7115381125549916,3.876385319999999,40%,20,-7.58%,2 days 15:00:00.000000000,96,35
65,-7.05%,3.37%,13.78%,4 days 04:54:00.000000000,39.90%,61.41636461757955,2509,2.688411378032463,3.824756849999998,50%,20,-13.48%,2 days 10:00:00.000000000,96,60
48,-5.04%,3.73%,14.71%,4 days 16:30:00.000000000,28.22%,67.42143498547337,2735,2.9221165427580007,3.824519919999994,44%,18,-17.93%,2 days 05:00:00.000000000,120,30
5,-3.77%,1.19%,6.48%,1 days 07:53:14.000000000,29.69%,68.42182030462229,2509,2.6684837679017512,3.6497425999999997,48%,62,-16.97%,0 days 15:00:00.000000000,45,5
40,-5.27%,3.45%,18.39%,4 days 10:25:16.000000000,30.03%,72.63039576716783,2509,2.765942560166161,3.3957997200000003,37%,19,-16.91%,2 days 06:00:00.000000000,120,26
68,-5.68%,2.32%,10.94%,3 days 03:00:00.000000000,31.31%,67.42523735562281,2735,2.713029058668577,3.338411050000005,48%,27,-12.64%,2 days 06:00:00.000000000,84,72
31,-5.11%,2.37%,11.73%,3 days 03:37:47.000000000,27.60%,79.3565856727827,2509,2.5523321795690124,3.126661940000007,44%,27,-10.96%,2 days 05:00:00.000000000,120,12
34,-3.99%,1.33%,8.83%,1 days 12:41:53.000000000,34.37%,75.46551974026467,2509,2.6270634794047147,3.0491495999999954,42%,53,-15.38%,0 days 17:00:00.000000000,35,26
70,-8.16%,5.15%,22.26%,5 days 08:56:15.000000000,97.26%,77.76792259347862,2509,2.6883596608292484,2.9228928900000035,44%,16,-19.91%,2 days 17:00:00.000000000,120,72
10,-3.41%,1.41%,11.87%,2 days 06:12:38.000000000,27.04%,77.82470725100349,2735,2.4558445405141,2.8486030800000077,32%,38,-8.70%,0 days 11:00:00.000000000,120,5
63,-4.71%,1.76%,9.16%,2 days 19:56:00.000000000,22.43%,72.29622128825433,2735,2.4305742103869092,2.7979393599999964,47%,30,-11.11%,1 days 09:00:00.000000000,72,60
6,-2.97%,1.04%,9.46%,1 days 08:32:54.000000000,39.78%,70.48449150319675,2509,2.344794833259867,2.5585364299999958,32%,62,-12.24%,0 days 11:00:00.000000000,60,5
21,-3.78%,1.61%,12.40%,2 days 14:14:33.000000000,25.39%,81.57375175964992,2509,2.317290302075553,2.383401120000002,33%,33,-12.72%,1 days 17:00:00.000000000,120,10
11,-3.37%,3.81%,41.53%,3 days 05:55:12.000000000,134.13%,78.16793264126622,2509,2.3787766962060197,2.256218160000002,16%,25,-8.42%,0 days 04:00:00.000000000,252,5
60,-4.81%,2.60%,13.71%,4 days 04:12:00.000000000,24.39%,78.15539501173745,2735,2.2610230142216774,2.221657519999995,40%,20,-11.26%,2 days 06:00:00.000000000,96,45
75,-9.01%,3.67%,15.08%,4 days 12:56:51.000000000,89.19%,89.81149278860549,2509,2.116546105361717,1.7200366599999999,53%,19,-23.69%,3 days 22:00:00.000000000,120,96
77,-8.30%,4.67%,26.29%,9 days 16:52:30.000000000,53.51%,82.27299525785135,2509,2.051676430684418,1.453809400000003,38%,8,-15.85%,6 days 11:00:00.000000000,252,120
73,-9.08%,3.89%,23.34%,5 days 18:08:00.000000000,94.31%,86.47573833656394,2509,1.8649274213064562,1.172382519999994,40%,15,-17.72%,3 days 17:00:00.000000000,120,84
43,-4.85%,0.98%,9.91%,2 days 03:17:22.000000000,29.27%,86.9350810428543,2276,1.631770136570524,0.7406986899999937,39%,38,-15.44%,0 days 13:00:00.000000000,45,30
76,-9.72%,4.30%,32.34%,8 days 20:40:00.000000000,77.91%,89.58713568817726,2509,1.5137092561755239,0.4685629300000007,33%,9,-14.92%,6 days 20:00:00.000000000,252,96
59,-4.24%,1.54%,13.93%,3 days 19:38:11.000000000,26.10%,104.3024246461776,2735,-1.6087016983192863,0.06643492999999778,32%,22,-9.58%,1 days 06:00:00.000000000,84,45
35,-4.85%,0.98%,9.53%,2 days 04:58:23.000000000,29.51%,91.54782771099163,2276,1.2479150819937435,0.0434037899999995,41%,37,-20.78%,0 days 14:00:00.000000000,45,26
50,-5.88%,0.41%,6.69%,1 days 22:38:34.000000000,26.03%,106.03595935942285,2276,-1.0926067940291266,-1.5213549000000057,50%,42,-13.23%,1 days 06:00:00.000000000,45,35
42,-3.63%,-0.04%,5.99%,1 days 02:00:00.000000000,28.02%,132.43882971799627,2509,-1.0150072089942073,-4.656713519999995,37%,75,-14.37%,0 days 15:00:00.000000000,35,30
12,-2.64%,-0.04%,3.16%,0 days 08:13:05.000000000,16.78%,185.57329484791032,2522,1.5008301415236556,-7.894754079999984,45%,243,-11.19%,0 days 09:00:00.000000000,12,10
0,-2.57%,-0.18%,3.42%,0 days 09:50:46.000000000,21.27%,239.8120166211279,2735,-1.5310974668999078,-11.933448819999983,40%,208,-13.71%,0 days 04:00:00.000000000,10,5
1,-2.59%,-0.23%,4.11%,0 days 10:44:32.000000000,21.27%,247.40553584422193,2735,2.523576258445976,-12.025394399999985,35%,190,-10.43%,0 days 11:00:00.000000000,12,5
