ADXStrategy_120,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-01 01:00:00,BTCUSDT,LONG,100,Binance,7000.01,700.0010000000001
2018-04-01 02:00:00,BTCUSDT,SHORT,100,Binance,6924.79,692.479
2018-04-02 07:00:00,BTCUSDT,LONG,100,Binance,7060.23,706.023
2018-04-02 14:00:00,BTCUSDT,SHORT,100,Binance,6906.0,690.6
2018-04-03 02:00:00,BTCUSDT,LONG,100,Binance,7169.99,716.999
2018-04-04 14:00:00,BTCUSDT,SHORT,100,Binance,6870.5,687.0500000000001
2018-04-06 14:00:00,BTCUSDT,LONG,100,Binance,6590.0,659.0
2018-04-06 15:00:00,BTCUSDT,SHORT,100,Binance,6580.01,658.0010000000001
2018-04-10 01:00:00,BTCUSDT,LONG,100,Binance,6740.11,674.011
2018-04-10 03:00:00,BTCUSDT,SHORT,100,Binance,6805.63,680.5630000000001
2018-04-10 12:00:00,BTCUSDT,LONG,100,Binance,6755.04,675.504
2018-04-10 13:00:00,BTCUSDT,SHORT,100,Binance,6761.99,676.1990000000001
2018-04-10 15:00:00,BTCUSDT,LONG,100,Binance,6837.54,683.754
2018-04-10 22:00:00,BTCUSDT,SHORT,100,Binance,6792.6,679.2600000000001
2018-04-11 06:00:00,BTCUSDT,LONG,100,Binance,6833.07,683.307
2018-04-12 01:00:00,BTCUSDT,SHORT,100,Binance,6939.99,693.999
2018-04-12 02:00:00,BTCUSDT,LONG,100,Binance,6964.0,696.4000000000001
2018-04-12 03:00:00,BTCUSDT,SHORT,100,Binance,6965.2,696.52
2018-04-12 11:00:00,BTCUSDT,LONG,100,Binance,7693.0,769.3000000000001
2018-04-17 19:00:00,BTCUSDT,SHORT,100,Binance,7874.0,787.4000000000001
2018-04-21 02:00:00,BTCUSDT,LONG,100,Binance,8849.46,884.9459999999999
2018-04-25 22:00:00,BTCUSDT,SHORT,100,Binance,8955.0,895.5
2018-05-03 20:00:00,BTCUSDT,LONG,100,Binance,9682.0,968.2
2018-05-04 00:00:00,BTCUSDT,SHORT,100,Binance,9599.0,959.9000000000001
2018-05-04 08:00:00,BTCUSDT,LONG,100,Binance,9798.5,979.85
2018-05-04 15:00:00,BTCUSDT,SHORT,100,Binance,9614.67,961.4670000000001
2018-05-04 17:00:00,BTCUSDT,LONG,100,Binance,9665.0,966.5
2018-05-07 06:00:00,BTCUSDT,SHORT,100,Binance,9371.53,937.1530000000001
2018-05-07 12:00:00,BTCUSDT,LONG,100,Binance,9362.01,936.201
2018-05-07 14:00:00,BTCUSDT,SHORT,100,Binance,9305.13,930.5129999999999
2018-05-07 19:00:00,BTCUSDT,LONG,100,Binance,9430.49,943.049
2018-05-07 21:00:00,BTCUSDT,SHORT,100,Binance,9399.79,939.9790000000002
2018-05-17 06:00:00,BTCUSDT,LONG,100,Binance,8339.89,833.989
2018-05-17 07:00:00,BTCUSDT,SHORT,100,Binance,8239.5,823.95
2018-05-17 08:00:00,BTCUSDT,LONG,100,Binance,8266.0,826.6
2018-05-17 09:00:00,BTCUSDT,SHORT,100,Binance,8280.0,828.0
2018-05-21 01:00:00,BTCUSDT,LONG,100,Binance,8459.01,845.9010000000001
2018-05-21 15:00:00,BTCUSDT,SHORT,100,Binance,8396.01,839.6010000000001
2018-05-21 20:00:00,BTCUSDT,LONG,100,Binance,8405.01,840.5010000000001
2018-05-21 22:00:00,BTCUSDT,SHORT,100,Binance,8397.96,839.7959999999999
2018-05-22 07:00:00,BTCUSDT,LONG,100,Binance,8322.0,832.2
2018-05-22 08:00:00,BTCUSDT,SHORT,100,Binance,8293.18,829.3180000000001
2018-05-22 18:00:00,BTCUSDT,LONG,100,Binance,8214.39,821.439
2018-05-22 19:00:00,BTCUSDT,SHORT,100,Binance,8171.09,817.109
2018-05-29 11:00:00,BTCUSDT,LONG,100,Binance,7405.61,740.561
2018-05-29 12:00:00,BTCUSDT,SHORT,100,Binance,7411.98,741.198
