AOStrategy_53,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2017-07-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-27 23:00:00,BTCUSDT,LONG,0.00017317202968366202,Binance,5768.83,0.001
2017-10-28 02:00:00,BTCUSDT,SHORT,0.00017317202968366202,Binance,5748.52,0.000995482876077125
2017-10-29 15:00:00,BTCUSDT,LONG,0.0001670013843997315,Binance,5949.01,0.000994487393201048
2017-11-06 17:00:00,BTCUSDT,SHORT,0.0001670013843997315,Binance,7129.99,0.0011907182007562416
2017-11-08 12:00:00,BTCUSDT,LONG,0.00016058621014499052,Binance,7400.0,0.0011895274825554853
2017-11-09 19:00:00,BTCUSDT,SHORT,0.00016058621014499052,Binance,7130.02,0.0011449828900579853
2017-11-13 14:00:00,BTCUSDT,LONG,0.00017840573256655462,Binance,6405.03,0.0011438379071679273
2017-11-18 21:00:00,BTCUSDT,SHORT,0.00017840573256655462,Binance,7811.41,0.0013936003234277104
2017-11-19 17:00:00,BTCUSDT,LONG,0.0001750773560399268,Binance,7944.0,0.0013922067231042828
2017-11-23 11:00:00,BTCUSDT,SHORT,0.0001750773560399268,Binance,8099.97,0.001418121331602726
2017-11-23 20:00:00,BTCUSDT,LONG,0.0001733355509743224,Binance,8165.01,0.0014167032102711233
2017-11-23 23:00:00,BTCUSDT,SHORT,0.0001733355509743224,Binance,8019.99,0.001390149385458556
2017-11-24 15:00:00,BTCUSDT,LONG,0.00017106868748005853,Binance,8110.02,0.0013887592360730973
2017-11-29 19:00:00,BTCUSDT,SHORT,0.00017106868748005853,Binance,9306.0,0.0015919652056894248
2017-12-01 20:00:00,BTCUSDT,LONG,0.00014847702564669705,Binance,10700.53,0.0015903732404837353
2017-12-05 06:00:00,BTCUSDT,SHORT,0.00014847702564669705,Binance,11600.0,0.0017223334975016858
2017-12-05 07:00:00,BTCUSDT,LONG,0.0001459160061833769,Binance,11780.0,0.001720611164004184
2017-12-09 16:00:00,BTCUSDT,SHORT,0.0001459160061833769,Binance,13986.98,0.002040924260166769
2017-12-11 01:00:00,BTCUSDT,LONG,0.00012712385146473187,Binance,16022.52,0.0020388833359066025
2017-12-13 04:00:00,BTCUSDT,SHORT,0.00012712385146473187,Binance,15750.51,0.0020022654937337744
2017-12-15 00:00:00,BTCUSDT,LONG,0.00011775989601082215,Binance,16968.96,0.0020002632282400405
2017-12-18 16:00:00,BTCUSDT,SHORT,0.00011775989601082215,Binance,18469.98,0.002175022924121965
2017-12-24 05:00:00,BTCUSDT,LONG,0.00016155315591555742,Binance,13436.29,0.0021728479011978432
2017-12-24 19:00:00,BTCUSDT,SHORT,0.00016155315591555742,Binance,12264.31,0.00198133798562673
2017-12-26 03:00:00,BTCUSDT,LONG,0.0001380658198332398,Binance,14321.99,0.0019793566476411033
2017-12-28 05:00:00,BTCUSDT,SHORT,0.0001380658198332398,Binance,13580.0,0.0018749338333353964
2018-01-01 05:00:00,BTCUSDT,LONG,0.000138003335101107,Binance,13558.99,0.0018730588995020609
2018-01-02 16:00:00,BTCUSDT,SHORT,0.000138003335101107,Binance,13590.02,0.0018754680840907462
2018-01-02 18:00:00,BTCUSDT,LONG,0.00012837579035601158,Binance,14580.0,0.0018735926160066557
2018-01-04 22:00:00,BTCUSDT,SHORT,0.00012837579035601158,Binance,14939.39,0.0019178559986866958
2018-01-05 08:00:00,BTCUSDT,LONG,0.0001240872467502239,Binance,15424.81,0.001915938142688009
2018-01-07 17:00:00,BTCUSDT,SHORT,0.0001240872467502239,Binance,15800.48,0.0019606380605319777
2018-01-13 06:00:00,BTCUSDT,LONG,0.00013869008305228485,Binance,14108.57,0.0019586774224714457
2018-01-14 11:00:00,BTCUSDT,SHORT,0.00013869008305228485,Binance,13280.15,0.0018418251064468007
2018-01-18 20:00:00,BTCUSDT,LONG,0.00015969496105753726,Binance,11510.34,0.0018399832813403537
2018-01-21 20:00:00,BTCUSDT,SHORT,0.00015969496105753726,Binance,11029.96,0.0017614290326661934
2018-01-24 15:00:00,BTCUSDT,LONG,0.00015879798050692394,Binance,11070.09,0.0017596676036335272
2018-01-26 09:00:00,BTCUSDT,SHORT,0.00015879798050692394,Binance,10490.0,0.001665790815517632
2018-01-27 16:00:00,BTCUSDT,LONG,0.0001431920299532397,Binance,11610.01,0.0016641250247021145
2018-01-29 19:00:00,BTCUSDT,SHORT,0.0001431920299532397,Binance,11283.81,0.0016157516595066658
2018-02-04 01:00:00,BTCUSDT,LONG,0.00018077598340126815,Binance,8920.0,0.001614135907847159
2018-02-04 19:00:00,BTCUSDT,SHORT,0.00018077598340126815,Binance,8264.2,0.0014939688820247603
2018-02-07 10:00:00,BTCUSDT,LONG,0.0001825171303990198,Binance,8169.0,0.0014924749131427356
2018-02-09 11:00:00,BTCUSDT,SHORT,0.0001825171303990198,Binance,8280.12,0.0015112637417595322
2018-02-09 13:00:00,BTCUSDT,LONG,0.00018149841160774186,Binance,8309.95,0.0015097524780177726
2018-02-10 16:00:00,BTCUSDT,SHORT,0.00018149841160774186,Binance,8185.98,0.0014857423674527427
2018-02-12 12:00:00,BTCUSDT,LONG,0.00016923360315877466,Binance,8761.69,0.0014842566250852895
2018-02-14 10:00:00,BTCUSDT,SHORT,0.00016923360315877466,Binance,8763.66,0.001483105758658427
2018-02-14 11:00:00,BTCUSDT,LONG,0.00016580497706361255,Binance,8927.0,0.001481622652899769
2018-02-19 02:00:00,BTCUSDT,SHORT,0.00016580497706361255,Binance,10563.75,0.0017515223264557372
2018-02-19 20:00:00,BTCUSDT,LONG,0.00015604516268718965,Binance,11202.02,0.0017497708041292815
2018-02-21 11:00:00,BTCUSDT,SHORT,0.00015604516268718965,Binance,10948.0,0.0017083824410993522
2018-02-24 12:00:00,BTCUSDT,LONG,0.00017428570979081173,Binance,9782.6,0.0017066740586582532
2018-02-24 13:00:00,BTCUSDT,SHORT,0.00017428570979081173,Binance,9630.14,0.0016783957852848877
2018-02-26 13:00:00,BTCUSDT,LONG,0.0001656006533019576,Binance,10114.94,0.0016767173894996028
2018-03-01 11:00:00,BTCUSDT,SHORT,0.0001656006533019576,Binance,10671.93,0.0017672785799927604
2018-03-01 20:00:00,BTCUSDT,LONG,0.00015993342311492153,Binance,11028.0,0.0017655113014127676
2018-03-06 10:00:00,BTCUSDT,SHORT,0.00015993342311492153,Binance,10934.43,0.0017487808197104915
2018-03-10 21:00:00,BTCUSDT,LONG,0.00019857606176492093,Binance,8789.0,0.0017470320388907807
2018-03-11 10:00:00,BTCUSDT,SHORT,0.00019857606176492093,Binance,8698.99,0.0017274111755324296
2018-03-11 17:00:00,BTCUSDT,LONG,0.0001791588764877917,Binance,9622.51,0.0017256837643568974
2018-03-13 15:00:00,BTCUSDT,SHORT,0.0001791588764877917,Binance,9051.0,0.0016215669910910027
2018-03-16 20:00:00,BTCUSDT,LONG,0.00018996481764178898,Binance,8519.08,0.0016199454240999117
2018-03-17 13:00:00,BTCUSDT,SHORT,0.00018996481764178898,Binance,7997.09,0.0015191657435149743
2018-03-19 05:00:00,BTCUSDT,LONG,0.0001820766904243356,Binance,8326.87,0.0015176465777714592
2018-03-22 18:00:00,BTCUSDT,SHORT,0.0001820766904243356,Binance,8661.0,0.0015769662157651707
2018-03-24 13:00:00,BTCUSDT,LONG,0.000177451106133708,Binance,8869.0,0.0015753892495494056
2018-03-25 18:00:00,BTCUSDT,SHORT,0.000177451106133708,Binance,8610.47,0.0015279374258311085
Sharpe Ratio,Sortino Ratio,Information Ratio,Max Drawdown,Max Drawdown Duration,Total Returns,Annualized Returns,Compound Annual Growth Rate
1.575,2.190,0.183,4467.340%,2735*60mins,52.641%,123.894%,170.572%
Trades Num,Trade Winning,Average Trade,Average Win,Average Loss,Best Trade,Worst Trade,Worst Trade Date,Avg Days in Trade
34,44.118%,1.761%,8.591%,-3.631%,21.957%,-8.722%,0 days 14:00:00,2 days 09:40:35
