AOStrategy_70,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-08-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-01 01:00:00,BTCUSDT,LONG,0.00014271408183702596,Binance,7000.01,0.0010000000000000002
2018-04-01 02:00:00,BTCUSDT,SHORT,0.00014271408183702596,Binance,6924.79,0.0009882650467642191
2018-04-02 07:00:00,BTCUSDT,LONG,0.0001396965120025463,Binance,7060.23,0.000987276781717455
2018-04-04 15:00:00,BTCUSDT,SHORT,0.0001396965120025463,Binance,6785.0,0.0009478408339372766
2018-04-07 14:00:00,BTCUSDT,LONG,0.0001379131214623467,Binance,6859.0,0.0009468929931033393
2018-04-09 22:00:00,BTCUSDT,SHORT,0.0001379131214623467,Binance,6693.0,0.0009230525219474865
2018-04-12 07:00:00,BTCUSDT,LONG,0.00013494360157620159,Binance,6826.61,0.000922129469425539
2018-04-17 10:00:00,BTCUSDT,SHORT,0.00013494360157620159,Binance,8087.3,0.0010913293890272152
2018-04-18 23:00:00,BTCUSDT,LONG,0.0001332616935737856,Binance,8173.0,0.001090238059638188
2018-04-26 00:00:00,BTCUSDT,SHORT,0.0001332616935737856,Binance,8800.02,0.001172705568683185
2018-04-28 05:00:00,BTCUSDT,LONG,0.00012770610587729237,Binance,9164.49,0.0011715328631145016
2018-05-01 00:00:00,BTCUSDT,SHORT,0.00012770610587729237,Binance,8955.01,0.0011436094551922121
2018-05-03 13:00:00,BTCUSDT,LONG,0.00012050653094337828,Binance,9471.05,0.0011424658457370198
2018-05-06 13:00:00,BTCUSDT,SHORT,0.00012050653094337828,Binance,9561.0,0.0011521629423496397
2018-05-14 06:00:00,BTCUSDT,LONG,0.00013713311150375645,Binance,8384.99,0.00115101077940729
2018-05-16 02:00:00,BTCUSDT,SHORT,0.00013713311150375645,Binance,8113.0,0.0011125609336299761
2018-05-19 23:00:00,BTCUSDT,LONG,0.00013485616965875345,Binance,8233.49,0.0011114483726963463
2018-05-22 12:00:00,BTCUSDT,SHORT,0.00013485616965875345,Binance,8172.5,0.0011021120465361624
2018-05-29 18:00:00,BTCUSDT,LONG,0.00014752353524563852,Binance,7455.82,0.0011010099344896263
2018-06-04 22:00:00,BTCUSDT,SHORT,0.00014752353524563852,Binance,7507.01,0.0011074606543243608
2018-06-07 00:00:00,BTCUSDT,LONG,0.000143131277168002,Binance,7721.91,0.0011063531936700364
2018-06-09 17:00:00,BTCUSDT,SHORT,0.000143131277168002,Binance,7597.27,0.0010874069580901467
2018-06-15 16:00:00,BTCUSDT,LONG,0.0001655643970526602,Binance,6554.75,0.0010863195511320565
2018-06-17 13:00:00,BTCUSDT,SHORT,0.0001655643970526602,Binance,6490.0,0.0010745129368717645
2018-06-18 16:00:00,BTCUSDT,LONG,0.0001613804446250097,Binance,6644.95,0.001073438423934893
2018-06-22 07:00:00,BTCUSDT,SHORT,0.0001613804446250097,Binance,6495.08,0.001048178898275008
2018-06-25 11:00:00,BTCUSDT,LONG,0.00016785734046921786,Binance,6231.98,0.001047130719376733
2018-06-27 13:00:00,BTCUSDT,SHORT,0.00016785734046921786,Binance,6050.71,0.0010156560885505013
2018-06-29 22:00:00,BTCUSDT,LONG,0.00016235209005850814,Binance,6243.38,0.0010146404324619506
2018-07-06 06:00:00,BTCUSDT,SHORT,0.00016235209005850814,Binance,6460.27,0.0010488383368422785
2018-07-07 23:00:00,BTCUSDT,LONG,0.00015491265461891715,Binance,6756.98,0.001047789498505436
2018-07-10 09:00:00,BTCUSDT,SHORT,0.00015491265461891715,Binance,6448.97,0.0009990270622577582
2018-07-15 03:00:00,BTCUSDT,LONG,0.00015932112501942396,Binance,6257.99,0.0009980280351955004
2018-07-20 15:00:00,BTCUSDT,SHORT,0.00015932112501942396,Binance,7469.53,0.0011900539229663379
2018-07-22 15:00:00,BTCUSDT,LONG,0.00015778045314170357,Binance,7527.39,0.0011888638690433714
2018-07-27 02:00:00,BTCUSDT,SHORT,0.00015778045314170357,Binance,7876.48,0.0012427545835615652
2018-07-29 08:00:00,BTCUSDT,LONG,0.0001521406451012221,Binance,8152.13,0.0012415118289780037
2018-07-30 12:00:00,BTCUSDT,SHORT,0.0001521406451012221,Binance,8138.93,0.0012382620606336896
2018-07-30 16:00:00,BTCUSDT,LONG,0.00015215282605838737,Binance,8122.01,0.0012370237985730558
2018-07-30 17:00:00,BTCUSDT,SHORT,0.00015215282605838737,Binance,7910.56,0.001203614059704437
Sharpe Ratio,Sortino Ratio,Information Ratio,Max Drawdown,Max Drawdown Duration,Total Returns,Annualized Returns,Compound Annual Growth Rate
1.333,2.035,0.297,2276.550%,2168*60mins,20.241%,60.557%,73.581%
Trades Num,Trade Winning,Average Trade,Average Win,Average Loss,Best Trade,Worst Trade,Worst Trade Date,Avg Days in Trade
20,35.000%,1.325%,7.892%,-2.212%,19.360%,-4.558%,2 days 10:00:00,3 days 04:06:00
