MACDStrategy_5_26,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 04:20:00+00:00,End date,2018-07-25 06:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 04:27:00+00:00,ETHUSDT,LONG,1,ARCA,480.04,0.013
2018-07-25 05:17:00+00:00,ETHUSDT,SHORT,1,ARCA,483.96,0.013
2018-07-25 05:37:00+00:00,ETHUSDT,LONG,1,ARCA,483.73,0.013
2018-07-25 05:42:00+00:00,ETHUSDT,SHORT,1,ARCA,483.54,0.013
2018-07-25 05:43:00+00:00,ETHUSDT,LONG,1,ARCA,483.5,0.013
2018-07-25 06:02:00+00:00,ETHUSDT,SHORT,1,ARCA,483.28,0.013
