BOLLStrategy_120_1.5,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:08:00+00:00,ETHUSDT,LONG,1,ARCA,482.44,0.013
2018-07-25 00:34:00+00:00,ETHUSDT,SHORT,1,ARCA,483.13,0.013
2018-07-25 00:37:00+00:00,ETHUSDT,SHORT,1,ARCA,480.45,0.013
2018-07-25 01:50:00+00:00,ETHUSDT,LONG,1,ARCA,481.36,0.013
2018-07-25 02:15:00+00:00,ETHUSDT,SHORT,1,ARCA,478.52,0.013
2018-07-25 03:43:00+00:00,ETHUSDT,LONG,1,ARCA,478.68,0.013
2018-07-25 04:12:00+00:00,ETHUSDT,LONG,1,ARCA,480.08,0.013
