MACD_ADXStrategy_22_40_78,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2017-04-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-29 15:00:00,BTCUSDT,LONG,0.0001679271004755413,Binance,5949.01,0.001
2017-10-31 09:00:00,BTCUSDT,SHORT,0.0001679271004755413,Binance,6160.02,0.001034434297471344
2017-10-31 13:00:00,BTCUSDT,LONG,0.0001631158063957091,Binance,6329.04,0.0010333998631738728
2017-11-04 12:00:00,BTCUSDT,SHORT,0.0001631158063957091,Binance,7148.0,0.0011659517841165288
2017-11-04 23:00:00,BTCUSDT,LONG,0.00015816322030858394,Binance,7357.09,0.0011647858323324124
2017-11-05 16:00:00,BTCUSDT,SHORT,0.00015816322030858394,Binance,7500.0,0.0011862241523143795
2017-11-05 17:00:00,BTCUSDT,LONG,0.0001581553495258628,Binance,7485.38,0.0011850379281620651
2017-11-05 22:00:00,BTCUSDT,SHORT,0.0001581553495258628,Binance,7358.92,0.0011638525647328624
2017-11-06 00:00:00,BTCUSDT,LONG,0.00015877363930772164,Binance,7315.61,0.0011626887121681296
2017-11-06 01:00:00,BTCUSDT,SHORT,0.00015877363930772164,Binance,7336.12,0.0011647824707981629
2017-11-14 21:00:00,BTCUSDT,LONG,0.0001767904939438746,Binance,6575.32,0.0011636176883273648
2017-11-18 03:00:00,BTCUSDT,SHORT,0.0001767904939438746,Binance,7588.72,0.00134161355720176
2017-11-19 02:00:00,BTCUSDT,LONG,0.00017234507738559047,Binance,7768.9,0.0013402719436445582
2017-11-19 13:00:00,BTCUSDT,SHORT,0.00017234507738559047,Binance,7778.8,0.001340637887967031
2017-11-19 17:00:00,BTCUSDT,LONG,0.00016842371007414213,Binance,7944.0,0.0013392972500790642
2017-11-20 00:00:00,BTCUSDT,SHORT,0.00016842371007414213,Binance,8047.53,0.001355394859532961
2017-11-20 13:00:00,BTCUSDT,LONG,0.000166218206319328,Binance,8138.01,0.001354039464673428
2017-11-21 03:00:00,BTCUSDT,SHORT,0.000166218206319328,Binance,7894.41,0.0013121946701493664
2017-11-21 05:00:00,BTCUSDT,LONG,0.00016195502769022802,Binance,8086.02,0.001310882475479217
2017-11-21 23:00:00,BTCUSDT,SHORT,0.00016195502769022802,Binance,8119.51,0.0013149954668810833
2017-11-22 01:00:00,BTCUSDT,LONG,0.00016053416402969883,Binance,8175.0,0.0013136804714142022
2017-11-22 15:00:00,BTCUSDT,SHORT,0.00016053416402969883,Binance,8205.03,0.0013171876318886
2017-11-25 19:00:00,BTCUSDT,LONG,0.00015382157599575644,Binance,8545.97,0.001315870444256711
2017-11-29 19:00:00,BTCUSDT,SHORT,0.00015382157599575644,Binance,9306.0,0.0014314635862165096
2017-12-01 21:00:00,BTCUSDT,LONG,0.00013213115894447492,Binance,10812.0,0.0014300321226302932
2017-12-01 23:00:00,BTCUSDT,SHORT,0.00013213115894447492,Binance,10782.99,0.0014247689655866836
2017-12-02 00:00:00,BTCUSDT,LONG,0.00013045133467074578,Binance,10900.01,0.001423344196621097
2017-12-02 04:00:00,BTCUSDT,SHORT,0.00013045133467074578,Binance,10810.0,0.001410178927790762
2017-12-03 01:00:00,BTCUSDT,LONG,0.00012913928978841149,Binance,10898.0,0.0014087687488629713
2017-12-04 16:00:00,BTCUSDT,SHORT,0.00012913928978841149,Binance,11239.02,0.0014513990607177526
2017-12-05 20:00:00,BTCUSDT,LONG,0.00012346069911982465,Binance,11732.46,0.0014499476616570348
2017-12-09 00:00:00,BTCUSDT,SHORT,0.00012346069911982465,Binance,15769.69,0.0019469369523029078
2017-12-11 17:00:00,BTCUSDT,LONG,0.0001194250169228798,Binance,16270.0,0.0019449900153506049
2017-12-12 03:00:00,BTCUSDT,SHORT,0.0001194250169228798,Binance,16288.0,0.0019451946756398662
2017-12-12 17:00:00,BTCUSDT,LONG,0.00011902157938874261,Binance,16310.54,0.0019432494809642263
2017-12-12 22:00:00,BTCUSDT,SHORT,0.00011902157938874261,Binance,16539.01,0.0019684990917262076
2017-12-15 09:00:00,BTCUSDT,LONG,0.00011136952911368433,Binance,17640.05,0.0019665305926344816
2017-12-15 13:00:00,BTCUSDT,SHORT,0.00011136952911368433,Binance,17744.09,0.001976150947850835
2017-12-15 18:00:00,BTCUSDT,LONG,0.00011142414166975036,Binance,17699.94,0.001974174796902984
2017-12-15 19:00:00,BTCUSDT,SHORT,0.00011142414166975036,Binance,17636.98,0.0019651853581465536
2017-12-15 21:00:00,BTCUSDT,LONG,0.00011175240555940214,Binance,17550.02,0.001963220172788407
2017-12-16 00:00:00,BTCUSDT,SHORT,0.00011175240555940214,Binance,17577.99,0.0019643826673991153
2017-12-16 05:00:00,BTCUSDT,LONG,0.0001120965101747947,Binance,17489.0,0.001962418284731716
2017-12-18 05:00:00,BTCUSDT,SHORT,0.0001120965101747947,Binance,18920.15,0.002120882786983642
2017-12-25 20:00:00,BTCUSDT,LONG,0.00015707448918381422,Binance,13475.41,0.0021187619041966588
2017-12-25 21:00:00,BTCUSDT,SHORT,0.00015707448918381422,Binance,13553.92,0.0021289750604382832
2017-12-26 05:00:00,BTCUSDT,LONG,0.00014288629719518947,Binance,14870.0,0.0021268460853778454
2017-12-28 00:00:00,BTCUSDT,SHORT,0.00014288629719518947,Binance,15179.04,0.002168876820577669
2018-01-02 16:00:00,BTCUSDT,LONG,0.00015927432305569336,Binance,13590.02,0.0021667079437570915
2018-01-04 11:00:00,BTCUSDT,SHORT,0.00015927432305569336,Binance,14539.97,0.00231584387900009
2018-01-05 08:00:00,BTCUSDT,LONG,0.00014983747009434596,Binance,15424.81,0.0023135280351210897
2018-01-07 19:00:00,BTCUSDT,SHORT,0.00014983747009434596,Binance,16100.9,0.002412518122242055
2018-01-20 03:00:00,BTCUSDT,LONG,0.00020491165033597613,Binance,11749.92,0.0024101056041198124
2018-01-21 07:00:00,BTCUSDT,SHORT,0.00020491165033597613,Binance,11701.14,0.0023976999082123036
2018-01-21 10:00:00,BTCUSDT,LONG,0.00020348695703271537,Binance,11759.51,0.0023953022083040908
2018-01-21 14:00:00,BTCUSDT,SHORT,0.00020348695703271537,Binance,11679.95,0.002376717483794264
2018-01-25 19:00:00,BTCUSDT,LONG,0.00021107467411052029,Binance,11237.57,0.00237434076631047
2018-01-26 02:00:00,BTCUSDT,SHORT,0.00021107467411052029,Binance,11582.0,0.002444666875548046
2018-01-27 11:00:00,BTCUSDT,LONG,0.00022139564305479357,Binance,11020.0,0.0024422222086724977
2018-01-29 09:00:00,BTCUSDT,SHORT,0.00022139564305479357,Binance,11426.89,0.0025298636596663903
2018-02-07 18:00:00,BTCUSDT,LONG,0.0003069673510286586,Binance,8225.0,0.0025273337960067237
2018-02-07 19:00:00,BTCUSDT,SHORT,0.0003069673510286586,Binance,8130.81,0.002495893207417328
2018-02-07 21:00:00,BTCUSDT,LONG,0.00030827866160262825,Binance,8080.04,0.0024933973142099103
2018-02-07 22:00:00,BTCUSDT,SHORT,0.00030827866160262825,Binance,7781.0,0.0023987162659300505
2018-02-08 01:00:00,BTCUSDT,LONG,0.00028947892467428996,Binance,8269.76,0.0023963175496641204
2018-02-10 19:00:00,BTCUSDT,SHORT,0.00028947892467428996,Binance,8419.0,0.0024371230668328472
2018-02-10 22:00:00,BTCUSDT,LONG,0.0002848072723530412,Binance,8539.99,0.0024346859437660144
2018-02-11 00:00:00,BTCUSDT,SHORT,0.0002848072723530412,Binance,8378.08,0.0023861381123555674
2018-02-12 05:00:00,BTCUSDT,LONG,0.00028400302710061983,Binance,8385.01,0.0023837519742432116
2018-02-12 23:00:00,BTCUSDT,SHORT,0.00028400302710061983,Binance,8903.0,0.0025284789502768184
2018-02-14 12:00:00,BTCUSDT,LONG,0.000276010942419914,Binance,9142.48,0.002525950471326542
2018-02-18 19:00:00,BTCUSDT,SHORT,0.000276010942419914,Binance,10831.26,0.002989546280195118
2018-02-19 14:00:00,BTCUSDT,LONG,0.0002727212227770574,Binance,10940.0,0.0029865567339149228
2018-02-21 00:00:00,BTCUSDT,SHORT,0.0002727212227770574,Binance,11091.82,0.003024974713223021
2018-02-26 14:00:00,BTCUSDT,LONG,0.0002959733126246361,Binance,10200.0,0.003021949738509798
2018-02-26 20:00:00,BTCUSDT,SHORT,0.0002959733126246361,Binance,10295.0,0.003047045253470628
2018-02-26 21:00:00,BTCUSDT,LONG,0.0002936809086194317,Binance,10354.62,0.0030439982082171575
2018-02-27 06:00:00,BTCUSDT,SHORT,0.0002936809086194317,Binance,10306.0,0.003026675444231863
2018-02-27 07:00:00,BTCUSDT,LONG,0.0002849646339640418,Binance,10600.0,0.003023648768787631
2018-02-28 20:00:00,BTCUSDT,SHORT,0.0002849646339640418,Binance,10670.0,0.0030405726443963263
2018-03-01 19:00:00,BTCUSDT,LONG,0.0002789057481323693,Binance,10880.0,0.00303753207175193
2018-03-04 13:00:00,BTCUSDT,SHORT,0.0002789057481323693,Binance,11208.78,0.0031261931715511385
2018-03-05 06:00:00,BTCUSDT,LONG,0.00027010209622051185,Binance,11550.98,0.0031230669783795877
2018-03-06 02:00:00,BTCUSDT,SHORT,0.00027010209622051185,Binance,11282.71,0.003047483622048131
2018-03-06 05:00:00,BTCUSDT,LONG,0.0002684751939408563,Binance,11328.39,0.003044436138426083
2018-03-06 07:00:00,BTCUSDT,SHORT,0.0002684751939408563,Binance,11270.0,0.00302571543571345
2018-03-12 10:00:00,BTCUSDT,LONG,0.0003070277484613833,Binance,9835.16,0.003022689720277736
2018-03-12 17:00:00,BTCUSDT,SHORT,0.0003070277484613833,Binance,9176.48,0.002817433993200914
2018-03-19 06:00:00,BTCUSDT,LONG,0.0003394215355498492,Binance,8284.1,0.0028146165592077134
2018-03-22 08:00:00,BTCUSDT,SHORT,0.0003394215355498492,Binance,9000.0,0.003054793819948643
Sharpe Ratio,Sortino Ratio,Max Drawdown,Max Drawdown Duration,Total Returns,Annualized Returns,Compound Annual Growth Rate
4.192959689595611,6.658867774406559,18.67280302641348,679,2.0517390261286943,4.828918288255605,12.81712945008223
Trades,Trade Winning,Average Trade,Average Win,Average Loss,Best Trade,Worst Trade,Worst Trade Date,Avg Days in Trade
45,0.6888888888888889,0.029139688380275273,0.05003212935355535,-0.017122145203416327,0.344107714835593,-0.06697196588565923,0 days 07:00:00,1 days 04:09:20
