,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
6,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,2.5,5
7,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,2.8,5
8,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,3.0,5
108,-6.15%,1.33%,13.49%,3 days 20:54:17,24.38%,107.26667763131712,2735,0.22006617329975775,-0.1989916499999992,38%,21,-14.75%,2 days 09:00:00,1.0,96
92,-6.87%,1.55%,14.78%,4 days 06:30:00,23.21%,110.5458940428667,2735,-1.5782920352633543,-0.29940904999999673,39%,18,-14.75%,2 days 09:00:00,1.5,72
84,-7.20%,1.40%,14.92%,4 days 08:56:40,21.31%,112.3595435490656,2735,1.240378958215246,-0.4100570499999949,39%,18,-14.75%,2 days 09:00:00,1.8,60
93,-9.89%,0.71%,9.99%,4 days 18:56:00,17.67%,96.91023266819407,2735,1.1683394234315287,-0.7354825499999966,53%,15,-14.75%,2 days 09:00:00,1.8,72
94,-11.94%,1.11%,9.27%,5 days 04:41:32,17.67%,101.77173075994203,2735,0.5248526028755248,-0.7941825499999977,62%,13,-14.75%,2 days 09:00:00,2.0,72
15,-5.08%,0.88%,12.79%,3 days 06:57:09,29.39%,139.4639501770066,2276,1.2520773594086234,-0.8631485799999954,33%,21,-31.60%,1 days 22:00:00,2.5,10
109,-7.25%,1.06%,12.50%,4 days 07:18:57,20.69%,113.78190621746083,2735,0.7707492075292973,-0.9468334299999964,42%,19,-14.75%,2 days 09:00:00,1.2,96
27,-3.03%,0.21%,5.70%,0 days 18:05:43,34.21%,100.4757678643168,2509,0.23706215925894447,-0.955961609999995,37%,105,-10.28%,0 days 12:00:00,1.0,14
17,N/A,N/A,N/A,0,N/A,113.39492952578519,940,0.7107720676695091,-1.3172901200000011,N/A,0,N/A,0,3.0,10
19,-3.04%,0.22%,5.90%,0 days 17:39:49,34.21%,105.5951625606966,2509,-1.2852198748746024,-1.522911439999994,36%,107,-7.85%,0 days 08:00:00,1.2,12
18,-2.90%,0.15%,5.55%,0 days 16:14:37,25.60%,110.26676792786225,2509,1.1115026159892978,-1.9242874999999966,36%,119,-10.06%,0 days 01:00:00,1.0,12
102,-9.76%,0.37%,10.50%,5 days 06:17:09,17.67%,110.17389632994498,2735,-1.304591181742173,-2.018481989999991,50%,14,-14.75%,2 days 09:00:00,1.8,84
132,-24.78%,3.07%,30.92%,17 days 04:30:00,55.69%,111.23097274150287,2509,-1.0820345649258658,-2.370545349999999,50%,4,-35.96%,10 days 11:00:00,2.5,252
103,-10.43%,-0.07%,8.81%,5 days 19:23:05,17.67%,127.4958243036904,2735,-1.4269709264559505,-2.978646089999991,54%,13,-14.75%,2 days 09:00:00,2.0,84
85,-8.64%,-0.37%,11.45%,3 days 23:03:32,17.67%,144.80444351864614,2735,-1.3413093567837215,-3.63083194,41%,17,-14.75%,2 days 09:00:00,2.0,60
11,-3.18%,-0.32%,4.54%,0 days 17:12:47,16.61%,181.05574804155694,2522,0.7623484380804174,-8.43078024,37%,108,-10.41%,0 days 03:00:00,1.5,10
10,-2.92%,-0.30%,4.27%,0 days 13:51:14,17.20%,213.41763911927978,2735,-0.7460711475796535,-8.760605450000007,36%,137,-10.41%,0 days 03:00:00,1.2,10
9,-2.70%,-0.27%,4.23%,0 days 12:42:51,18.71%,236.326854892602,2735,0.7316336653856523,-10.131973920000005,35%,154,-10.41%,0 days 03:00:00,1.0,10
3,-4.36%,-0.67%,5.53%,0 days 23:22:23,25.04%,269.28732333097344,2774,1.308745807655933,-11.187729069999996,37%,67,-21.77%,0 days 16:00:00,1.8,5
2,-2.84%,-0.51%,3.60%,0 days 11:06:52,13.01%,356.56935889537846,2735,1.4957879539501058,-15.430549479999998,36%,166,-10.28%,0 days 12:00:00,1.5,5
1,-2.19%,-0.34%,3.21%,0 days 08:02:44,13.70%,342.45667622962986,2522,-1.4371137635874693,-16.109171730000007,34%,242,-13.02%,0 days 03:00:00,1.2,5
0,-2.05%,-0.28%,3.01%,0 days 06:49:31,13.16%,352.7908161990641,2735,2.463850706772659,-16.80084724000001,35%,286,-13.02%,0 days 03:00:00,1.0,5
