,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,a,window
99,-0.10%,0.15%,0.40%,0 days 00:27:00,0.40%,0.8410196991850685,199,0.3200007572342265,0.00404600000000066,50%,2,-0.10%,0 days 00:23:00,1.0,84
100,-0.10%,0.07%,0.23%,0 days 00:25:30,0.23%,0.842339952428325,199,0.19889927147363967,0.0024660000000005233,50%,2,-0.10%,0 days 00:23:00,1.2,84
101,-0.10%,0.02%,0.14%,0 days 00:24:30,0.14%,0.8430770821854955,199,0.03653988824350901,0.0003860000000017738,50%,2,-0.10%,0 days 00:23:00,1.5,84
102,-0.10%,-0.10%,nan%,0 days 00:23:00,-0.10%,1.019442901040959,199,-0.22470324218352303,-0.002701999999999649,0%,1,-0.10%,0 days 00:23:00,1.8,84
103,-0.10%,-0.10%,nan%,0 days 00:23:00,-0.10%,1.1302000000000811,199,-0.8276259433101018,-0.008822000000000774,0%,1,-0.10%,0 days 00:23:00,2.0,84
104,-0.49%,-0.49%,nan%,0 days 00:12:00,-0.49%,0.7207660988085168,72,-0.433654343902819,-0.004129999999999745,0%,1,-0.49%,0 days 00:12:00,2.2,84
105,-0.49%,-0.49%,nan%,0 days 00:12:00,-0.49%,0.8818000000000215,143,-0.974498309657235,-0.006803999999999588,0%,1,-0.49%,0 days 00:12:00,2.5,84
106,N/A,N/A,N/A,0,N/A,0.4792418286575929,50,-0.3059416280405962,-0.0019719999999996407,N/A,0,N/A,0,2.8,84
107,N/A,N/A,N/A,0,N/A,0.4792418286575929,50,-0.3059416280405962,-0.0019719999999996407,N/A,0,N/A,0,3.0,84
108,-0.18%,0.11%,0.40%,0 days 00:25:00,0.40%,1.0890203181946743,199,0.15754378372032848,0.0019460000000002253,50%,2,-0.18%,0 days 00:19:00,1.0,96
109,-0.18%,0.03%,0.23%,0 days 00:23:30,0.23%,1.0907298888603894,199,-0.0913975355155064,-0.0012340000000005125,50%,2,-0.18%,0 days 00:19:00,1.2,96
110,-0.52%,-0.19%,0.14%,0 days 00:25:00,0.14%,0.7435166186711177,128,0.1380119469816841,0.0016180000000010075,50%,2,-0.52%,0 days 00:24:00,1.5,96
111,-0.52%,-0.52%,nan%,0 days 00:24:00,-0.52%,0.7175962317243026,128,0.031019919757520095,0.0002899999999996794,0%,1,-0.52%,0 days 00:24:00,1.8,96
112,-0.59%,-0.59%,nan%,0 days 00:25:00,-0.59%,0.7831984336031605,148,-0.5185549861071438,-0.005349999999999744,0%,1,-0.59%,0 days 00:25:00,2.0,96
113,N/A,N/A,N/A,0,N/A,0.7783941942446948,50,0.0955168936088587,0.0008220000000003225,N/A,0,N/A,0,2.2,96
114,N/A,N/A,N/A,0,N/A,0.4792418286575929,50,-0.3059416280405962,-0.0019719999999996407,N/A,0,N/A,0,2.5,96
115,N/A,N/A,N/A,0,N/A,0.4792418286575929,50,-0.3059416280405962,-0.0019719999999996407,N/A,0,N/A,0,2.8,96
116,N/A,N/A,N/A,0,N/A,0.4792418286575929,50,-0.3059416280405962,-0.0019719999999996407,N/A,0,N/A,0,3.0,96
117,-0.52%,-0.06%,0.40%,0 days 00:27:30,0.40%,0.891347230895797,128,0.19494994839448887,0.002297999999999689,50%,2,-0.52%,0 days 00:24:00,1.0,120
118,-0.52%,-0.14%,0.23%,0 days 00:26:00,0.23%,0.9463578328683272,128,0.0205997633617306,0.00017800000000045557,50%,2,-0.52%,0 days 00:24:00,1.2,120
119,-0.59%,-0.22%,0.14%,0 days 00:25:30,0.14%,0.9319531040243576,148,-0.11323269373431487,-0.0013419999999990662,50%,2,-0.59%,0 days 00:25:00,1.5,120
120,-0.67%,-0.67%,nan%,0 days 00:30:00,-0.67%,0.74999452340699,199,-0.30201758401451567,-0.0029840000000003197,0%,1,-0.67%,0 days 00:30:00,1.8,120
121,-0.94%,-0.94%,nan%,0 days 00:33:00,-0.94%,1.0157999999999445,199,-1.2196069612045675,-0.00988399999999967,0%,1,-0.94%,0 days 00:33:00,2.0,120
122,N/A,N/A,N/A,0,N/A,0.6527501061990478,50,-0.565039109301908,-0.0037119999999997155,N/A,0,N/A,0,2.2,120
123,N/A,N/A,N/A,0,N/A,0.6527501061990478,50,-0.565039109301908,-0.0037119999999997155,N/A,0,N/A,0,2.5,120
