BOLLStrategy_43_3,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2017-04-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-29 15:00:00,BTCUSDT,LONG,0.0001679271004755413,Binance,5949.01,0.001
2017-11-06 18:00:00,BTCUSDT,CLOSE,0.0001679271004755413,Binance,7000.05,0.001175498099683813
2017-11-25 12:00:00,BTCUSDT,LONG,0.00013803368384310448,Binance,8499.0,0.001174322601584129
2017-12-13 02:00:00,BTCUSDT,CLOSE,0.00013803368384310448,Binance,15299.97,0.002111911221788983
2017-12-15 00:00:00,BTCUSDT,LONG,0.00012420852611218529,Binance,16968.96,0.0021097993105671942
2017-12-19 10:00:00,BTCUSDT,CLOSE,0.00012420852611218529,Binance,16852.0,0.0020931620820425463
2018-01-02 18:00:00,BTCUSDT,LONG,0.0001432769445158123,Binance,14580.0,0.0020910689199605042
2018-01-07 17:00:00,BTCUSDT,CLOSE,0.0001432769445158123,Binance,15800.48,0.0022638444962832017
2018-01-20 04:00:00,BTCUSDT,LONG,0.00018308906573218247,Binance,12340.0,0.0022615806517869187
2018-01-26 09:00:00,BTCUSDT,CLOSE,0.00018308906573218247,Binance,10490.0,0.0019206042995305941
2018-02-09 18:00:00,BTCUSDT,LONG,0.00022224393149083234,Binance,8624.6,0.0019186836952310635
2018-03-06 10:00:00,BTCUSDT,CLOSE,0.00022224393149083234,Binance,10934.43,0.002430110711811302
