MOMStrategy,tickers,"['BTCUSDT', 'CMTBNB', 'CMTBTC', 'CMTETH', 'ETHUSDT', 'LTCUSDT', 'VENBNB', 'VENBTC', 'VENETH']",initial equity,1.0,frequency,60 min
Start date,2018-01-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-01-01 00:00:00,VENETH,LONG,81.13821138211382,Binance,0.003075,0.0005
2018-01-01 00:00:00,VENBTC,LONG,1507.7350737249214,Binance,0.00016548,0.0005
2018-01-01 00:00:00,VENBNB,LONG,0.9330590875093492,Binance,0.2674,0.0005
2018-01-01 00:00:00,LTCUSDT,LONG,0.001134194017637967,Binance,219.98,0.0005
2018-01-01 01:00:00,VENETH,SHORT,81.13821138211382,Binance,0.00304968,0.0004948911609756098
2018-01-01 01:00:00,VENBNB,SHORT,0.9330590875093492,Binance,0.2664,0.0004971338818249813
2018-01-01 01:00:00,LTCUSDT,SHORT,0.001134194017637967,Binance,213.5,0.000484300845531412
2018-01-01 01:00:00,CMTBTC,LONG,13472.846711400296,Binance,1.819e-05,0.000491124412185113
2018-01-01 01:00:00,CMTBNB,LONG,8.547997268237578,Binance,0.02867,0.000491124412185113
2018-01-01 01:00:00,CMTETH,LONG,735.2205972470865,Binance,0.00033333,0.000491124412185113
2018-01-01 03:00:00,CMTETH,SHORT,735.2205972470865,Binance,0.00033005,0.00048531911624280185
2018-01-01 03:00:00,ETHUSDT,LONG,0.00032905362903628014,Binance,734.5,0.0004843484780103162
2018-01-01 04:00:00,VENBTC,SHORT,1507.7350737249214,Binance,0.00016547,0.0004989698452985256
2018-01-01 04:00:00,CMTBNB,SHORT,8.547997268237578,Binance,0.02825,0.00048296184565542325
2018-01-01 04:00:00,LTCUSDT,LONG,0.0010917703638277482,Binance,223.95,0.0004899839137860205
2018-01-01 04:00:00,BTCUSDT,LONG,1.7976751210331013e-05,Binance,13601.01,0.0004899839137860205
2018-01-01 05:00:00,BTCUSDT,SHORT,1.7976751210331013e-05,Binance,13558.99,0.0004874931797867322
2018-01-01 05:00:00,CMTBNB,LONG,8.438393413978178,Binance,0.028770000000000004,0.0004865181934271587
2018-01-01 06:00:00,CMTBTC,SHORT,13472.846711400296,Binance,1.763e-05,0.0004750525750439744
2018-01-01 06:00:00,CMTBNB,SHORT,8.438393413978178,Binance,0.028290000000000003,0.0004774442993628854
2018-01-01 06:00:00,BTCUSDT,LONG,1.7210857603234047e-05,Binance,13780.41,0.000475295940329023
2018-01-01 06:00:00,VENBTC,LONG,1419.4306913889668,Binance,0.00016709,0.000475295940329023
2018-01-01 07:00:00,BTCUSDT,SHORT,1.7210857603234047e-05,Binance,13570.35,0.00046711472295209427
2018-01-01 07:00:00,VENBTC,SHORT,1419.4306913889668,Binance,0.00016673,0.0004733233583505649
2018-01-01 07:00:00,CMTBNB,LONG,8.038792402418242,Binance,0.029130000000000003,0.0004692786025700269
2018-01-01 07:00:00,VENBNB,LONG,0.8637772876519492,Binance,0.2711,0.0004692786025700269
2018-01-01 08:00:00,CMTBNB,SHORT,8.038792402418242,Binance,0.02857,0.00045933659787417836
2018-01-01 08:00:00,VENBTC,LONG,1350.7560933837412,Binance,0.00016935,0.00045841792467843004
2018-01-01 11:00:00,ETHUSDT,SHORT,0.00032905362903628014,Binance,741.01,0.0004876640593043479
2018-01-01 11:00:00,VENETH,LONG,76.49060688556973,Binance,0.003175,0.0004866887311857393
2018-01-01 13:00:00,LTCUSDT,SHORT,0.0010917703638277482,Binance,219.0,0.00047819541935655377
2018-01-01 13:00:00,CMTBNB,LONG,8.086325135157978,Binance,0.029450000000000004,0.0004772390285178406
2018-01-01 15:00:00,VENETH,SHORT,76.49060688556973,Binance,0.003062,0.00046842847656722905
2018-01-01 15:00:00,CMTBTC,LONG,12931.170631232437,Binance,1.8040000000000003e-05,0.00046749161961409457
2018-01-01 16:00:00,CMTBTC,SHORT,12931.170631232437,Binance,1.79e-05,0.0004629359085981213
2018-01-01 16:00:00,VENETH,LONG,74.9477441373455,Binance,0.00307605,0.00046201003678092504
2018-01-01 18:00:00,VENETH,SHORT,74.9477441373455,Binance,0.0031409100000000002,0.00047080823807685974
2018-01-01 18:00:00,CMTBTC,LONG,13105.838131847528,Binance,1.7890000000000003e-05,0.000469866621600706
2018-01-01 19:00:00,CMTBTC,SHORT,13105.838131847528,Binance,1.8080000000000003e-05,0.0004739071068476067
2018-01-01 19:00:00,VENETH,LONG,74.26381378697644,Binance,0.00317795,0.0004729592926339114
2018-01-01 20:00:00,VENBTC,SHORT,1350.7560933837412,Binance,0.00018,0.0004862721936181469
2018-01-01 20:00:00,VENETH,SHORT,74.26381378697644,Binance,0.00318955,0.00047373629452850146
2018-01-01 20:00:00,ETHUSDT,LONG,0.0003156017448139785,Binance,757.42,0.00047904423558517754
2018-01-01 20:00:00,BTCUSDT,LONG,1.784004716364537e-05,Binance,13399.24,0.00047904423558517754
2018-01-01 21:00:00,VENBNB,SHORT,0.8637772876519492,Binance,0.2872,0.0004961536740272797
2018-01-01 21:00:00,ETHUSDT,SHORT,0.0003156017448139785,Binance,759.28,0.0004792601856047152
2018-01-01 21:00:00,CMTETH,LONG,714.3710887444522,Binance,0.00033999000000000003,0.0004867315159563654
