RSIStrategy_5_80_40,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-01 02:00:00,BTCUSDT,LONG,100,Binance,6924.79,692.479
2018-04-01 19:00:00,BTCUSDT,SHORT,100,Binance,6900.99,690.099
2018-04-02 05:00:00,BTCUSDT,LONG,100,Binance,6892.0,689.2
2018-04-02 09:00:00,BTCUSDT,SHORT,100,Binance,7062.96,706.296
2018-04-02 12:00:00,BTCUSDT,LONG,100,Binance,6990.26,699.0260000000001
2018-04-03 02:00:00,BTCUSDT,SHORT,100,Binance,7169.99,716.999
2018-04-03 23:00:00,BTCUSDT,LONG,100,Binance,7405.21,740.5210000000001
2018-04-07 01:00:00,BTCUSDT,SHORT,100,Binance,6830.0,683.0
2018-04-07 13:00:00,BTCUSDT,LONG,100,Binance,6840.0,684.0
2018-04-07 15:00:00,BTCUSDT,SHORT,100,Binance,7008.03,700.803
2018-04-07 21:00:00,BTCUSDT,LONG,100,Binance,6975.0,697.5
2018-04-08 04:00:00,BTCUSDT,SHORT,100,Binance,6971.6,697.1600000000001
2018-04-08 16:00:00,BTCUSDT,LONG,100,Binance,6980.0,698.0
2018-04-09 01:00:00,BTCUSDT,SHORT,100,Binance,7120.0,712.0
2018-04-09 09:00:00,BTCUSDT,LONG,100,Binance,7076.0,707.6
2018-04-10 15:00:00,BTCUSDT,SHORT,100,Binance,6837.54,683.754
2018-04-10 22:00:00,BTCUSDT,LONG,100,Binance,6792.6,679.2600000000001
2018-04-11 15:00:00,BTCUSDT,SHORT,100,Binance,6927.06,692.7060000000001
2018-04-11 18:00:00,BTCUSDT,LONG,100,Binance,6899.75,689.975
2018-04-12 11:00:00,BTCUSDT,SHORT,100,Binance,7693.0,769.3000000000001
2018-04-12 16:00:00,BTCUSDT,LONG,100,Binance,7619.0,761.9000000000001
2018-04-12 20:00:00,BTCUSDT,SHORT,100,Binance,7738.01,773.801
2018-04-13 04:00:00,BTCUSDT,LONG,100,Binance,7827.41,782.741
2018-04-13 08:00:00,BTCUSDT,SHORT,100,Binance,8133.01,813.301
2018-04-13 17:00:00,BTCUSDT,LONG,100,Binance,8114.79,811.479
2018-04-14 01:00:00,BTCUSDT,SHORT,100,Binance,8065.24,806.524
2018-04-14 06:00:00,BTCUSDT,LONG,100,Binance,8018.0,801.8000000000001
2018-04-14 20:00:00,BTCUSDT,SHORT,100,Binance,8077.96,807.796
2018-04-14 23:00:00,BTCUSDT,LONG,100,Binance,7999.01,799.9010000000001
2018-04-15 04:00:00,BTCUSDT,SHORT,100,Binance,8116.11,811.611
2018-04-15 16:00:00,BTCUSDT,LONG,100,Binance,8269.0,826.9000000000001
2018-04-16 00:00:00,BTCUSDT,SHORT,100,Binance,8389.0,838.9000000000001
2018-04-16 02:00:00,BTCUSDT,LONG,100,Binance,8119.0,811.9000000000001
2018-04-16 17:00:00,BTCUSDT,SHORT,100,Binance,8031.02,803.1020000000001
2018-04-17 04:00:00,BTCUSDT,LONG,100,Binance,8030.0,803.0
2018-04-18 07:00:00,BTCUSDT,SHORT,100,Binance,8107.23,810.723
2018-04-18 11:00:00,BTCUSDT,LONG,100,Binance,8103.0,810.3000000000001
2018-04-18 19:00:00,BTCUSDT,SHORT,100,Binance,8116.65,811.665
2018-04-19 07:00:00,BTCUSDT,LONG,100,Binance,8166.97,816.6970000000001
2018-04-19 10:00:00,BTCUSDT,SHORT,100,Binance,8240.63,824.063
2018-04-20 05:00:00,BTCUSDT,LONG,100,Binance,8272.99,827.299
2018-04-20 10:00:00,BTCUSDT,SHORT,100,Binance,8488.01,848.801
2018-04-20 15:00:00,BTCUSDT,LONG,100,Binance,8459.99,845.999
2018-04-20 20:00:00,BTCUSDT,SHORT,100,Binance,8525.83,852.5830000000001
2018-04-21 08:00:00,BTCUSDT,LONG,100,Binance,8790.07,879.0070000000001
2018-04-21 15:00:00,BTCUSDT,SHORT,100,Binance,8829.54,882.9540000000002
