MACDStrategy_12_45,tickers,['ETHUSD'],initial equity,100000.0,frequency,1 min
Start date,2017-01-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-07-01 00:23:00,ETHUSD,LONG,100,ARCA,277.2,27.72
2017-07-01 00:37:00,ETHUSD,SHORT,100,ARCA,273.8,27.380000000000003
2017-07-01 01:08:00,ETHUSD,LONG,100,ARCA,274.99,27.499000000000002
2017-07-01 01:28:00,ETHUSD,SHORT,100,ARCA,273.31,27.331000000000003
2017-07-01 02:33:00,ETHUSD,LONG,100,ARCA,263.36,26.336000000000002
2017-07-01 02:34:00,ETHUSD,SHORT,100,ARCA,263.49,26.349000000000004
2017-07-01 02:44:00,ETHUSD,LONG,100,ARCA,265.8,26.580000000000002
2017-07-01 03:41:00,ETHUSD,SHORT,100,ARCA,267.25,26.725
2017-07-01 04:21:00,ETHUSD,LONG,100,ARCA,267.34,26.733999999999998
2017-07-01 04:51:00,ETHUSD,SHORT,100,ARCA,267.33,26.733
2017-07-01 04:54:00,ETHUSD,LONG,100,ARCA,267.76,26.776
2017-07-01 05:16:00,ETHUSD,SHORT,100,ARCA,267.16,26.716000000000005
2017-07-01 06:31:00,ETHUSD,LONG,100,ARCA,261.51,26.151
2017-07-01 06:44:00,ETHUSD,SHORT,100,ARCA,256.28,25.628
2017-07-01 07:21:00,ETHUSD,LONG,100,ARCA,259.11,25.911
2017-07-01 08:34:00,ETHUSD,SHORT,100,ARCA,263.86,26.386000000000003
2017-07-01 08:59:00,ETHUSD,LONG,100,ARCA,264.7,26.47
2017-07-01 10:12:00,ETHUSD,SHORT,100,ARCA,272.31,27.231
2017-07-01 10:19:00,ETHUSD,LONG,100,ARCA,273.84,27.384
2017-07-01 10:26:00,ETHUSD,SHORT,100,ARCA,270.81,27.081000000000003
2017-07-01 11:05:00,ETHUSD,LONG,100,ARCA,271.39,27.139
2017-07-01 11:24:00,ETHUSD,SHORT,100,ARCA,268.99,26.899
2017-07-01 12:17:00,ETHUSD,LONG,100,ARCA,265.86,26.586000000000002
2017-07-01 12:29:00,ETHUSD,SHORT,100,ARCA,264.45,26.445
2017-07-01 12:48:00,ETHUSD,LONG,100,ARCA,266.14,26.614
2017-07-01 13:07:00,ETHUSD,SHORT,100,ARCA,264.22,26.422000000000004
2017-07-01 13:09:00,ETHUSD,LONG,100,ARCA,264.66,26.466000000000005
2017-07-01 13:10:00,ETHUSD,SHORT,100,ARCA,264.13,26.413
2017-07-01 13:19:00,ETHUSD,LONG,100,ARCA,265.61,26.561000000000003
2017-07-01 13:29:00,ETHUSD,SHORT,100,ARCA,264.15,26.415
2017-07-01 14:48:00,ETHUSD,LONG,100,ARCA,259.5,25.950000000000003
2017-07-01 14:54:00,ETHUSD,SHORT,100,ARCA,257.37,25.737000000000002
2017-07-01 15:09:00,ETHUSD,LONG,100,ARCA,257.84,25.784
2017-07-01 16:22:00,ETHUSD,SHORT,100,ARCA,263.52,26.352
2017-07-01 17:56:00,ETHUSD,LONG,100,ARCA,257.09,25.709
2017-07-01 18:16:00,ETHUSD,SHORT,100,ARCA,254.8,25.480000000000004
2017-07-01 19:06:00,ETHUSD,LONG,100,ARCA,251.53,25.153000000000002
2017-07-01 19:17:00,ETHUSD,SHORT,100,ARCA,245.22,24.522000000000002
2017-07-01 19:42:00,ETHUSD,LONG,100,ARCA,251.97,25.197000000000003
2017-07-01 20:03:00,ETHUSD,SHORT,100,ARCA,247.0,24.700000000000003
2017-07-01 20:16:00,ETHUSD,LONG,100,ARCA,249.27,24.927000000000003
2017-07-01 20:18:00,ETHUSD,SHORT,100,ARCA,246.68,24.668000000000003
2017-07-01 20:29:00,ETHUSD,LONG,100,ARCA,249.95,24.995
2017-07-01 20:49:00,ETHUSD,SHORT,100,ARCA,247.61,24.761000000000003
2017-07-01 21:52:00,ETHUSD,LONG,100,ARCA,247.01,24.701
2017-07-01 23:54:00,ETHUSD,SHORT,100,ARCA,253.51,25.351
2017-07-02 00:51:00,ETHUSD,LONG,100,ARCA,250.7,25.07
2017-07-02 01:02:00,ETHUSD,SHORT,100,ARCA,249.46,24.946
2017-07-02 01:19:00,ETHUSD,LONG,100,ARCA,251.34,25.134
2017-07-02 02:06:00,ETHUSD,SHORT,100,ARCA,251.35,25.135
2017-07-02 03:10:00,ETHUSD,LONG,100,ARCA,247.51,24.751
2017-07-02 03:22:00,ETHUSD,SHORT,100,ARCA,247.31,24.731
2017-07-02 03:25:00,ETHUSD,LONG,100,ARCA,247.62,24.762
2017-07-02 03:41:00,ETHUSD,SHORT,100,ARCA,247.1,24.71
2017-07-02 04:51:00,ETHUSD,LONG,100,ARCA,246.49,24.649
2017-07-02 06:16:00,ETHUSD,SHORT,100,ARCA,252.75,25.275000000000002
2017-07-02 07:19:00,ETHUSD,LONG,100,ARCA,251.81,25.181
2017-07-02 09:11:00,ETHUSD,SHORT,100,ARCA,261.59,26.159
2017-07-02 11:28:00,ETHUSD,LONG,100,ARCA,256.87,25.687
2017-07-02 12:20:00,ETHUSD,SHORT,100,ARCA,258.92,25.892000000000003
2017-07-02 14:33:00,ETHUSD,LONG,100,ARCA,253.69,25.369
2017-07-02 17:44:00,ETHUSD,SHORT,100,ARCA,266.1,26.610000000000003
2017-07-02 17:55:00,ETHUSD,LONG,100,ARCA,271.59,27.159
2017-07-02 18:41:00,ETHUSD,SHORT,100,ARCA,270.0,27.0
2017-07-02 19:16:00,ETHUSD,LONG,100,ARCA,271.48,27.148000000000003
2017-07-02 19:54:00,ETHUSD,SHORT,100,ARCA,273.33,27.333
2017-07-02 19:55:00,ETHUSD,LONG,100,ARCA,273.11,27.311000000000003
2017-07-02 20:42:00,ETHUSD,SHORT,100,ARCA,273.54,27.354000000000003
2017-07-02 21:04:00,ETHUSD,LONG,100,ARCA,275.4,27.54
2017-07-02 22:17:00,ETHUSD,SHORT,100,ARCA,279.99,27.999000000000002
2017-07-02 23:11:00,ETHUSD,LONG,100,ARCA,281.08,28.108
2017-07-02 23:45:00,ETHUSD,SHORT,100,ARCA,279.61,27.961000000000002
2017-07-03 00:57:00,ETHUSD,LONG,100,ARCA,275.62,27.562
