MACDStrategy_26_45,tickers,['ETHUSD'],initial equity,100000.0,frequency,1 min
Start date,2017-01-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-07-01 00:34:00,ETHUSD,LONG,100,ARCA,274.37,27.437
2017-07-01 00:44:00,ETHUSD,SHORT,100,ARCA,272.0,27.200000000000003
2017-07-01 01:12:00,ETHUSD,LONG,100,ARCA,275.34,27.534
2017-07-01 01:34:00,ETHUSD,SHORT,100,ARCA,270.84,27.084
2017-07-01 02:42:00,ETHUSD,LONG,100,ARCA,265.26,26.526
2017-07-01 03:45:00,ETHUSD,SHORT,100,ARCA,265.87,26.587000000000003
2017-07-01 04:28:00,ETHUSD,LONG,100,ARCA,266.43,26.643
2017-07-01 05:25:00,ETHUSD,SHORT,100,ARCA,265.1,26.510000000000005
2017-07-01 06:40:00,ETHUSD,LONG,100,ARCA,258.26,25.826
2017-07-01 06:57:00,ETHUSD,SHORT,100,ARCA,258.0,25.8
2017-07-01 07:28:00,ETHUSD,LONG,100,ARCA,260.0,26.0
2017-07-01 08:38:00,ETHUSD,SHORT,100,ARCA,263.99,26.399
2017-07-01 09:05:00,ETHUSD,LONG,100,ARCA,265.1,26.510000000000005
2017-07-01 10:22:00,ETHUSD,SHORT,100,ARCA,272.15,27.215
2017-07-01 11:11:00,ETHUSD,LONG,100,ARCA,271.21,27.121
2017-07-01 11:31:00,ETHUSD,SHORT,100,ARCA,268.1,26.810000000000002
2017-07-01 12:31:00,ETHUSD,LONG,100,ARCA,264.0,26.400000000000002
2017-07-01 12:43:00,ETHUSD,SHORT,100,ARCA,264.35,26.435000000000002
2017-07-01 12:58:00,ETHUSD,LONG,100,ARCA,264.83,26.483
2017-07-01 13:19:00,ETHUSD,SHORT,100,ARCA,265.61,26.561000000000003
2017-07-01 13:37:00,ETHUSD,LONG,100,ARCA,264.6,26.460000000000004
2017-07-01 13:42:00,ETHUSD,SHORT,100,ARCA,263.28,26.328
2017-07-01 14:50:00,ETHUSD,LONG,100,ARCA,257.26,25.726
2017-07-01 14:55:00,ETHUSD,SHORT,100,ARCA,256.84,25.683999999999997
2017-07-01 15:19:00,ETHUSD,LONG,100,ARCA,260.96,26.096
2017-07-01 16:26:00,ETHUSD,SHORT,100,ARCA,263.66,26.366000000000003
2017-07-01 18:06:00,ETHUSD,LONG,100,ARCA,258.13,25.813000000000002
2017-07-01 18:20:00,ETHUSD,SHORT,100,ARCA,253.69,25.369
2017-07-01 19:21:00,ETHUSD,LONG,100,ARCA,244.58,24.458000000000002
2017-07-01 19:25:00,ETHUSD,SHORT,100,ARCA,246.26,24.626
2017-07-01 19:49:00,ETHUSD,LONG,100,ARCA,247.0,24.700000000000003
2017-07-01 20:09:00,ETHUSD,SHORT,100,ARCA,249.13,24.913
2017-07-01 20:29:00,ETHUSD,LONG,100,ARCA,249.95,24.995
2017-07-01 20:58:00,ETHUSD,SHORT,100,ARCA,245.46,24.546000000000003
2017-07-01 22:00:00,ETHUSD,LONG,100,ARCA,246.2,24.62
2017-07-01 22:29:00,ETHUSD,SHORT,100,ARCA,247.67,24.767
2017-07-01 22:34:00,ETHUSD,LONG,100,ARCA,248.0,24.8
2017-07-01 23:36:00,ETHUSD,SHORT,100,ARCA,257.0,25.700000000000003
2017-07-01 23:41:00,ETHUSD,LONG,100,ARCA,256.67,25.667
2017-07-02 00:04:00,ETHUSD,SHORT,100,ARCA,253.44,25.344
2017-07-02 00:50:00,ETHUSD,LONG,100,ARCA,250.7,25.07
2017-07-02 01:04:00,ETHUSD,SHORT,100,ARCA,249.44,24.944000000000003
2017-07-02 01:26:00,ETHUSD,LONG,100,ARCA,251.87,25.187
2017-07-02 02:07:00,ETHUSD,SHORT,100,ARCA,251.15,25.115000000000002
2017-07-02 03:23:00,ETHUSD,LONG,100,ARCA,247.37,24.737000000000002
2017-07-02 03:25:00,ETHUSD,SHORT,100,ARCA,247.62,24.762
2017-07-02 03:26:00,ETHUSD,LONG,100,ARCA,247.38,24.738
2017-07-02 03:42:00,ETHUSD,SHORT,100,ARCA,247.31,24.731
2017-07-02 04:58:00,ETHUSD,LONG,100,ARCA,247.13,24.713
2017-07-02 06:23:00,ETHUSD,SHORT,100,ARCA,252.14,25.214
2017-07-02 07:20:00,ETHUSD,LONG,100,ARCA,252.34,25.234
2017-07-02 09:18:00,ETHUSD,SHORT,100,ARCA,260.1,26.010000000000005
2017-07-02 09:46:00,ETHUSD,LONG,100,ARCA,259.21,25.921
2017-07-02 09:52:00,ETHUSD,SHORT,100,ARCA,258.8,25.880000000000003
2017-07-02 11:04:00,ETHUSD,LONG,100,ARCA,255.94,25.594
2017-07-02 11:12:00,ETHUSD,SHORT,100,ARCA,254.05,25.405
2017-07-02 11:36:00,ETHUSD,LONG,100,ARCA,257.57,25.757
2017-07-02 12:24:00,ETHUSD,SHORT,100,ARCA,257.81,25.781000000000002
2017-07-02 13:06:00,ETHUSD,LONG,100,ARCA,256.01,25.601
2017-07-02 13:16:00,ETHUSD,SHORT,100,ARCA,255.14,25.514
2017-07-02 14:37:00,ETHUSD,LONG,100,ARCA,255.4,25.540000000000003
2017-07-02 15:15:00,ETHUSD,SHORT,100,ARCA,255.0,25.5
2017-07-02 15:21:00,ETHUSD,LONG,100,ARCA,254.63,25.463
2017-07-02 17:51:00,ETHUSD,SHORT,100,ARCA,269.8,26.980000000000004
2017-07-02 18:03:00,ETHUSD,LONG,100,ARCA,271.0,27.1
2017-07-02 18:45:00,ETHUSD,SHORT,100,ARCA,272.05,27.205000000000002
2017-07-02 19:24:00,ETHUSD,LONG,100,ARCA,271.08,27.108
2017-07-02 20:07:00,ETHUSD,SHORT,100,ARCA,273.0,27.3
2017-07-02 20:14:00,ETHUSD,LONG,100,ARCA,274.5,27.450000000000003
2017-07-02 20:49:00,ETHUSD,SHORT,100,ARCA,273.62,27.362000000000002
2017-07-02 21:11:00,ETHUSD,LONG,100,ARCA,277.28,27.727999999999998
2017-07-02 22:29:00,ETHUSD,SHORT,100,ARCA,280.2,28.02
2017-07-02 23:13:00,ETHUSD,LONG,100,ARCA,280.74,28.074
2017-07-02 23:44:00,ETHUSD,SHORT,100,ARCA,279.37,27.937
