MACDStrategy_72_120,tickers,['ETHUSD'],initial equity,100000.0,frequency,1 min
Start date,2017-01-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-07-01 03:28:00,ETHUSD,LONG,100,ARCA,269.0,26.900000000000002
2017-07-01 04:29:00,ETHUSD,SHORT,100,ARCA,266.4,26.64
2017-07-01 05:23:00,ETHUSD,LONG,100,ARCA,265.66,26.566000000000003
2017-07-01 05:49:00,ETHUSD,SHORT,100,ARCA,263.43,26.343000000000004
2017-07-01 07:55:00,ETHUSD,LONG,100,ARCA,262.9,26.29
2017-07-01 11:20:00,ETHUSD,SHORT,100,ARCA,269.71,26.971
2017-07-01 13:33:00,ETHUSD,LONG,100,ARCA,264.65,26.465
2017-07-01 13:38:00,ETHUSD,SHORT,100,ARCA,264.6,26.460000000000004
2017-07-01 13:45:00,ETHUSD,LONG,100,ARCA,262.94,26.294
2017-07-01 13:47:00,ETHUSD,SHORT,100,ARCA,261.74,26.174000000000003
2017-07-01 15:47:00,ETHUSD,LONG,100,ARCA,262.2,26.22
2017-07-01 17:19:00,ETHUSD,SHORT,100,ARCA,257.16,25.716000000000005
2017-07-01 20:40:00,ETHUSD,LONG,100,ARCA,249.99,24.999000000000002
2017-07-01 20:55:00,ETHUSD,SHORT,100,ARCA,247.43,24.743000000000002
2017-07-01 21:04:00,ETHUSD,LONG,100,ARCA,249.28,24.928
2017-07-01 21:22:00,ETHUSD,SHORT,100,ARCA,245.55,24.555000000000003
2017-07-01 22:45:00,ETHUSD,LONG,100,ARCA,247.79,24.779
2017-07-02 00:43:00,ETHUSD,SHORT,100,ARCA,250.58,25.058000000000003
2017-07-02 01:54:00,ETHUSD,LONG,100,ARCA,253.0,25.3
2017-07-02 02:42:00,ETHUSD,SHORT,100,ARCA,248.0,24.8
2017-07-02 05:31:00,ETHUSD,LONG,100,ARCA,250.51,25.051000000000002
2017-07-02 07:22:00,ETHUSD,SHORT,100,ARCA,251.77,25.177000000000003
2017-07-02 07:54:00,ETHUSD,LONG,100,ARCA,256.69,25.669
2017-07-02 10:02:00,ETHUSD,SHORT,100,ARCA,259.04,25.904000000000003
2017-07-02 12:01:00,ETHUSD,LONG,100,ARCA,259.88,25.988
2017-07-02 13:11:00,ETHUSD,SHORT,100,ARCA,256.92,25.692000000000004
2017-07-02 15:23:00,ETHUSD,LONG,100,ARCA,254.77,25.477000000000004
2017-07-02 19:41:00,ETHUSD,SHORT,100,ARCA,273.52,27.352
2017-07-02 20:14:00,ETHUSD,LONG,100,ARCA,274.5,27.450000000000003
2017-07-02 23:10:00,ETHUSD,SHORT,100,ARCA,281.54,28.154000000000003
2017-07-03 03:25:00,ETHUSD,LONG,100,ARCA,272.45,27.245
2017-07-03 06:24:00,ETHUSD,SHORT,100,ARCA,273.75,27.375
2017-07-03 09:41:00,ETHUSD,LONG,100,ARCA,267.63,26.763
2017-07-03 10:01:00,ETHUSD,SHORT,100,ARCA,267.97,26.797000000000004
2017-07-03 10:43:00,ETHUSD,LONG,100,ARCA,271.56,27.156000000000002
2017-07-03 15:21:00,ETHUSD,SHORT,100,ARCA,276.0,27.6
2017-07-03 16:27:00,ETHUSD,LONG,100,ARCA,277.42,27.742000000000004
2017-07-03 17:24:00,ETHUSD,SHORT,100,ARCA,278.2,27.82
2017-07-03 17:36:00,ETHUSD,LONG,100,ARCA,278.31,27.831000000000003
2017-07-03 18:18:00,ETHUSD,SHORT,100,ARCA,278.3,27.830000000000002
2017-07-03 20:15:00,ETHUSD,LONG,100,ARCA,278.06,27.806
2017-07-03 21:31:00,ETHUSD,SHORT,100,ARCA,277.12,27.712000000000003
2017-07-03 22:18:00,ETHUSD,LONG,100,ARCA,278.0,27.8
2017-07-03 23:21:00,ETHUSD,SHORT,100,ARCA,276.63,27.663
2017-07-04 01:11:00,ETHUSD,LONG,100,ARCA,276.92,27.692000000000004
2017-07-04 04:06:00,ETHUSD,SHORT,100,ARCA,278.22,27.822000000000003
2017-07-04 05:20:00,ETHUSD,LONG,100,ARCA,279.07,27.907
2017-07-04 07:40:00,ETHUSD,SHORT,100,ARCA,280.65,28.064999999999998
2017-07-04 08:31:00,ETHUSD,LONG,100,ARCA,281.1,28.110000000000003
2017-07-04 11:29:00,ETHUSD,SHORT,100,ARCA,281.89,28.189
2017-07-04 17:59:00,ETHUSD,LONG,100,ARCA,268.31,26.831000000000003
2017-07-04 19:28:00,ETHUSD,SHORT,100,ARCA,263.87,26.387
2017-07-04 21:08:00,ETHUSD,LONG,100,ARCA,265.56,26.556
2017-07-04 23:00:00,ETHUSD,SHORT,100,ARCA,265.61,26.561000000000003
2017-07-04 23:51:00,ETHUSD,LONG,100,ARCA,268.37,26.837000000000003
2017-07-05 00:34:00,ETHUSD,SHORT,100,ARCA,260.01,26.001
2017-07-05 02:04:00,ETHUSD,LONG,100,ARCA,264.55,26.455000000000002
2017-07-05 03:47:00,ETHUSD,SHORT,100,ARCA,265.5,26.55
2017-07-05 03:54:00,ETHUSD,LONG,100,ARCA,266.6,26.660000000000004
2017-07-05 05:10:00,ETHUSD,SHORT,100,ARCA,264.68,26.468000000000004
2017-07-05 06:01:00,ETHUSD,LONG,100,ARCA,265.25,26.525000000000002
2017-07-05 06:26:00,ETHUSD,SHORT,100,ARCA,263.91,26.391000000000005
2017-07-05 08:54:00,ETHUSD,LONG,100,ARCA,260.1,26.010000000000005
2017-07-05 09:50:00,ETHUSD,SHORT,100,ARCA,258.1,25.810000000000002
2017-07-05 12:21:00,ETHUSD,LONG,100,ARCA,257.28,25.727999999999998
2017-07-05 13:37:00,ETHUSD,SHORT,100,ARCA,255.41,25.541
2017-07-05 15:59:00,ETHUSD,LONG,100,ARCA,255.4,25.540000000000003
2017-07-05 17:23:00,ETHUSD,SHORT,100,ARCA,255.29,25.529
2017-07-05 17:48:00,ETHUSD,LONG,100,ARCA,258.0,25.8
2017-07-05 20:18:00,ETHUSD,SHORT,100,ARCA,265.83,26.583
2017-07-05 22:06:00,ETHUSD,LONG,100,ARCA,266.59,26.659
2017-07-05 23:29:00,ETHUSD,SHORT,100,ARCA,265.54,26.554000000000002
