MACDStrategy_96_120,tickers,['ETHUSD'],initial equity,100000.0,frequency,1 min
Start date,2017-01-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-07-01 03:41:00,ETHUSD,LONG,100,ARCA,267.25,26.725
2017-07-01 04:40:00,ETHUSD,SHORT,100,ARCA,267.2,26.72
2017-07-01 05:38:00,ETHUSD,LONG,100,ARCA,263.79,26.379000000000005
2017-07-01 05:59:00,ETHUSD,SHORT,100,ARCA,261.54,26.154000000000003
2017-07-01 07:53:00,ETHUSD,LONG,100,ARCA,262.5,26.25
2017-07-01 11:28:00,ETHUSD,SHORT,100,ARCA,268.98,26.898000000000003
2017-07-01 13:44:00,ETHUSD,LONG,100,ARCA,263.19,26.319000000000003
2017-07-01 13:51:00,ETHUSD,SHORT,100,ARCA,259.09,25.909
2017-07-01 15:51:00,ETHUSD,LONG,100,ARCA,264.08,26.408
2017-07-01 17:32:00,ETHUSD,SHORT,100,ARCA,256.55,25.655
2017-07-01 21:02:00,ETHUSD,LONG,100,ARCA,248.13,24.813000000000002
2017-07-01 21:21:00,ETHUSD,SHORT,100,ARCA,245.55,24.555000000000003
2017-07-01 22:58:00,ETHUSD,LONG,100,ARCA,252.5,25.25
2017-07-02 00:46:00,ETHUSD,SHORT,100,ARCA,250.76,25.076
2017-07-02 02:00:00,ETHUSD,LONG,100,ARCA,252.83,25.283
2017-07-02 02:57:00,ETHUSD,SHORT,100,ARCA,246.15,24.615000000000002
2017-07-02 05:35:00,ETHUSD,LONG,100,ARCA,252.59,25.259
2017-07-02 07:29:00,ETHUSD,SHORT,100,ARCA,252.35,25.235
2017-07-02 08:00:00,ETHUSD,LONG,100,ARCA,257.86,25.786
2017-07-02 10:15:00,ETHUSD,SHORT,100,ARCA,258.58,25.858
2017-07-02 12:09:00,ETHUSD,LONG,100,ARCA,260.87,26.087000000000003
2017-07-02 13:21:00,ETHUSD,SHORT,100,ARCA,255.23,25.523
2017-07-02 15:40:00,ETHUSD,LONG,100,ARCA,254.9,25.490000000000002
2017-07-02 19:53:00,ETHUSD,SHORT,100,ARCA,272.77,27.277
2017-07-02 20:27:00,ETHUSD,LONG,100,ARCA,275.52,27.552
2017-07-02 23:19:00,ETHUSD,SHORT,100,ARCA,279.53,27.953
2017-07-02 23:21:00,ETHUSD,LONG,100,ARCA,279.99,27.999000000000002
2017-07-02 23:23:00,ETHUSD,SHORT,100,ARCA,279.99,27.999000000000002
2017-07-03 03:11:00,ETHUSD,LONG,100,ARCA,271.32,27.132
2017-07-03 03:21:00,ETHUSD,SHORT,100,ARCA,271.87,27.187
2017-07-03 03:46:00,ETHUSD,LONG,100,ARCA,271.99,27.199
2017-07-03 06:39:00,ETHUSD,SHORT,100,ARCA,272.52,27.252
2017-07-03 09:49:00,ETHUSD,LONG,100,ARCA,266.79,26.679000000000002
2017-07-03 10:16:00,ETHUSD,SHORT,100,ARCA,268.77,26.877
2017-07-03 10:53:00,ETHUSD,LONG,100,ARCA,271.58,27.158
2017-07-03 12:32:00,ETHUSD,SHORT,100,ARCA,272.47,27.247000000000003
2017-07-03 12:42:00,ETHUSD,LONG,100,ARCA,273.57,27.357
2017-07-03 15:30:00,ETHUSD,SHORT,100,ARCA,276.82,27.682000000000002
2017-07-03 16:49:00,ETHUSD,LONG,100,ARCA,279.7,27.97
2017-07-03 17:32:00,ETHUSD,SHORT,100,ARCA,278.42,27.842000000000002
2017-07-03 17:57:00,ETHUSD,LONG,100,ARCA,278.95,27.895
2017-07-03 18:25:00,ETHUSD,SHORT,100,ARCA,277.5,27.75
2017-07-03 20:21:00,ETHUSD,LONG,100,ARCA,278.56,27.856
2017-07-03 21:33:00,ETHUSD,SHORT,100,ARCA,277.28,27.727999999999998
2017-07-03 21:50:00,ETHUSD,LONG,100,ARCA,278.63,27.863
2017-07-03 21:56:00,ETHUSD,SHORT,100,ARCA,279.0,27.900000000000002
2017-07-03 22:26:00,ETHUSD,LONG,100,ARCA,278.63,27.863
2017-07-03 23:32:00,ETHUSD,SHORT,100,ARCA,276.11,27.611000000000004
2017-07-04 01:24:00,ETHUSD,LONG,100,ARCA,276.34,27.634
2017-07-04 04:24:00,ETHUSD,SHORT,100,ARCA,278.67,27.867000000000004
2017-07-04 05:27:00,ETHUSD,LONG,100,ARCA,279.77,27.977
2017-07-04 08:02:00,ETHUSD,SHORT,100,ARCA,281.0,28.1
2017-07-04 08:46:00,ETHUSD,LONG,100,ARCA,281.7,28.17
2017-07-04 11:42:00,ETHUSD,SHORT,100,ARCA,281.71,28.171
2017-07-04 18:15:00,ETHUSD,LONG,100,ARCA,269.82,26.982
2017-07-04 19:41:00,ETHUSD,SHORT,100,ARCA,265.64,26.564
2017-07-04 21:06:00,ETHUSD,LONG,100,ARCA,265.0,26.5
2017-07-04 21:28:00,ETHUSD,SHORT,100,ARCA,267.11,26.711000000000002
2017-07-04 21:31:00,ETHUSD,LONG,100,ARCA,267.01,26.701
2017-07-04 23:16:00,ETHUSD,SHORT,100,ARCA,266.85,26.685000000000002
2017-07-05 00:11:00,ETHUSD,LONG,100,ARCA,265.99,26.599000000000004
2017-07-05 00:45:00,ETHUSD,SHORT,100,ARCA,262.89,26.289
2017-07-05 02:11:00,ETHUSD,LONG,100,ARCA,264.67,26.467000000000002
2017-07-05 05:23:00,ETHUSD,SHORT,100,ARCA,265.0,26.5
2017-07-05 06:08:00,ETHUSD,LONG,100,ARCA,265.15,26.515
2017-07-05 06:31:00,ETHUSD,SHORT,100,ARCA,263.9,26.39
2017-07-05 09:02:00,ETHUSD,LONG,100,ARCA,258.89,25.889
2017-07-05 10:05:00,ETHUSD,SHORT,100,ARCA,257.86,25.786
2017-07-05 12:32:00,ETHUSD,LONG,100,ARCA,259.3,25.930000000000003
2017-07-05 13:45:00,ETHUSD,SHORT,100,ARCA,256.26,25.626
2017-07-05 15:55:00,ETHUSD,LONG,100,ARCA,255.6,25.560000000000002
2017-07-05 16:18:00,ETHUSD,SHORT,100,ARCA,255.0,25.5
2017-07-05 16:27:00,ETHUSD,LONG,100,ARCA,255.28,25.528000000000002
2017-07-05 17:32:00,ETHUSD,SHORT,100,ARCA,255.75,25.575000000000003
