,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,long_window,short_window
13,-0.33%,0.06%,0.68%,0 days 00:24:12.000000000,13.80%,863.9132763420208,581734,1.159566453007976,-8.642164961300939,38%,12244,-5.59%,0 days 00:10:00.000000000,26,10
91,-0.33%,0.06%,0.68%,0 days 00:24:12.000000000,13.80%,863.9132763420208,581734,1.159566453007976,-8.642164961300939,38%,12244,-5.59%,0 days 00:10:00.000000000,26,10
101,-0.34%,0.06%,0.67%,0 days 00:24:27.000000000,19.97%,864.5368874609346,581736,0.9151446453020587,-8.643992874609348,39%,12124,-4.75%,0 days 00:10:00.000000000,26,12
23,-0.34%,0.06%,0.67%,0 days 00:24:27.000000000,19.97%,864.5368874609346,581736,0.9151446453020587,-8.643992874609348,39%,12124,-4.75%,0 days 00:10:00.000000000,26,12
80,-0.28%,0.06%,0.68%,0 days 00:20:32.000000000,15.20%,960.9080439016592,581734,0.935601549120138,-9.6165492975965,35%,14491,-3.97%,0 days 00:20:00.000000000,26,5
2,-0.28%,0.06%,0.68%,0 days 00:20:32.000000000,15.20%,960.9080439016592,581734,0.935601549120138,-9.6165492975965,35%,14491,-3.97%,0 days 00:20:00.000000000,26,5
120,-0.37%,0.03%,0.53%,0 days 00:23:12.000000000,13.02%,1092.3245340956244,581723,0.40470139560345203,-10.921615340956244,44%,12617,-8.60%,0 days 00:19:00.000000000,35,30
42,-0.37%,0.03%,0.53%,0 days 00:23:12.000000000,13.02%,1092.3245340956244,581723,0.40470139560345203,-10.921615340956244,44%,12617,-8.60%,0 days 00:19:00.000000000,35,30
111,-0.33%,0.03%,0.50%,0 days 00:19:45.000000000,10.22%,1253.4790161720907,581728,1.0323795446392612,-12.533139041720908,44%,14990,-7.62%,0 days 00:10:00.000000000,30,26
33,-0.33%,0.03%,0.50%,0 days 00:19:45.000000000,10.22%,1253.4790161720907,581728,1.0323795446392612,-12.533139041720908,44%,14990,-7.62%,0 days 00:10:00.000000000,30,26
1,-0.23%,0.04%,0.46%,0 days 00:11:23.000000000,10.67%,2033.8808239040038,581734,0.5409419241120064,-20.355994741051983,38%,25776,-4.91%,0 days 00:05:00.000000000,12,5
79,-0.23%,0.04%,0.46%,0 days 00:11:23.000000000,10.67%,2033.8808239040038,581734,0.5409419241120064,-20.355994741051983,38%,25776,-4.91%,0 days 00:05:00.000000000,12,5
0,-0.21%,0.04%,0.42%,0 days 00:09:42.000000000,10.67%,2418.5820535048238,581705,1.0299081345211831,-24.248228031152376,39%,30378,-4.33%,0 days 00:06:00.000000000,10,5
78,-0.21%,0.04%,0.42%,0 days 00:09:42.000000000,10.67%,2418.5820535048238,581705,1.0299081345211831,-24.248228031152376,39%,30378,-4.33%,0 days 00:06:00.000000000,10,5
90,-0.22%,0.01%,0.34%,0 days 00:08:56.000000000,11.28%,3098.740692204848,581734,0.06394524464078176,-31.01786570964118,42%,33067,-5.75%,0 days 00:07:00.000000000,12,10
12,-0.22%,0.01%,0.34%,0 days 00:08:56.000000000,11.28%,3098.740692204848,581734,0.06394524464078176,-31.01786570964118,42%,33067,-5.75%,0 days 00:07:00.000000000,12,10
