RSIStrategy_5_90_45,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:25:00+00:00,ETHUSDT,LONG,1,ARCA,484.0,0.013
2018-07-25 00:46:00+00:00,ETHUSDT,SHORT,1,ARCA,482.31,0.013
2018-07-25 00:49:00+00:00,ETHUSDT,LONG,1,ARCA,480.46,0.013
2018-07-25 01:49:00+00:00,ETHUSDT,SHORT,1,ARCA,481.11,0.013
2018-07-25 02:02:00+00:00,ETHUSDT,LONG,1,ARCA,481.8,0.013
2018-07-25 02:28:00+00:00,ETHUSDT,SHORT,1,ARCA,478.8,0.013
2018-07-25 02:32:00+00:00,ETHUSDT,LONG,1,ARCA,478.24,0.013
2018-07-25 03:27:00+00:00,ETHUSDT,SHORT,1,ARCA,476.51,0.013
2018-07-25 03:28:00+00:00,ETHUSDT,LONG,1,ARCA,475.77,0.013
2018-07-25 03:35:00+00:00,ETHUSDT,SHORT,1,ARCA,477.1,0.013
2018-07-25 03:50:00+00:00,ETHUSDT,LONG,1,ARCA,479.35,0.013
