RSIStrategy_12_70_30,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:33:00+00:00,ETHUSDT,LONG,1,ARCA,483.22,0.013
2018-07-25 01:13:00+00:00,ETHUSDT,SHORT,1,ARCA,480.13,0.013
2018-07-25 01:35:00+00:00,ETHUSDT,LONG,1,ARCA,480.21,0.013
2018-07-25 01:55:00+00:00,ETHUSDT,SHORT,1,ARCA,482.0,0.013
2018-07-25 02:09:00+00:00,ETHUSDT,LONG,1,ARCA,480.49,0.013
2018-07-25 02:35:00+00:00,ETHUSDT,SHORT,1,ARCA,478.71,0.013
2018-07-25 03:00:00+00:00,ETHUSDT,LONG,1,ARCA,477.53,0.013
2018-07-25 03:41:00+00:00,ETHUSDT,SHORT,1,ARCA,477.81,0.013
