RSIStrategy_5_70_30,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:31:00+00:00,ETHUSDT,LONG,1,ARCA,483.17,0.013
2018-07-25 00:44:00+00:00,ETHUSDT,SHORT,1,ARCA,481.35,0.013
2018-07-25 00:50:00+00:00,ETHUSDT,LONG,1,ARCA,480.29,0.013
2018-07-25 00:56:00+00:00,ETHUSDT,SHORT,1,ARCA,479.97,0.013
2018-07-25 01:00:00+00:00,ETHUSDT,LONG,1,ARCA,479.5,0.013
2018-07-25 01:06:00+00:00,ETHUSDT,SHORT,1,ARCA,479.59,0.013
2018-07-25 01:28:00+00:00,ETHUSDT,LONG,1,ARCA,480.69,0.013
2018-07-25 01:49:00+00:00,ETHUSDT,SHORT,1,ARCA,481.11,0.013
2018-07-25 02:02:00+00:00,ETHUSDT,LONG,1,ARCA,481.8,0.013
2018-07-25 02:28:00+00:00,ETHUSDT,SHORT,1,ARCA,478.8,0.013
2018-07-25 02:45:00+00:00,ETHUSDT,LONG,1,ARCA,477.64,0.013
2018-07-25 03:17:00+00:00,ETHUSDT,SHORT,1,ARCA,476.69,0.013
2018-07-25 03:22:00+00:00,ETHUSDT,LONG,1,ARCA,475.93,0.013
2018-07-25 03:27:00+00:00,ETHUSDT,SHORT,1,ARCA,476.51,0.013
2018-07-25 03:30:00+00:00,ETHUSDT,LONG,1,ARCA,475.42,0.013
2018-07-25 03:35:00+00:00,ETHUSDT,SHORT,1,ARCA,477.1,0.013
2018-07-25 03:52:00+00:00,ETHUSDT,LONG,1,ARCA,479.16,0.013
2018-07-25 03:58:00+00:00,ETHUSDT,SHORT,1,ARCA,479.85,0.013
2018-07-25 04:04:00+00:00,ETHUSDT,LONG,1,ARCA,478.95,0.013
