MACDStrategy_10_26,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:10:00+00:00,ETHUSDT,LONG,1,ARCA,482.53,0.013
2018-07-25 00:35:00+00:00,ETHUSDT,SHORT,1,ARCA,482.8,0.013
2018-07-25 01:14:00+00:00,ETHUSDT,LONG,1,ARCA,479.77,0.013
2018-07-25 01:36:00+00:00,ETHUSDT,SHORT,1,ARCA,480.2,0.013
2018-07-25 01:50:00+00:00,ETHUSDT,LONG,1,ARCA,481.36,0.013
2018-07-25 02:10:00+00:00,ETHUSDT,SHORT,1,ARCA,479.79,0.013
2018-07-25 02:36:00+00:00,ETHUSDT,LONG,1,ARCA,478.78,0.013
2018-07-25 02:49:00+00:00,ETHUSDT,SHORT,1,ARCA,478.53,0.013
2018-07-25 03:32:00+00:00,ETHUSDT,LONG,1,ARCA,476.13,0.013
2018-07-25 04:09:00+00:00,ETHUSDT,SHORT,1,ARCA,478.85,0.013
2018-07-25 04:15:00+00:00,ETHUSDT,LONG,1,ARCA,479.7,0.013
