MACDStrategy_72_96,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 01:12:00+00:00,ETHUSDT,LONG,1,ARCA,479.8,0.013
2018-07-25 01:23:00+00:00,ETHUSDT,SHORT,1,ARCA,481.15,0.013
2018-07-25 02:11:00+00:00,ETHUSDT,LONG,1,ARCA,480.19,0.013
2018-07-25 02:37:00+00:00,ETHUSDT,SHORT,1,ARCA,478.51,0.013
2018-07-25 04:18:00+00:00,ETHUSDT,LONG,1,ARCA,479.16,0.013
