MACDStrategy_30_84,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:30:00+00:00,ETHUSDT,LONG,1,ARCA,484.42,0.013
2018-07-25 00:51:00+00:00,ETHUSDT,SHORT,1,ARCA,479.75,0.013
2018-07-25 01:54:00+00:00,ETHUSDT,LONG,1,ARCA,481.52,0.013
2018-07-25 02:24:00+00:00,ETHUSDT,SHORT,1,ARCA,477.3,0.013
2018-07-25 03:52:00+00:00,ETHUSDT,LONG,1,ARCA,479.16,0.013
