MACDStrategy_10_30,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:10:00+00:00,ETHUSDT,LONG,1,ARCA,482.53,0.013
2018-07-25 00:36:00+00:00,ETHUSDT,SHORT,1,ARCA,482.01,0.013
2018-07-25 01:17:00+00:00,ETHUSDT,LONG,1,ARCA,481.07,0.013
2018-07-25 01:38:00+00:00,ETHUSDT,SHORT,1,ARCA,480.14,0.013
2018-07-25 01:50:00+00:00,ETHUSDT,LONG,1,ARCA,481.36,0.013
2018-07-25 02:11:00+00:00,ETHUSDT,SHORT,1,ARCA,480.19,0.013
2018-07-25 02:41:00+00:00,ETHUSDT,LONG,1,ARCA,478.83,0.013
2018-07-25 02:51:00+00:00,ETHUSDT,SHORT,1,ARCA,477.94,0.013
2018-07-25 03:35:00+00:00,ETHUSDT,LONG,1,ARCA,477.1,0.013
2018-07-25 04:10:00+00:00,ETHUSDT,SHORT,1,ARCA,479.23,0.013
2018-07-25 04:15:00+00:00,ETHUSDT,LONG,1,ARCA,479.7,0.013
