MACDStrategy_30_35,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:30:00+00:00,ETHUSDT,LONG,1,ARCA,484.42,0.013
2018-07-25 00:44:00+00:00,ETHUSDT,SHORT,1,ARCA,481.35,0.013
2018-07-25 01:25:00+00:00,ETHUSDT,LONG,1,ARCA,480.66,0.013
2018-07-25 01:49:00+00:00,ETHUSDT,SHORT,1,ARCA,481.11,0.013
2018-07-25 01:59:00+00:00,ETHUSDT,LONG,1,ARCA,482.84,0.013
2018-07-25 02:20:00+00:00,ETHUSDT,SHORT,1,ARCA,478.15,0.013
2018-07-25 02:52:00+00:00,ETHUSDT,LONG,1,ARCA,477.81,0.013
2018-07-25 02:59:00+00:00,ETHUSDT,SHORT,1,ARCA,477.69,0.013
2018-07-25 03:40:00+00:00,ETHUSDT,LONG,1,ARCA,477.16,0.013
2018-07-25 04:17:00+00:00,ETHUSDT,SHORT,1,ARCA,479.43,0.013
