MACDStrategy_26_35,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:26:00+00:00,ETHUSDT,LONG,1,ARCA,484.44,0.013
2018-07-25 00:43:00+00:00,ETHUSDT,SHORT,1,ARCA,480.73,0.013
2018-07-25 01:24:00+00:00,ETHUSDT,LONG,1,ARCA,481.01,0.013
2018-07-25 01:48:00+00:00,ETHUSDT,SHORT,1,ARCA,480.9,0.013
2018-07-25 01:57:00+00:00,ETHUSDT,LONG,1,ARCA,482.88,0.013
2018-07-25 02:19:00+00:00,ETHUSDT,SHORT,1,ARCA,478.4,0.013
2018-07-25 02:49:00+00:00,ETHUSDT,LONG,1,ARCA,478.53,0.013
2018-07-25 02:58:00+00:00,ETHUSDT,SHORT,1,ARCA,478.0,0.013
2018-07-25 03:38:00+00:00,ETHUSDT,LONG,1,ARCA,476.95,0.013
2018-07-25 04:17:00+00:00,ETHUSDT,SHORT,1,ARCA,479.43,0.013
