MACDStrategy_12_35,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:12:00+00:00,ETHUSDT,LONG,1,ARCA,483.46,0.013
2018-07-25 00:38:00+00:00,ETHUSDT,SHORT,1,ARCA,481.06,0.013
2018-07-25 01:19:00+00:00,ETHUSDT,LONG,1,ARCA,480.48,0.013
2018-07-25 01:41:00+00:00,ETHUSDT,SHORT,1,ARCA,480.35,0.013
2018-07-25 01:52:00+00:00,ETHUSDT,LONG,1,ARCA,481.27,0.013
2018-07-25 02:12:00+00:00,ETHUSDT,SHORT,1,ARCA,480.0,0.013
2018-07-25 02:49:00+00:00,ETHUSDT,LONG,1,ARCA,478.53,0.013
2018-07-25 02:50:00+00:00,ETHUSDT,SHORT,1,ARCA,477.95,0.013
2018-07-25 03:37:00+00:00,ETHUSDT,LONG,1,ARCA,476.93,0.013
2018-07-25 04:16:00+00:00,ETHUSDT,SHORT,1,ARCA,479.47,0.013
2018-07-25 04:17:00+00:00,ETHUSDT,LONG,1,ARCA,479.43,0.013
2018-07-25 04:18:00+00:00,ETHUSDT,SHORT,1,ARCA,479.16,0.013
2018-07-25 04:20:00+00:00,ETHUSDT,LONG,1,ARCA,479.88,0.013
