MACDStrategy_12_60,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:12:00+00:00,ETHUSDT,LONG,1,ARCA,483.46,0.013
2018-07-25 00:39:00+00:00,ETHUSDT,SHORT,1,ARCA,480.43,0.013
2018-07-25 01:27:00+00:00,ETHUSDT,LONG,1,ARCA,480.98,0.013
2018-07-25 01:44:00+00:00,ETHUSDT,SHORT,1,ARCA,479.67,0.013
2018-07-25 01:46:00+00:00,ETHUSDT,LONG,1,ARCA,480.99,0.013
2018-07-25 02:14:00+00:00,ETHUSDT,SHORT,1,ARCA,478.88,0.013
2018-07-25 03:43:00+00:00,ETHUSDT,LONG,1,ARCA,478.68,0.013
