KDJStrategy_12_10_80,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:01:00+00:00,ETHUSDT,LONG,1,ARCA,480.95,0.013
2018-07-25 00:02:00+00:00,ETHUSDT,SHORT,1,ARCA,480.51,0.013
2018-07-25 00:03:00+00:00,ETHUSDT,LONG,1,ARCA,481.21,0.013
2018-07-25 00:04:00+00:00,ETHUSDT,SHORT,1,ARCA,481.28,0.013
2018-07-25 00:05:00+00:00,ETHUSDT,LONG,1,ARCA,481.18,0.013
2018-07-25 00:06:00+00:00,ETHUSDT,SHORT,1,ARCA,482.0,0.013
2018-07-25 00:25:00+00:00,ETHUSDT,LONG,1,ARCA,484.0,0.013
2018-07-25 00:26:00+00:00,ETHUSDT,SHORT,1,ARCA,484.44,0.013
2018-07-25 00:27:00+00:00,ETHUSDT,LONG,1,ARCA,484.55,0.013
2018-07-25 00:28:00+00:00,ETHUSDT,SHORT,1,ARCA,484.53,0.013
2018-07-25 00:29:00+00:00,ETHUSDT,LONG,1,ARCA,484.5,0.013
2018-07-25 00:30:00+00:00,ETHUSDT,SHORT,1,ARCA,484.42,0.013
2018-07-25 00:31:00+00:00,ETHUSDT,LONG,1,ARCA,483.17,0.013
2018-07-25 00:32:00+00:00,ETHUSDT,SHORT,1,ARCA,483.74,0.013
2018-07-25 00:33:00+00:00,ETHUSDT,LONG,1,ARCA,483.22,0.013
2018-07-25 00:34:00+00:00,ETHUSDT,SHORT,1,ARCA,483.13,0.013
2018-07-25 00:35:00+00:00,ETHUSDT,LONG,1,ARCA,482.8,0.013
2018-07-25 00:36:00+00:00,ETHUSDT,SHORT,1,ARCA,482.01,0.013
2018-07-25 00:37:00+00:00,ETHUSDT,LONG,1,ARCA,480.45,0.013
2018-07-25 00:38:00+00:00,ETHUSDT,SHORT,1,ARCA,481.06,0.013
2018-07-25 00:39:00+00:00,ETHUSDT,LONG,1,ARCA,480.43,0.013
2018-07-25 00:40:00+00:00,ETHUSDT,SHORT,1,ARCA,480.35,0.013
2018-07-25 00:41:00+00:00,ETHUSDT,LONG,1,ARCA,480.0,0.013
2018-07-25 00:43:00+00:00,ETHUSDT,SHORT,1,ARCA,480.73,0.013
2018-07-25 00:44:00+00:00,ETHUSDT,LONG,1,ARCA,481.35,0.013
2018-07-25 00:45:00+00:00,ETHUSDT,SHORT,1,ARCA,482.36,0.013
