KDJStrategy_25_30_72,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-02 01:00:00,BTCUSDT,LONG,0.0001443658308188534,Binance,6919.92,0.001
2018-04-04 09:00:00,BTCUSDT,SHORT,0.0001443658308188534,Binance,7085.12,0.0010228492352512746
2018-04-07 04:00:00,BTCUSDT,LONG,0.0001490227810011412,Binance,6849.99,0.0010218263860160234
2018-04-09 13:00:00,BTCUSDT,SHORT,0.0001490227810011412,Binance,6730.88,0.0010030544561849615
2018-04-10 16:00:00,BTCUSDT,LONG,0.00014639783299873318,Binance,6837.87,0.0010020514017287764
2018-04-16 05:00:00,BTCUSDT,SHORT,0.00014639783299873318,Binance,8036.43,0.0011765159370460095
2018-04-17 09:00:00,BTCUSDT,LONG,0.00014416809587040124,Binance,8144.41,0.0011753394211089633
2018-04-17 23:00:00,BTCUSDT,SHORT,0.00014416809587040124,Binance,7885.02,0.0011367683193000313
2018-04-18 10:00:00,BTCUSDT,LONG,0.00014014756244028735,Binance,8095.01,0.0011356315509807313
2018-04-25 11:00:00,BTCUSDT,SHORT,0.00014014756244028735,Binance,9144.03,0.0012815135153808608
2018-04-26 22:00:00,BTCUSDT,LONG,0.0001386998991284692,Binance,9221.0,0.00128023200186548
2018-04-27 23:00:00,BTCUSDT,SHORT,0.0001386998991284692,Binance,8915.36,0.0012365595326939893
2018-04-28 12:00:00,BTCUSDT,LONG,0.00013159292372397883,Binance,9378.07,0.0012353229731612953
2018-04-30 08:00:00,BTCUSDT,SHORT,0.00013159292372397883,Binance,9195.03,0.0012100008814296972
2018-05-02 04:00:00,BTCUSDT,LONG,0.00013303743079138606,Binance,9077.01,0.0012087908805482675
2018-05-06 08:00:00,BTCUSDT,SHORT,0.00013303743079138606,Binance,9615.01,0.0012791562274334848
2018-05-08 04:00:00,BTCUSDT,LONG,0.0001353818281261435,Binance,9429.62,0.0012778770712060514
2018-05-08 13:00:00,BTCUSDT,SHORT,0.0001353818281261435,Binance,9128.88,0.0012358844631441888
2018-05-09 14:00:00,BTCUSDT,LONG,0.00013238742581626151,Binance,9316.7,0.0012346485786810446
2018-05-10 20:00:00,BTCUSDT,SHORT,0.00013238742581626151,Binance,9078.89,0.0012019308763689983
2018-05-13 14:00:00,BTCUSDT,LONG,0.00013860311870446819,Binance,8654.41,0.0012007289454926294
2018-05-14 07:00:00,BTCUSDT,SHORT,0.00013860311870446819,Binance,8376.33,0.001160985461297798
2018-05-14 16:00:00,BTCUSDT,LONG,0.00013206112032103487,Binance,8773.7,0.0011598244758365002
2018-05-15 17:00:00,BTCUSDT,SHORT,0.00013206112032103487,Binance,8547.9,0.001128845250392174
2018-05-18 20:00:00,BTCUSDT,LONG,0.00013701091485884546,Binance,8222.62,0.0011277164051417818
2018-05-21 17:00:00,BTCUSDT,SHORT,0.00013701091485884546,Binance,8368.99,0.0011466429763445291
2018-05-29 13:00:00,BTCUSDT,LONG,0.00015360063421838917,Binance,7450.17,0.0011454963333681848
2018-05-30 17:00:00,BTCUSDT,SHORT,0.00015360063421838917,Binance,7327.8,0.0011255547274255122
2018-05-31 07:00:00,BTCUSDT,LONG,0.00014860533346104746,Binance,7558.98,0.0011244291726980867
2018-06-01 12:00:00,BTCUSDT,SHORT,0.00014860533346104746,Binance,7418.0,0.0011023543636140502
2018-06-02 07:00:00,BTCUSDT,LONG,0.0001439799446723185,Binance,7641.0,0.0011012520092504362
2018-06-04 06:00:00,BTCUSDT,SHORT,0.0001439799446723185,Binance,7578.76,0.0010911894454847806
2018-06-05 19:00:00,BTCUSDT,LONG,0.0001428955161826656,Binance,7621.01,0.0010900982560392957
2018-06-08 03:00:00,BTCUSDT,SHORT,0.0001428955161826656,Binance,7630.5,0.0010903642362318298
2018-06-09 03:00:00,BTCUSDT,LONG,0.00014203932805435245,Binance,7661.15,0.0010892738719955979
2018-06-10 00:00:00,BTCUSDT,SHORT,0.00014203932805435245,Binance,7264.9,0.0010319015143820652
