KDJStrategy_116_24_81,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-02 03:00:00,BTCUSDT,LONG,0.00014310844726618456,Binance,6980.72,0.001
2018-04-05 02:00:00,BTCUSDT,SHORT,0.00014310844726618456,Binance,6616.13,0.0009468240912112217
2018-04-09 06:00:00,BTCUSDT,LONG,0.00013278632494581225,Binance,7116.18,0.0009458772671200103
2018-04-26 03:00:00,BTCUSDT,SHORT,0.00013278632494581225,Binance,8808.02,0.0011695846058492135
2018-05-03 16:00:00,BTCUSDT,LONG,0.00012142224441410498,Binance,9613.12,0.0011684150212433644
2018-05-07 23:00:00,BTCUSDT,SHORT,0.00012142224441410498,Binance,9365.0,0.001137119318938093
2018-05-20 18:00:00,BTCUSDT,LONG,0.00013294824477735895,Binance,8536.0,0.001135982199619155
2018-05-22 22:00:00,BTCUSDT,SHORT,0.00013294824477735895,Binance,7961.99,0.0010585325954348842
2018-05-31 08:00:00,BTCUSDT,LONG,0.00014010811507897332,Binance,7540.01,0.0010574740628394492
2018-06-05 03:00:00,BTCUSDT,SHORT,0.00014010811507897332,Binance,7417.36,0.0010392323284621737
2018-06-07 05:00:00,BTCUSDT,LONG,0.00013448585360964442,Binance,7712.0,0.0010381930961337114
2018-06-10 02:00:00,BTCUSDT,SHORT,0.00013448585360964442,Binance,7321.07,0.0009845803482859594
2018-06-18 21:00:00,BTCUSDT,LONG,0.00014615658346034524,Binance,6723.01,0.0009835957679376734
2018-06-22 10:00:00,BTCUSDT,SHORT,0.00014615658346034524,Binance,6363.95,0.000930133189312464
2018-06-30 08:00:00,BTCUSDT,LONG,0.00014526977356291526,Binance,6390.0,0.0009292030561231517
2018-07-10 11:00:00,BTCUSDT,SHORT,0.00014526977356291526,Binance,6366.0,0.0009247873785015185
2018-07-15 15:00:00,BTCUSDT,LONG,0.00014453754757400312,Binance,6385.46,0.000923862591123017
2018-07-31 13:00:00,BTCUSDT,SHORT,0.00014453754757400312,Binance,7730.0,0.001117275242747044
