KDJStrategy_116_24_81,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2017-04-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-29 18:00:00,BTCUSDT,LONG,0.0001676168871916537,Binance,5960.02,0.001
2017-11-07 16:00:00,BTCUSDT,SHORT,0.0001676168871916537,Binance,7000.0,0.001173318210341576
2017-11-15 07:00:00,BTCUSDT,LONG,0.00017093918704030425,Binance,6850.23,0.0011721448921312345
2017-12-19 22:00:00,BTCUSDT,SHORT,0.00017093918704030425,Binance,16659.98,0.002847843437307728
2017-12-26 13:00:00,BTCUSDT,LONG,0.00018809832204780367,Binance,15109.92,0.00284499559387042
2017-12-30 03:00:00,BTCUSDT,SHORT,0.00018809832204780367,Binance,13423.64,0.0025249641597737795
2018-01-03 02:00:00,BTCUSDT,LONG,0.0001679041180124021,Binance,15008.07,0.0025224391956140055
2018-01-10 09:00:00,BTCUSDT,SHORT,0.0001679041180124021,Binance,13754.38,0.002309417042707423
2018-01-20 20:00:00,BTCUSDT,LONG,0.00018027647794836613,Binance,12784.81,0.0023071076256647154
2018-01-22 16:00:00,BTCUSDT,SHORT,0.00018027647794836613,Binance,10466.73,0.0018869052200365022
2018-01-27 19:00:00,BTCUSDT,LONG,0.00016367713788684993,Binance,11505.17,0.0018850183148164657
2018-01-30 15:00:00,BTCUSDT,SHORT,0.00016367713788684993,Binance,10323.02,0.0016896423679487096
2018-02-09 11:00:00,BTCUSDT,LONG,0.0002036522143223987,Binance,8280.12,0.001687952725580761
2018-02-21 21:00:00,BTCUSDT,SHORT,0.0002036522143223987,Binance,10257.65,0.0020889931362441526
2018-02-27 07:00:00,BTCUSDT,LONG,0.0001966808716004529,Binance,10600.0,0.002086904143107909
2018-03-06 14:00:00,BTCUSDT,SHORT,0.0001966808716004529,Binance,10982.0,0.0021599493319161738
2018-03-19 15:00:00,BTCUSDT,LONG,0.00025212065417563434,Binance,8550.0,0.002157789382584258
2018-03-25 11:00:00,BTCUSDT,SHORT,0.00025212065417563434,Binance,8407.0,0.002119578339654558
Sharpe Ratio,Sortino Ratio,Max Drawdown,Max Drawdown Duration,Total Returns,Annualized Returns,Compound Annual Growth Rate
2.477715761112731,3.4970787729063644,52.5450649167751,2509,1.1174587613149036,2.630021157742761,4.845604227051119
Trades,Trade Winning,Average Trade,Average Win,Average Loss,Best Trade,Worst Trade,Worst Trade Date,Avg Days in Trade
9,0.4444444444444444,0.15394069878011518,0.4703478280875138,-0.09918500466580371,1.4320322091375035,-0.18131517011203138,1 days 20:00:00,9 days 09:40:00
