,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,m,n,window
171,-5.43%,4.18%,12.19%,3 days 11:13:38.000000000,30.86%,56.01194645239038,2017,3.7783425530490895,8.039490230000002,55%,22,-16.01%,4 days 02:00:00.000000000,45,96,26
249,-4.55%,4.44%,13.42%,3 days 18:09:00.000000000,30.59%,53.983749887970255,1055,3.433007705029478,7.793897809999995,50%,20,-7.13%,2 days 00:00:00.000000000,12,252,45
205,-6.50%,3.70%,9.52%,3 days 06:57:16.000000000,21.25%,52.20794049390989,1686,3.531085029192228,7.669447489999998,64%,22,-22.26%,3 days 11:00:00.000000000,96,12,45
272,-5.38%,2.31%,7.24%,1 days 20:32:12.000000000,24.34%,52.89743545116238,1686,3.5648490922635263,7.658699260000006,61%,41,-23.45%,3 days 05:00:00.000000000,5,26,60
261,-7.37%,4.26%,12.01%,3 days 16:51:00.000000000,19.76%,67.22094241104391,2017,3.706152124025025,7.6423223700000005,60%,20,-11.74%,3 days 09:00:00.000000000,96,5,60
251,-5.75%,5.82%,19.05%,4 days 22:08:00.000000000,28.60%,62.01561950851146,991,3.2256206176150592,7.614194329999997,47%,15,-11.03%,1 days 15:00:00.000000000,45,252,45
270,-11.25%,5.62%,13.28%,4 days 14:26:15.000000000,29.58%,64.93117719867685,2017,3.8250686479440446,7.5656138099999986,69%,16,-20.34%,3 days 04:00:00.000000000,120,12,60
213,-8.37%,4.07%,9.04%,3 days 11:51:26.000000000,18.47%,64.80519171759744,2017,3.743190533209987,7.46356653,71%,21,-14.79%,2 days 06:00:00.000000000,96,26,45
214,-8.22%,4.59%,11.00%,4 days 01:36:40.000000000,17.47%,66.4869001316878,2017,3.595704915944144,7.301475089999997,67%,18,-15.60%,3 days 16:00:00.000000000,120,26,45
99,-5.43%,2.44%,9.91%,2 days 00:29:14.000000000,30.42%,47.00579846444293,1686,3.7173059637376222,7.222151829999996,51%,39,-24.34%,4 days 07:00:00.000000000,45,60,12
322,-7.71%,3.05%,9.13%,2 days 01:03:20.000000000,33.58%,68.87085959408665,2509,3.5865546385706395,7.1583276600000065,64%,36,-17.77%,4 days 06:00:00.000000000,26,5,96
259,-7.01%,3.08%,8.92%,2 days 14:48:00.000000000,24.63%,64.82805830152971,2276,3.3763772460793238,7.1476964199999955,63%,30,-20.75%,3 days 05:00:00.000000000,45,5,60
59,-3.80%,1.82%,6.44%,1 days 11:57:39.000000000,26.00%,42.237179179002005,2006,3.7447486447475002,7.097056589999992,55%,51,-11.18%,0 days 16:00:00.000000000,45,252,5
330,-8.52%,2.90%,8.88%,2 days 07:11:15.000000000,33.21%,59.91175789134275,2276,3.720072657897805,7.082954209999995,66%,32,-18.43%,4 days 05:00:00.000000000,26,12,96
218,-5.25%,2.72%,10.69%,2 days 15:20:00.000000000,22.66%,57.244204774593086,2276,3.3877335098309285,7.077489490000007,50%,30,-22.10%,4 days 00:00:00.000000000,26,45,45
165,-6.12%,3.58%,9.13%,3 days 10:05:27.000000000,25.51%,61.820701691576794,1686,3.2264216146908598,7.064867450000001,64%,22,-13.16%,3 days 12:00:00.000000000,96,60,26
197,-5.85%,2.42%,8.25%,2 days 13:14:29.000000000,19.15%,58.56707211204403,1686,3.405069850501853,6.852219570000003,59%,29,-28.68%,3 days 11:00:00.000000000,96,5,45
127,-5.02%,5.21%,18.84%,5 days 06:04:17.000000000,29.70%,49.6975249328346,940,3.5599488713577734,6.836760629999999,43%,14,-17.70%,4 days 19:00:00.000000000,252,252,12
189,-6.63%,5.35%,17.34%,4 days 11:52:30.000000000,33.94%,62.970311189292794,1078,3.196829220933109,6.799850599999994,50%,16,-12.87%,5 days 16:00:00.000000000,96,252,26
190,-7.85%,6.26%,16.85%,5 days 01:38:34.000000000,30.32%,54.46661582272411,2735,3.484558787196298,6.722935799999999,57%,14,-9.77%,5 days 12:00:00.000000000,120,252,26
107,-3.67%,2.53%,9.06%,1 days 23:25:57.000000000,24.01%,43.91928062166829,1859,3.5620363872090035,6.717316729999996,49%,37,-11.16%,1 days 01:00:00.000000000,45,96,12
81,-5.15%,1.60%,7.36%,1 days 07:00:57.000000000,31.10%,67.75506623836566,2509,3.0654331528101473,6.465147709999999,54%,63,-19.58%,1 days 16:00:00.000000000,12,26,12
316,-9.42%,5.87%,15.43%,5 days 13:09:14.000000000,33.34%,51.25066140054939,940,3.514417397950064,6.412169830000004,62%,13,-14.29%,6 days 09:00:00.000000000,60,252,60
158,-7.20%,3.51%,10.09%,3 days 10:28:34.000000000,23.13%,61.90397774251045,1686,3.3885037767978776,6.407293070000001,62%,21,-28.12%,2 days 22:00:00.000000000,120,45,26
266,-3.67%,2.24%,7.57%,2 days 00:20:32.000000000,26.24%,56.835314399720495,1686,3.3169399220328266,6.375037400000001,53%,38,-16.46%,3 days 08:00:00.000000000,26,12,60
258,-3.98%,1.81%,8.31%,1 days 11:49:25.000000000,22.04%,59.33142533853254,1686,2.87900753688519,6.3567358400000025,47%,51,-16.22%,3 days 08:00:00.000000000,26,5,60
22,-3.88%,1.45%,6.79%,1 days 06:33:00.000000000,24.85%,45.96808242740508,2276,3.782658951964373,6.327453230000001,50%,60,-13.01%,1 days 18:00:00.000000000,120,26,5
329,-7.33%,2.22%,6.83%,1 days 17:04:11.000000000,32.42%,71.20329460181365,2509,3.4123822048570176,6.299504069999994,67%,43,-17.13%,4 days 05:00:00.000000000,12,12,96
188,-5.81%,3.54%,12.89%,3 days 11:05:27.000000000,28.87%,52.04839265690258,1686,3.301695065308365,6.272116510000006,50%,22,-10.44%,0 days 18:00:00.000000000,60,252,26
202,-8.21%,2.68%,8.57%,2 days 03:45:24.000000000,38.95%,58.235219718259714,1686,3.2464136891897417,6.139684139999992,65%,37,-32.54%,4 days 11:00:00.000000000,26,12,45
166,-8.85%,4.02%,10.45%,4 days 04:26:40.000000000,19.28%,68.38366969988887,2017,3.295214371506272,6.077360140000001,67%,18,-19.81%,3 days 08:00:00.000000000,120,60,26
44,-3.63%,1.62%,7.12%,1 days 15:42:40.000000000,21.28%,74.23180077848977,1859,2.87871478774856,5.991841449999992,49%,45,-11.39%,1 days 05:00:00.000000000,60,96,5
43,-3.20%,1.72%,7.23%,1 days 09:50:57.000000000,30.01%,64.1875752692837,2276,3.065314684155543,5.970030530000002,47%,53,-10.84%,2 days 07:00:00.000000000,45,96,5
264,-2.97%,1.19%,5.69%,0 days 23:00:46.000000000,19.02%,74.11866739474459,2106,2.8704195587852084,5.857549470000005,48%,79,-14.75%,2 days 09:00:00.000000000,5,12,60
240,-9.02%,3.70%,11.53%,3 days 11:31:26.000000000,28.22%,68.09648475241985,2017,3.353353628724198,5.795860449999999,62%,21,-23.12%,3 days 12:00:00.000000000,5,120,45
164,-6.04%,2.59%,9.51%,2 days 21:00:00.000000000,23.34%,54.82331390819745,1686,3.193697477200719,5.786715349999994,56%,27,-20.01%,3 days 23:00:00.000000000,60,60,26
122,-3.60%,1.81%,7.44%,1 days 13:24:29.000000000,46.35%,52.76263321369654,2509,3.5262507733499127,5.742198060000008,49%,49,-10.85%,1 days 12:00:00.000000000,26,252,12
60,-3.94%,1.83%,7.87%,1 days 17:10:40.000000000,36.28%,54.28560398642743,2436,3.137735900104968,5.72860914,49%,45,-9.45%,0 days 13:00:00.000000000,60,252,5
126,-4.14%,3.53%,16.00%,3 days 08:17:09.000000000,33.98%,64.22505360570243,940,3.017008041074449,5.7262736099999945,38%,21,-10.24%,2 days 18:00:00.000000000,120,252,12
511,-12.93%,13.66%,31.39%,12 days 18:24:00.000000000,72.92%,143.1940090898931,1859,-0.9071080114987491,5.694005920000002,60%,5,-18.24%,8 days 15:00:00.000000000,252,252,252
