ADX_BOLLStrategy_26_72_0.85684,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2017-04-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-27 23:00:00,BTCUSDT,LONG,0.00017317202968366202,Binance,5768.83,0.001
2017-10-28 02:00:00,BTCUSDT,SHORT,0.00017317202968366202,Binance,5748.52,0.000995482876077125
2017-10-29 13:00:00,BTCUSDT,LONG,0.00017158772121033623,Binance,5790.0,0.000994487393201048
2017-10-30 22:00:00,BTCUSDT,SHORT,0.00017158772121033623,Binance,6110.05,0.001048409555981215
2017-10-31 02:00:00,BTCUSDT,LONG,0.00017059862571986332,Binance,6133.19,0.0010473611464252338
2017-11-03 22:00:00,BTCUSDT,SHORT,0.00017059862571986332,Binance,7147.93,0.0012194270347417827
2017-11-04 20:00:00,BTCUSDT,LONG,0.00016445758256049763,Binance,7400.02,0.0012182076077070407
2017-11-05 21:00:00,BTCUSDT,SHORT,0.00016445758256049763,Binance,7324.28,0.0012045333827962015
2017-11-08 11:00:00,BTCUSDT,LONG,0.00016253725264521256,Binance,7396.0,0.0012033288494134053
2017-11-08 18:00:00,BTCUSDT,SHORT,0.00016253725264521256,Binance,7070.0,0.001149138376201653
2017-11-09 01:00:00,BTCUSDT,LONG,0.0001565422775328178,Binance,7326.08,0.0011479892378254513
2017-11-09 03:00:00,BTCUSDT,SHORT,0.0001565422775328178,Binance,7276.0,0.0011390016113287822
2017-11-13 12:00:00,BTCUSDT,LONG,0.00017225738288855356,Binance,6598.99,0.0011378626097174533
2017-11-14 15:00:00,BTCUSDT,SHORT,0.00017225738288855356,Binance,6436.0,0.0011086485162707306
2017-11-14 16:00:00,BTCUSDT,LONG,0.0001704823764349678,Binance,6490.01,0.00110753986775446
2017-11-17 12:00:00,BTCUSDT,SHORT,0.0001704823764349678,Binance,7698.64,0.0013124824425173006
2017-11-17 13:00:00,BTCUSDT,LONG,0.000169078832806212,Binance,7747.03,0.0013111699600747832
2017-11-17 20:00:00,BTCUSDT,SHORT,0.000169078832806212,Binance,7696.63,0.0013013372169412756
2017-11-19 17:00:00,BTCUSDT,LONG,0.00016348638517681393,Binance,7944.0,0.0013000358797243343
2017-11-21 02:00:00,BTCUSDT,SHORT,0.00016348638517681393,Binance,8095.14,0.0013234451761002335
2017-11-21 08:00:00,BTCUSDT,LONG,0.00016085773064764613,Binance,8210.98,0.0013221217309241334
2017-11-21 13:00:00,BTCUSDT,SHORT,0.00016085773064764613,Binance,8224.31,0.0013229438427427424
2017-11-25 07:00:00,BTCUSDT,LONG,0.0001594392967423912,Binance,8280.89,0.0013216208989
2017-11-27 19:00:00,BTCUSDT,SHORT,0.0001594392967423912,Binance,9499.99,0.001514671724659749
2017-11-27 21:00:00,BTCUSDT,LONG,0.00015713537677010254,Binance,9620.01,0.0015131570529350893
2017-11-28 02:00:00,BTCUSDT,SHORT,0.00015713537677010254,Binance,9617.81,0.0015112981980532599
2017-11-28 04:00:00,BTCUSDT,LONG,0.0001539766885531353,Binance,9795.49,0.0015097868998552068
2017-11-28 09:00:00,BTCUSDT,SHORT,0.0001539766885531353,Binance,9849.11,0.0015165333429955706
2017-11-28 11:00:00,BTCUSDT,LONG,0.00015264799251666898,Binance,9914.98,0.0015150168096525751
2017-11-29 19:00:00,BTCUSDT,SHORT,0.00015264799251666898,Binance,9306.0,0.0014205422183601215
2017-12-01 13:00:00,BTCUSDT,LONG,0.00013299735117125263,Binance,10659.63,0.001419121676141761
2017-12-02 23:00:00,BTCUSDT,SHORT,0.00013299735117125263,Binance,10890.01,0.001448342484228453
2017-12-03 06:00:00,BTCUSDT,LONG,0.0001304273940551163,Binance,11082.39,0.0014468941417442244
2017-12-03 09:00:00,BTCUSDT,SHORT,0.0001304273940551163,Binance,11080.01,0.0014451368304046293
2017-12-03 11:00:00,BTCUSDT,LONG,0.0001241605753690086,Binance,11615.99,0.0014436916935742245
2017-12-03 21:00:00,BTCUSDT,SHORT,0.0001241605753690086,Binance,10899.98,0.0013533477883106864
2017-12-04 04:00:00,BTCUSDT,LONG,0.00011737572313216765,Binance,11507.0,0.0013519944405223755
2017-12-04 06:00:00,BTCUSDT,SHORT,0.00011737572313216765,Binance,11435.0,0.001342191394016337
2017-12-04 07:00:00,BTCUSDT,LONG,0.00011604216418540106,Binance,11543.29,0.0013408492026223207
2017-12-04 09:00:00,BTCUSDT,SHORT,0.00011604216418540106,Binance,11346.81,0.0013167083890005505
2017-12-04 23:00:00,BTCUSDT,LONG,0.0001134878909172587,Binance,11579.0,0.00131539168061155
2017-12-05 06:00:00,BTCUSDT,SHORT,0.0001134878909172587,Binance,11600.0,0.0013164595346402011
2017-12-05 07:00:00,BTCUSDT,LONG,0.00011153038472244952,Binance,11780.0,0.0013151430751055608
2017-12-05 10:00:00,BTCUSDT,SHORT,0.00011153038472244952,Binance,11640.47,0.001298266097450132
2017-12-05 12:00:00,BTCUSDT,LONG,0.00011056164938457403,Binance,11718.99,0.0012969678313526818
2017-12-08 09:00:00,BTCUSDT,SHORT,0.00011056164938457403,Binance,15177.02,0.0016779963639426678
2017-12-08 14:00:00,BTCUSDT,LONG,0.00010539273315723089,Binance,15889.54,0.0016763183675787253
2017-12-08 16:00:00,BTCUSDT,SHORT,0.00010539273315723089,Binance,15215.01,0.0016035514889145995
2017-12-11 01:00:00,BTCUSDT,LONG,9.988104177671547e-05,Binance,16022.52,0.0016019479374256849
2017-12-12 17:00:00,BTCUSDT,SHORT,9.988104177671547e-05,Binance,16310.54,0.001629113727140789
2017-12-15 00:00:00,BTCUSDT,LONG,9.581359899488447e-05,Binance,16968.96,0.0016274846134136482
2017-12-16 04:00:00,BTCUSDT,SHORT,9.581359899488447e-05,Binance,17437.06,0.0016707074744897403
2017-12-16 06:00:00,BTCUSDT,LONG,9.459770123524244e-05,Binance,17625.88,0.0016690367670152506
2017-12-16 11:00:00,BTCUSDT,SHORT,9.459770123524244e-05,Binance,17829.99,0.0016866760670473607
2017-12-16 14:00:00,BTCUSDT,LONG,9.079311766932757e-05,Binance,18540.0,0.0016849893909803132
2017-12-17 23:00:00,BTCUSDT,SHORT,9.079311766932757e-05,Binance,18860.02,0.0017123600151058714
2017-12-25 12:00:00,BTCUSDT,LONG,0.00012085244832010847,Binance,14140.69,0.0017106476550907655
2017-12-27 16:00:00,BTCUSDT,SHORT,0.00012085244832010847,Binance,14558.63,0.0017594460796865807
2018-01-02 13:00:00,BTCUSDT,LONG,0.0001266448957714535,Binance,13864.98,0.001757686633606894
2018-01-03 21:00:00,BTCUSDT,SHORT,0.0001266448957714535,Binance,14926.96,0.0018904232933846553
2018-01-04 01:00:00,BTCUSDT,LONG,0.00012434942099200238,Binance,15172.12,0.0018885328700912706
2018-01-04 04:00:00,BTCUSDT,SHORT,0.00012434942099200238,Binance,14882.53,0.0018506339883961052
2018-01-05 09:00:00,BTCUSDT,LONG,0.00011630284716265165,Binance,15880.39,0.0018487833544077092
2018-01-06 19:00:00,BTCUSDT,SHORT,0.00011630284716265165,Binance,16770.01,0.0019503999099461395
2018-01-06 21:00:00,BTCUSDT,LONG,0.00011592533022330173,Binance,16790.99,0.0019484495100361935
2018-01-07 00:00:00,BTCUSDT,SHORT,0.00011592533022330173,Binance,17009.09,0.0019717843750478594
2018-01-13 01:00:00,BTCUSDT,LONG,0.00013887014872446176,Binance,14170.38,0.0019698125906728115
2018-01-13 05:00:00,BTCUSDT,SHORT,0.00013887014872446176,Binance,14130.0,0.0019622352014766445
2018-01-13 07:00:00,BTCUSDT,LONG,0.00013737638228232112,Binance,14255.09,0.0019602729662751683
2018-01-13 09:00:00,BTCUSDT,SHORT,0.00013737638228232112,Binance,14171.05,0.0019467675821418866
2018-01-13 12:00:00,BTCUSDT,LONG,0.00013606527023917535,Binance,14279.0,0.0019448208145597446
2018-01-14 03:00:00,BTCUSDT,SHORT,0.00013606527023917535,Binance,14162.0,0.0019269563571272014
2018-01-19 10:00:00,BTCUSDT,LONG,0.0001662147252696028,Binance,11570.0,0.0019250294007700744
2018-01-19 13:00:00,BTCUSDT,SHORT,0.0001662147252696028,Binance,11570.0,0.0019231043713693044
2018-01-20 00:00:00,BTCUSDT,LONG,0.00016623043966981332,Binance,11545.78,0.0019211812669979354
2018-01-21 06:00:00,BTCUSDT,SHORT,0.00016623043966981332,Binance,11826.99,0.0019660057476704853
2018-01-24 13:00:00,BTCUSDT,LONG,0.00017311765654154723,Binance,11333.77,0.0019640397419228147
2018-01-24 18:00:00,BTCUSDT,SHORT,0.00017311765654154723,Binance,11069.09,0.0019162549208474751
2018-01-24 23:00:00,BTCUSDT,LONG,0.00016849568389581848,Binance,11349.99,0.0019143386659266272
2018-01-25 13:00:00,BTCUSDT,SHORT,0.00016849568389581848,Binance,11252.35,0.0018959724086851132
2018-01-26 00:00:00,BTCUSDT,LONG,0.00016640509578277183,Binance,11370.94,0.001894076436276428
2018-01-26 04:00:00,BTCUSDT,SHORT,0.00016640509578277183,Binance,11469.94,0.001908656464322646
2018-01-27 15:00:00,BTCUSDT,LONG,0.00016614473330022942,Binance,11464.95,0.0019067478078583235
2018-01-29 06:00:00,BTCUSDT,SHORT,0.00016614473330022942,Binance,11429.95,0.0018990259943849576
2018-02-07 10:00:00,BTCUSDT,LONG,0.00023200267369594588,Binance,8169.0,0.0018971269683905724
2018-02-07 23:00:00,BTCUSDT,SHORT,0.00023200267369594588,Binance,7599.0,0.0017629883174154928
2018-02-08 01:00:00,BTCUSDT,LONG,0.0002127587866841334,Binance,8269.76,0.0017612253290980773
2018-02-08 13:00:00,BTCUSDT,SHORT,0.0002127587866841334,Binance,8269.76,0.0017594641037689792
2018-02-08 18:00:00,BTCUSDT,LONG,0.00021233348186955182,Binance,8269.76,0.00175770463966521
2018-02-08 19:00:00,BTCUSDT,SHORT,0.00021233348186955182,Binance,8269.76,0.0017559469350255448
2018-02-08 21:00:00,BTCUSDT,LONG,0.0002119090272392946,Binance,8269.76,0.0017541909880905194
2018-02-09 12:00:00,BTCUSDT,SHORT,0.0002119090272392946,Binance,8241.0,0.0017463422934790268
2018-02-09 14:00:00,BTCUSDT,LONG,0.00020624263862028858,Binance,8450.49,0.001744595951185548
2018-02-10 16:00:00,BTCUSDT,SHORT,0.00020624263862028858,Binance,8185.98,0.0016882981148929098
2018-02-12 08:00:00,BTCUSDT,LONG,0.00019238675576173085,Binance,8758.0,0.001686609816778017
2018-02-13 09:00:00,BTCUSDT,SHORT,0.00019238675576173085,Binance,8431.08,0.0016220281287676137
2018-02-14 05:00:00,BTCUSDT,LONG,0.00018301703725700477,Binance,8845.0,0.0016204061006388462
