BOLLStrategy_5_1.8,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 04:20:00+00:00,End date,2018-07-25 06:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 04:40:00+00:00,ETHUSDT,LONG,1,ARCA,483.11,0.013
2018-07-25 04:47:00+00:00,ETHUSDT,SHORT,1,ARCA,483.03,0.013
2018-07-25 04:53:00+00:00,ETHUSDT,LONG,1,ARCA,484.36,0.013
2018-07-25 04:55:00+00:00,ETHUSDT,SHORT,1,ARCA,483.56,0.013
2018-07-25 05:02:00+00:00,ETHUSDT,SHORT,1,ARCA,483.77,0.013
2018-07-25 05:04:00+00:00,ETHUSDT,LONG,1,ARCA,484.28,0.013
2018-07-25 05:15:00+00:00,ETHUSDT,SHORT,1,ARCA,483.94,0.013
2018-07-25 05:24:00+00:00,ETHUSDT,LONG,1,ARCA,483.62,0.013
2018-07-25 05:44:00+00:00,ETHUSDT,LONG,1,ARCA,483.99,0.013
2018-07-25 05:46:00+00:00,ETHUSDT,SHORT,1,ARCA,483.68,0.013
2018-07-25 06:00:00+00:00,ETHUSDT,SHORT,1,ARCA,483.52,0.013
2018-07-25 06:07:00+00:00,ETHUSDT,LONG,1,ARCA,482.6,0.013
2018-07-25 06:12:00+00:00,ETHUSDT,SHORT,1,ARCA,481.59,0.013
2018-07-25 06:16:00+00:00,ETHUSDT,LONG,1,ARCA,481.75,0.013
