BOLLStrategy_26_1.2,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 04:20:00+00:00,End date,2018-07-25 06:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 04:23:00+00:00,ETHUSDT,SHORT,1,ARCA,479.55,0.013
2018-07-25 04:25:00+00:00,ETHUSDT,LONG,1,ARCA,480.01,0.013
2018-07-25 04:26:00+00:00,ETHUSDT,LONG,1,ARCA,480.42,0.013
2018-07-25 05:06:00+00:00,ETHUSDT,SHORT,1,ARCA,483.73,0.013
2018-07-25 05:08:00+00:00,ETHUSDT,LONG,1,ARCA,484.44,0.013
2018-07-25 05:15:00+00:00,ETHUSDT,SHORT,1,ARCA,483.94,0.013
2018-07-25 05:20:00+00:00,ETHUSDT,SHORT,1,ARCA,483.54,0.013
2018-07-25 05:34:00+00:00,ETHUSDT,LONG,1,ARCA,483.93,0.013
2018-07-25 05:44:00+00:00,ETHUSDT,LONG,1,ARCA,483.99,0.013
2018-07-25 06:00:00+00:00,ETHUSDT,SHORT,1,ARCA,483.52,0.013
2018-07-25 06:01:00+00:00,ETHUSDT,SHORT,1,ARCA,483.42,0.013
