BOLL_RSIStrategy_30_0.1_7_76_45,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2017-04-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-28 07:00:00,BTCUSDT,LONG,0.00017280717383294614,Binance,5781.01,0.001
2017-10-28 09:00:00,BTCUSDT,CLOSE,0.00017280717383294614,Binance,5767.94,0.0009967414102380033
2017-10-30 06:00:00,BTCUSDT,LONG,0.0001625138537853945,Binance,6121.01,0.0009957446688277653
2017-10-30 21:00:00,BTCUSDT,CLOSE,0.0001625138537853945,Binance,6104.88,0.0009921275756973793
2017-11-01 06:00:00,BTCUSDT,LONG,0.00015434829503874672,Binance,6415.0,0.0009911354481216819
2017-11-01 11:00:00,BTCUSDT,CLOSE,0.00015434829503874672,Binance,6614.97,0.0010210093412324583
2017-11-02 17:00:00,BTCUSDT,LONG,0.00014671907012055163,Binance,6945.03,0.001019988331891226
2017-11-03 06:00:00,BTCUSDT,CLOSE,0.00014671907012055163,Binance,7181.03,0.0010535940441077848
2017-11-03 19:00:00,BTCUSDT,LONG,0.00014535359546773754,Binance,7234.0,0.0010525404500636771
2017-11-03 21:00:00,BTCUSDT,CLOSE,0.00014535359546773754,Binance,7084.99,0.0010298287703529659
2017-11-05 20:00:00,BTCUSDT,LONG,0.0001366366755616957,Binance,7521.92,0.001028798941582613
2017-11-05 21:00:00,BTCUSDT,CLOSE,0.0001366366755616957,Binance,7324.28,0.0010007652700830165
2017-11-08 23:00:00,BTCUSDT,LONG,0.0001367608846101767,Binance,7303.0,0.0009997645048129334
2017-11-09 03:00:00,BTCUSDT,CLOSE,0.0001367608846101767,Binance,7276.0,0.0009950721964236459
2017-11-13 18:00:00,BTCUSDT,LONG,0.00015939263277644122,Binance,6230.42,0.0009940771242272224
2017-11-14 01:00:00,BTCUSDT,CLOSE,0.00015939263277644122,Binance,6600.03,0.0010519961581034953
2017-11-14 07:00:00,BTCUSDT,LONG,0.00016040855137620797,Binance,6545.12,0.0010509441619453916
2017-11-14 11:00:00,BTCUSDT,CLOSE,0.00016040855137620797,Binance,6410.0,0.001028218814321493
2017-11-14 16:00:00,BTCUSDT,LONG,0.00015811430258376552,Binance,6490.01,0.0010271905955071714
2017-11-14 20:00:00,BTCUSDT,CLOSE,0.00015811430258376552,Binance,6578.33,0.0010401280601158623
2017-11-15 09:00:00,BTCUSDT,LONG,0.00015209506873607191,Binance,6825.0,0.0010390879320557466
2017-11-15 11:00:00,BTCUSDT,CLOSE,0.00015209506873607191,Binance,6998.0,0.0010643612910150313
2017-11-16 04:00:00,BTCUSDT,LONG,0.00014753244899920725,Binance,7200.0,0.0010632969297240163
2017-11-16 08:00:00,BTCUSDT,CLOSE,0.00014753244899920725,Binance,7417.94,0.0010943868547291793
2017-11-17 08:00:00,BTCUSDT,LONG,0.00014183299683226964,Binance,7700.6,0.00109329246787445
2017-11-17 20:00:00,BTCUSDT,CLOSE,0.00014183299683226964,Binance,7696.63,0.0010916360984091515
2017-11-19 04:00:00,BTCUSDT,LONG,0.00014021358126019073,Binance,7769.96,0.0010905444623107424
2017-11-19 07:00:00,BTCUSDT,CLOSE,0.00014021358126019073,Binance,7690.01,0.0010782438420266793
2017-11-20 02:00:00,BTCUSDT,LONG,0.0001345110540733085,Binance,8000.0,0.0010771655981846526
2017-11-20 12:00:00,BTCUSDT,CLOSE,0.0001345110540733085,Binance,8139.98,0.0010949172899356496
2017-11-20 23:00:00,BTCUSDT,LONG,0.00013306485025244377,Binance,8212.0,0.001093822372645714
2017-11-21 02:00:00,BTCUSDT,CLOSE,0.00013306485025244377,Binance,8095.14,0.0010771785918725677
2017-11-24 13:00:00,BTCUSDT,LONG,0.0001319054317828672,Binance,8149.97,0.001076101413280695
2017-11-24 15:00:00,BTCUSDT,CLOSE,0.0001319054317828672,Binance,8110.02,0.0010697556898676887
2017-11-25 04:00:00,BTCUSDT,LONG,0.00013022914741828707,Binance,8197.99,0.001068685934177821
2017-11-25 06:00:00,BTCUSDT,CLOSE,0.00013022914741828707,Binance,8220.0,0.0010704835917783198
2017-11-26 23:00:00,BTCUSDT,LONG,0.00011704002566584592,Binance,9128.02,0.0010694131081865415
2017-11-27 04:00:00,BTCUSDT,CLOSE,0.00011704002566584592,Binance,9543.99,0.0011170288345545766
2017-11-27 09:00:00,BTCUSDT,LONG,0.00011993474935119043,Binance,9295.02,0.0011159118057200222
2017-11-27 23:00:00,BTCUSDT,CLOSE,0.00011993474935119043,Binance,9650.0,0.0011573703312389876
2017-11-28 13:00:00,BTCUSDT,LONG,0.0001187717799721379,Binance,9725.01,0.0011562129609077485
2017-11-29 02:00:00,BTCUSDT,CLOSE,0.0001187717799721379,Binance,10107.82,0.0012005237730379748
2017-11-29 17:00:00,BTCUSDT,LONG,0.00011620954798537656,Binance,10310.03,0.0011993232492649368
2017-11-29 18:00:00,BTCUSDT,CLOSE,0.00011620954798537656,Binance,10064.02,0.0011695352151157895
2017-12-02 08:00:00,BTCUSDT,LONG,0.00010679954855499778,Binance,10928.86,0.0011683656799006737
2017-12-03 00:00:00,BTCUSDT,CLOSE,0.00010679954855499778,Binance,10854.83,0.0011592909436412464
2017-12-03 20:00:00,BTCUSDT,LONG,0.00010193599304360418,Binance,11350.0,0.0011581316526976051
2017-12-03 21:00:00,BTCUSDT,CLOSE,0.00010193599304360418,Binance,10899.98,0.0011111002854554246
2017-12-04 01:00:00,BTCUSDT,LONG,9.735533352749153e-05,Binance,11390.02,0.0011099891851699692
2017-12-04 04:00:00,BTCUSDT,CLOSE,9.735533352749153e-05,Binance,11507.0,0.0011202678229008452
2017-12-05 14:00:00,BTCUSDT,LONG,9.52849961071244e-05,Binance,11733.52,0.0011191475550779444
2017-12-05 23:00:00,BTCUSDT,CLOSE,9.52849961071244e-05,Binance,11699.99,0.0011148335016033944
2017-12-06 15:00:00,BTCUSDT,LONG,9.02912540928463e-05,Binance,12322.4,0.001113718668101791
2017-12-06 22:00:00,BTCUSDT,CLOSE,9.02912540928463e-05,Binance,13590.06,0.001227063560597027
2017-12-07 11:00:00,BTCUSDT,LONG,8.874003154637858e-05,Binance,13799.98,0.0012258364970364297
2017-12-07 18:00:00,BTCUSDT,CLOSE,8.874003154637858e-05,Binance,15500.0,0.0013754704889688682
2017-12-08 05:00:00,BTCUSDT,LONG,8.857395483174104e-05,Binance,15498.02,0.0013740950184798993
2017-12-08 09:00:00,BTCUSDT,CLOSE,8.857395483174104e-05,Binance,15177.02,0.0013442886839604305
2017-12-10 21:00:00,BTCUSDT,LONG,9.38179552435966e-05,Binance,14300.05,0.00134294439527647
2017-12-11 04:00:00,BTCUSDT,CLOSE,9.38179552435966e-05,Binance,16042.51,0.0015050754851749508
2017-12-11 13:00:00,BTCUSDT,LONG,9.249510384484706e-05,Binance,16239.42,0.0015035704096897759
2017-12-11 19:00:00,BTCUSDT,CLOSE,9.249510384484706e-05,Binance,16999.0,0.0015723242702585553
2017-12-12 02:00:00,BTCUSDT,LONG,9.452898759291015e-05,Binance,16600.0,0.0015707519459882966
2017-12-12 04:00:00,BTCUSDT,CLOSE,9.452898759291015e-05,Binance,16260.04,0.0015370451194202227
2017-12-12 05:00:00,BTCUSDT,LONG,9.297085161529148e-05,Binance,16499.5,0.0015355080743008026
2017-12-12 10:00:00,BTCUSDT,CLOSE,9.297085161529148e-05,Binance,16440.0,0.001528440800555392
2017-12-14 20:00:00,BTCUSDT,LONG,9.399742095551699e-05,Binance,16227.95,0.0015269123597548367
2017-12-15 00:00:00,BTCUSDT,CLOSE,9.399742095551699e-05,Binance,16968.96,0.0015950384762973295
2017-12-15 16:00:00,BTCUSDT,LONG,9.058493646695765e-05,Binance,17573.01,0.0015934434378210322
2017-12-16 03:00:00,BTCUSDT,CLOSE,9.058493646695765e-05,Binance,17250.0,0.0015625901540550194
2017-12-17 02:00:00,BTCUSDT,LONG,8.164400024590912e-05,Binance,19100.81,0.0015610275639009643
2017-12-17 11:00:00,BTCUSDT,CLOSE,8.164400024590912e-05,Binance,19709.5,0.0016091624228467458
2017-12-17 14:00:00,BTCUSDT,LONG,8.349080879456591e-05,Binance,19235.0,0.001607553260423899
2017-12-17 16:00:00,BTCUSDT,CLOSE,8.349080879456591e-05,Binance,18950.0,0.001582150826657024
2017-12-17 17:00:00,BTCUSDT,LONG,8.256341232366443e-05,Binance,19124.55,0.001580568675830367
2017-12-17 18:00:00,BTCUSDT,CLOSE,8.256341232366443e-05,Binance,18742.0,0.0015474034737701188
2017-12-23 18:00:00,BTCUSDT,LONG,0.0001078963881691378,Binance,14312.9,0.0015458560702963486
2017-12-23 23:00:00,BTCUSDT,CLOSE,0.0001078963881691378,Binance,13300.0,0.0014350219626495327
2017-12-25 14:00:00,BTCUSDT,LONG,0.00010886760575797766,Binance,13155.0,0.0014335869406868831
2017-12-26 03:00:00,BTCUSDT,CLOSE,0.00010886760575797766,Binance,14321.99,0.0015592007609896985
2017-12-26 23:00:00,BTCUSDT,LONG,9.918305353036807e-05,Binance,15689.01,0.001557641560228709
2017-12-27 05:00:00,BTCUSDT,CLOSE,9.918305353036807e-05,Binance,16351.02,0.0016217440919361191
2017-12-27 12:00:00,BTCUSDT,LONG,0.00010182570216204506,Binance,15894.83,0.0016201223478441828
2017-12-27 14:00:00,BTCUSDT,CLOSE,0.00010182570216204506,Binance,15256.11,0.0015534641130113974
2017-12-29 09:00:00,BTCUSDT,LONG,0.00010906736188052552,Binance,14214.69,0.0015519106488983859
2017-12-29 10:00:00,BTCUSDT,CLOSE,0.00010906736188052552,Binance,13900.7,0.0015161126772926213
2017-12-29 11:00:00,BTCUSDT,LONG,0.00010595804681164182,Binance,14280.01,0.0015145965646153287
2017-12-29 17:00:00,BTCUSDT,CLOSE,0.00010595804681164182,Binance,14516.05,0.0015380923054201332
2017-12-29 22:00:00,BTCUSDT,LONG,0.00010659126842855713,Binance,14400.97,0.001536554213114713
2017-12-30 00:00:00,BTCUSDT,CLOSE,0.00010659126842855713,Binance,14288.07,0.0015229835046960143
2017-12-31 23:00:00,BTCUSDT,LONG,0.00011093271592934521,Binance,13701.45,0.0015214605211913185
2018-01-01 11:00:00,BTCUSDT,CLOSE,0.00011093271592934521,Binance,13220.56,0.0014665926269068642
2018-01-03 09:00:00,BTCUSDT,LONG,0.00010080316227805097,Binance,14519.99,0.0014651260342799573
2018-01-04 00:00:00,BTCUSDT,CLOSE,0.00010080316227805097,Binance,14753.76,0.0014872256634914174
2018-01-05 06:00:00,BTCUSDT,LONG,9.926557979487478e-05,Binance,14952.34,0.001485738437827926
2018-01-05 09:00:00,BTCUSDT,CLOSE,9.926557979487478e-05,Binance,15880.39,0.0015763761207187314
