BOLL_RSIStrategy_30_0.1_7_76_45,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-02 14:00:00,BTCUSDT,LONG,0.00014465682015638576,Binance,6906.0,0.0010000000000000002
2018-04-03 02:00:00,BTCUSDT,CLOSE,0.00014465682015638576,Binance,7169.99,0.0010371879539530845
2018-04-03 11:00:00,BTCUSDT,LONG,0.00014165137848247717,Binance,7307.48,0.0010361507659991313
2018-04-03 17:00:00,BTCUSDT,CLOSE,0.00014165137848247717,Binance,7426.01,0.0010519045531246602
2018-04-04 01:00:00,BTCUSDT,LONG,0.00014337108518573666,Binance,7322.27,0.0010508526485715356
2018-04-04 02:00:00,BTCUSDT,CLOSE,0.00014337108518573666,Binance,7270.0,0.0010423077893003054
2018-04-04 05:00:00,BTCUSDT,LONG,0.00014162344670244983,Binance,7345.0,0.001041265481511005
2018-04-04 07:00:00,BTCUSDT,CLOSE,0.00014162344670244983,Binance,7304.31,0.0010344615579831714
2018-04-07 13:00:00,BTCUSDT,LONG,0.00015093474697788932,Binance,6840.0,0.001033427096425188
2018-04-07 16:00:00,BTCUSDT,CLOSE,0.00015093474697788932,Binance,7030.0,0.001061071271254562
2018-04-07 22:00:00,BTCUSDT,LONG,0.00015293930086313296,Binance,6923.99,0.0010600101999833074
2018-04-08 11:00:00,BTCUSDT,CLOSE,0.00015293930086313296,Binance,7099.85,0.0010858460952331147
2018-04-08 18:00:00,BTCUSDT,LONG,0.00015481100528554233,Binance,6999.99,0.0010847602491378815
2018-04-08 20:00:00,BTCUSDT,CLOSE,0.00015481100528554233,Binance,6947.01,0.0010754736018287155
2018-04-08 21:00:00,BTCUSDT,LONG,0.00015350739846948795,Binance,6992.0,0.0010743981282268866
2018-04-09 03:00:00,BTCUSDT,CLOSE,0.00015350739846948795,Binance,7131.84,0.001094790204700633
2018-04-09 09:00:00,BTCUSDT,LONG,0.00015440951371981857,Binance,7076.0,0.0010936954144959324
2018-04-09 10:00:00,BTCUSDT,CLOSE,0.00015440951371981857,Binance,6782.0,0.0010472053220478095
2018-04-10 22:00:00,BTCUSDT,LONG,0.00015386037137606157,Binance,6792.6,0.0010461581167257616
2018-04-11 13:00:00,BTCUSDT,CLOSE,0.00015386037137606157,Binance,6944.89,0.0010685433545658963
2018-04-11 20:00:00,BTCUSDT,LONG,0.00015482104186993599,Binance,6888.0,0.0010674748112113304
2018-04-12 03:00:00,BTCUSDT,CLOSE,0.00015482104186993599,Binance,6965.2,0.0010783595208324781
2018-04-13 05:00:00,BTCUSDT,LONG,0.0001382691214829424,Binance,7783.4,0.0010772811613116455
2018-04-13 08:00:00,BTCUSDT,CLOSE,0.0001382691214829424,Binance,8133.01,0.0011245441477119855
2018-04-13 19:00:00,BTCUSDT,LONG,0.00013865779391656897,Binance,8094.0,0.0011234196035642737
2018-04-13 20:00:00,BTCUSDT,CLOSE,0.00013865779391656897,Binance,7885.0,0.0010933167050321464
2018-04-14 01:00:00,BTCUSDT,LONG,0.00013528812099066948,Binance,8065.24,0.0010922233883271142
2018-04-14 04:00:00,BTCUSDT,CLOSE,0.00013528812099066948,Binance,7960.01,0.001076894795966939
2018-04-15 19:00:00,BTCUSDT,LONG,0.00012948684197607006,Binance,8300.01,0.001075817901170972
2018-04-15 22:00:00,BTCUSDT,CLOSE,0.00012948684197607006,Binance,8350.0,0.001081215130500185
2018-04-17 14:00:00,BTCUSDT,LONG,0.00013297060269456182,Binance,8114.98,0.0010801339153696848
2018-04-17 18:00:00,BTCUSDT,CLOSE,0.00013297060269456182,Binance,7945.17,0.0010564740434107517
2018-04-18 13:00:00,BTCUSDT,LONG,0.0001302342487111329,Binance,8095.89,0.0010554175693673412
2018-04-18 14:00:00,BTCUSDT,CLOSE,0.0001302342487111329,Binance,7970.91,0.0010380854753940564
2018-04-19 08:00:00,BTCUSDT,LONG,0.0001266829146719292,Binance,8177.98,0.0010370473899186624
