MACD_RSIStrategy_41_113_2_74_36,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2017-04-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-29 22:00:00,BTCUSDT,LONG,0.00016302219321148826,Binance,6128.0,0.001
2017-10-29 23:00:00,BTCUSDT,SHORT,0.00016302219321148826,Binance,6169.98,0.0010058436716710183
2017-10-30 05:00:00,BTCUSDT,LONG,0.0001635442531140239,Binance,6137.99,0.001004837827999347
2017-10-30 08:00:00,BTCUSDT,SHORT,0.0001635442531140239,Binance,6137.94,0.001003824812958692
2017-10-30 12:00:00,BTCUSDT,LONG,0.00016297464278284773,Binance,6147.08,0.0010028209881457334
2017-10-30 17:00:00,BTCUSDT,SHORT,0.00016297464278284773,Binance,6098.95,0.0009939741976004491
2017-10-30 21:00:00,BTCUSDT,LONG,0.00016249086684413876,Binance,6104.88,0.0009929802234028488
2017-10-30 23:00:00,BTCUSDT,SHORT,0.00016249086684413876,Binance,6120.5,0.0009945253505195513
2017-10-31 02:00:00,BTCUSDT,LONG,0.00016183051468222288,Binance,6133.19,0.0009935308251690317
2017-10-31 04:00:00,BTCUSDT,SHORT,0.00016183051468222288,Binance,6154.98,0.0009960635812587882
2017-10-31 06:00:00,BTCUSDT,LONG,0.00016219003406066376,Binance,6129.06,0.0009950675176775294
2017-10-31 09:00:00,BTCUSDT,SHORT,0.00016219003406066376,Binance,6160.02,0.00099909385361437
2017-10-31 16:00:00,BTCUSDT,LONG,0.00015665280415914427,Binance,6365.01,0.0009980947597607558
2017-10-31 20:00:00,BTCUSDT,SHORT,0.00015665280415914427,Binance,6367.66,0.0009975117949320167
2017-11-01 01:00:00,BTCUSDT,LONG,0.00015482535900085341,Binance,6429.94,0.0009965142831370845
2017-11-01 02:00:00,BTCUSDT,SHORT,0.00015482535900085341,Binance,6435.02,0.0009963042816776718
2017-11-01 04:00:00,BTCUSDT,LONG,0.00015609524615239434,Binance,6369.91,0.0009953079773959942
2017-11-01 06:00:00,BTCUSDT,SHORT,0.00015609524615239434,Binance,6415.0,0.0010013510040676097
2017-11-01 07:00:00,BTCUSDT,LONG,0.0001557832117553357,Binance,6415.0,0.001000349653063542
2017-11-01 08:00:00,BTCUSDT,SHORT,0.0001557832117553357,Binance,6461.99,0.0010066695565308617
2017-11-01 12:00:00,BTCUSDT,LONG,0.00015411240454232271,Binance,6518.99,0.0010056628869743306
2017-11-01 14:00:00,BTCUSDT,SHORT,0.00015411240454232271,Binance,6550.17,0.001009462448860986
2017-11-01 21:00:00,BTCUSDT,LONG,0.00015245808245231362,Binance,6608.01,0.0010084529864121251
2017-11-01 22:00:00,BTCUSDT,SHORT,0.00015245808245231362,Binance,6687.99,0.0010196381308602489
2017-11-02 12:00:00,BTCUSDT,LONG,0.0001472854907616061,Binance,6909.03,0.0010186184927293888
2017-11-02 13:00:00,BTCUSDT,SHORT,0.0001472854907616061,Binance,7011.09,0.0010326318314237888
2017-11-02 17:00:00,BTCUSDT,LONG,0.00014838922227733683,Binance,6945.03,0.001031599199592365
2017-11-02 20:00:00,BTCUSDT,SHORT,0.00014838922227733683,Binance,7028.04,0.0010428853897340143
2017-11-02 23:00:00,BTCUSDT,LONG,0.00014826262494194227,Binance,7019.98,0.0010418425043442804
2017-11-03 02:00:00,BTCUSDT,SHORT,0.00014826262494194227,Binance,7025.02,0.0010415479054696434
2017-11-03 06:00:00,BTCUSDT,LONG,0.000144751637467969,Binance,7181.03,0.0010405063575641737
2017-11-03 07:00:00,BTCUSDT,SHORT,0.000144751637467969,Binance,7251.01,0.0010495955707966178
2017-11-03 14:00:00,BTCUSDT,LONG,0.00014478155267719998,Binance,7235.02,0.0010485459752258212
2017-11-03 15:00:00,BTCUSDT,SHORT,0.00014478155267719998,Binance,7284.98,0.0010547307156223483
2017-11-03 19:00:00,BTCUSDT,LONG,0.00014551041041219507,Binance,7234.0,0.0010536759849067258
2017-11-04 03:00:00,BTCUSDT,SHORT,0.00014551041041219507,Binance,7125.12,0.0010367791354361393
2017-11-04 06:00:00,BTCUSDT,LONG,0.00014542629208816912,Binance,7114.99,0.0010357423563007032
2017-11-04 07:00:00,BTCUSDT,SHORT,0.00014542629208816912,Binance,7174.99,0.0010434321914696925
2017-11-04 09:00:00,BTCUSDT,LONG,0.00014587584232703766,Binance,7138.58,0.0010423887592782228
2017-11-04 13:00:00,BTCUSDT,SHORT,0.00014587584232703766,Binance,7250.2,0.0010576290320394885
2017-11-04 17:00:00,BTCUSDT,LONG,0.0001450857556249241,Binance,7275.11,0.001056571403007449
2017-11-04 19:00:00,BTCUSDT,SHORT,0.0001450857556249241,Binance,7360.04,0.0010678369648296664
2017-11-04 22:00:00,BTCUSDT,LONG,0.00014548778076498963,Binance,7325.03,0.0010667691278648367
2017-11-05 02:00:00,BTCUSDT,SHORT,0.00014548778076498963,Binance,7372.0,0.0010725359197995034
2017-11-05 08:00:00,BTCUSDT,LONG,0.00014483270782592668,Binance,7390.54,0.0010714633838797038
2017-11-05 09:00:00,BTCUSDT,SHORT,0.00014483270782592668,Binance,7416.87,0.0010742053656928807
2017-11-05 14:00:00,BTCUSDT,LONG,0.00014275035607985871,Binance,7510.02,0.001073131160327188
2017-11-05 19:00:00,BTCUSDT,SHORT,0.00014275035607985871,Binance,7536.01,0.0010757681109213762
2017-11-05 21:00:00,BTCUSDT,LONG,0.00014658337071598085,Binance,7324.28,0.0010746923428104546
2017-11-06 06:00:00,BTCUSDT,SHORT,0.00014658337071598085,Binance,7299.0,0.0010699120228559443
2017-11-06 10:00:00,BTCUSDT,LONG,0.00014637076524056308,Binance,7294.99,0.0010688421108330883
2017-11-06 12:00:00,BTCUSDT,SHORT,0.00014637076524056308,Binance,7399.98,0.001083140735364862
2017-11-06 14:00:00,BTCUSDT,LONG,0.00014828339051744906,Binance,7289.93,0.001082057594629497
2017-11-06 20:00:00,BTCUSDT,SHORT,0.00014828339051744906,Binance,7081.03,0.001049999136755772
2017-11-06 22:00:00,BTCUSDT,LONG,0.00014932160331978633,Binance,7017.74,0.0010489491376190164
2017-11-07 01:00:00,BTCUSDT,SHORT,0.00014932160331978633,Binance,7057.0,0.0010537625546277322
2017-11-09 16:00:00,BTCUSDT,LONG,0.00014779376354835523,Binance,7115.7,0.0010527087920731044
2017-11-09 18:00:00,BTCUSDT,SHORT,0.00014779376354835523,Binance,7173.99,0.001060270981758265
2017-11-09 19:00:00,BTCUSDT,LONG,0.00014840792873873146,Binance,7130.02,0.0010592107107765068
2017-11-09 23:00:00,BTCUSDT,SHORT,0.00014840792873873146,Binance,7079.99,0.0010507266513909313
2017-11-14 22:00:00,BTCUSDT,LONG,0.00016003648252322055,Binance,6552.42,0.0010496759247395405
2017-11-15 00:00:00,BTCUSDT,SHORT,0.00016003648252322055,Binance,6701.99,0.0010725629055057988
2017-11-15 04:00:00,BTCUSDT,LONG,0.0001578772567624955,Binance,6780.07,0.001071490342600293
2017-11-15 06:00:00,BTCUSDT,SHORT,0.0001578772567624955,Binance,6810.0,0.0010751441185525943
2017-11-15 09:00:00,BTCUSDT,LONG,0.00015721537076331249,Binance,6825.0,0.0010740689744340418
2017-11-15 11:00:00,BTCUSDT,SHORT,0.00015721537076331249,Binance,6998.0,0.0011001931646016608
2017-11-15 17:00:00,BTCUSDT,LONG,0.00015340337747299666,Binance,7157.56,0.001099092971437059
2017-11-15 20:00:00,BTCUSDT,SHORT,0.00015340337747299666,Binance,7244.98,0.0011114044017243112
2017-11-15 22:00:00,BTCUSDT,LONG,0.00015404395353128413,Binance,7200.43,0.0011102929973225868
2017-11-16 03:00:00,BTCUSDT,SHORT,0.00015404395353128413,Binance,7239.0,0.0011151241796129659
2017-11-16 05:00:00,BTCUSDT,LONG,0.00015426878935097303,Binance,7214.0,0.0011140090554333528
2017-11-16 06:00:00,BTCUSDT,SHORT,0.00015426878935097303,Binance,7268.07,0.0011212363598181265
2017-11-16 11:00:00,BTCUSDT,LONG,0.0001516142461574424,Binance,7380.54,0.0011201151234583085
2017-11-16 17:00:00,BTCUSDT,SHORT,0.0001516142461574424,Binance,7666.64,0.0011623718441604945
2017-11-16 20:00:00,BTCUSDT,LONG,0.00014930181945579403,Binance,7769.82,0.001161209472316334
2017-11-16 21:00:00,BTCUSDT,SHORT,0.00014930181945579403,Binance,7887.18,0.0011775703243753497
2017-11-17 02:00:00,BTCUSDT,LONG,0.00014915900739272665,Binance,7878.95,0.0011763927540509745
2017-11-17 03:00:00,BTCUSDT,SHORT,0.00014915900739272665,Binance,7890.0,0.0011768645683286132
2017-11-17 04:00:00,BTCUSDT,LONG,0.00014961955570090207,Binance,7849.99,0.0011756877037602848
2017-11-17 09:00:00,BTCUSDT,SHORT,0.00014961955570090207,Binance,7746.99,0.0011591012018193315
2017-11-17 12:00:00,BTCUSDT,LONG,0.00015025824801742833,Binance,7698.64,0.001157942100617512
2017-11-17 14:00:00,BTCUSDT,SHORT,0.00015025824801742833,Binance,7830.09,0.0011765356052187855
2017-11-17 17:00:00,BTCUSDT,LONG,0.00015053463620855057,Binance,7800.09,0.0011753590696135668
2017-11-17 22:00:00,BTCUSDT,SHORT,0.00015053463620855057,Binance,7763.69,0.0011687042497859619
2017-11-18 00:00:00,BTCUSDT,LONG,0.0001533689779579486,Binance,7604.98,0.001167535545536176
2017-11-18 03:00:00,BTCUSDT,SHORT,0.0001533689779579486,Binance,7588.72,0.0011638742304090437
2017-11-18 06:00:00,BTCUSDT,LONG,0.0001535043744404828,Binance,7566.87,0.0011627103561786347
2017-11-18 08:00:00,BTCUSDT,SHORT,0.0001535043744404828,Binance,7708.15,0.0011832347438434075
2017-11-18 13:00:00,BTCUSDT,LONG,0.0001542545465173238,Binance,7655.33,0.001182051509099564
2017-11-18 18:00:00,BTCUSDT,SHORT,0.0001542545465173238,Binance,7739.98,0.0011939271049531558
2017-11-18 23:00:00,BTCUSDT,LONG,0.00015351064871286743,Binance,7761.94,0.0011927331778482024
2017-11-19 01:00:00,BTCUSDT,SHORT,0.00015351064871286743,Binance,7804.96,0.0011981444727779819
2017-11-19 03:00:00,BTCUSDT,LONG,0.00015369549086527085,Binance,7779.99,0.0011969463283052037
2017-11-19 09:00:00,BTCUSDT,SHORT,0.00015369549086527085,Binance,7759.66,0.0011926247526476074
2017-11-19 12:00:00,BTCUSDT,LONG,0.00015447580291927024,Binance,7705.03,0.00119143212789496
2017-11-19 14:00:00,BTCUSDT,SHORT,0.00015447580291927024,Binance,7779.9,0.0012018062991316306
2017-11-19 15:00:00,BTCUSDT,LONG,0.00015476139265958877,Binance,7750.02,0.0012006044928324988
