MACD_EMVStrategy_16_45_31_113_41,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-03 03:00:00,BTCUSDT,LONG,0.00013913629646755365,Binance,7180.01,0.0009999999999999998
2018-04-04 14:00:00,BTCUSDT,SHORT,0.00013913629646755365,Binance,6870.5,0.0009559359248803274
2018-04-09 09:00:00,BTCUSDT,LONG,0.0001348254676323476,Binance,7076.0,0.000954979988955447
2018-04-09 15:00:00,BTCUSDT,SHORT,0.0001348254676323476,Binance,6738.98,0.0009085861298650377
2018-04-11 01:00:00,BTCUSDT,LONG,0.00013256869388763708,Binance,6840.0,0.0009076775437351728
2018-04-14 23:00:00,BTCUSDT,SHORT,0.00013256869388763708,Binance,7999.01,0.0010604183080941479
2018-04-15 04:00:00,BTCUSDT,LONG,0.0001303947989734328,Binance,8116.11,0.0010593578897860536
2018-04-16 13:00:00,BTCUSDT,SHORT,0.0001303947989734328,Binance,7964.34,0.0010385085132560699
2018-04-20 15:00:00,BTCUSDT,LONG,0.00012250990068996193,Binance,8459.99,0.0010374700047428138
2018-04-25 14:00:00,BTCUSDT,SHORT,0.00012250990068996193,Binance,8880.0,0.001087887918126862
2018-05-03 19:00:00,BTCUSDT,LONG,0.00011232279194605906,Binance,9666.01,0.001086800030208735
2018-05-06 10:00:00,BTCUSDT,SHORT,0.00011232279194605906,Binance,9610.0,0.0010794220306016276
2018-05-13 20:00:00,BTCUSDT,LONG,0.00012362440093165546,Binance,8714.01,0.001078342608571026
2018-05-14 13:00:00,BTCUSDT,SHORT,0.00012362440093165546,Binance,8680.0,0.0010730598000867695
2018-05-14 19:00:00,BTCUSDT,LONG,0.0001224253761417728,Binance,8747.49,0.0010719867402866827
2018-05-15 23:00:00,BTCUSDT,SHORT,0.0001224253761417728,Binance,8462.0,0.0010359635329116814
2018-05-17 13:00:00,BTCUSDT,LONG,0.00012456537853125193,Binance,8300.0,0.0010349275693787698
2018-05-17 20:00:00,BTCUSDT,SHORT,0.00012456537853125193,Binance,8208.0,0.001022432626984516
2018-05-20 08:00:00,BTCUSDT,LONG,0.00012310140585705334,Binance,8289.01,0.0010214101943575313
2018-05-21 23:00:00,BTCUSDT,SHORT,0.00012310140585705334,Binance,8381.24,0.0010317424268253697
2018-05-29 17:00:00,BTCUSDT,LONG,0.0001369965771762145,Binance,7516.1,0.0010307106843985444
2018-05-31 01:00:00,BTCUSDT,SHORT,0.0001369965771762145,Binance,7342.31,0.0010058713385666916
2018-05-31 12:00:00,BTCUSDT,LONG,0.0001331512553318827,Binance,7539.25,0.0010048654672281249
2018-06-01 16:00:00,BTCUSDT,SHORT,0.0001331512553318827,Binance,7447.99,0.000991709218199309
2018-06-02 08:00:00,BTCUSDT,LONG,0.00012917292042345546,Binance,7662.03,0.0009907175089811095
2018-06-04 09:00:00,BTCUSDT,SHORT,0.00012917292042345546,Binance,7627.9,0.0009853181196980759
2018-06-07 10:00:00,BTCUSDT,LONG,0.00012779057423999995,Binance,7695.0,0.000984332801578378
2018-06-08 08:00:00,BTCUSDT,SHORT,0.00012779057423999995,Binance,7621.52,0.0009739584173816445
2018-06-15 04:00:00,BTCUSDT,LONG,0.0001482389172137053,Binance,6557.06,0.0009729844589642627
2018-06-15 22:00:00,BTCUSDT,SHORT,0.0001482389172137053,Binance,6403.74,0.0009492834837180931
2018-06-17 04:00:00,BTCUSDT,LONG,0.00014512517746989774,Binance,6528.06,0.000948334200234375
2018-06-18 01:00:00,BTCUSDT,SHORT,0.00014512517746989774,Binance,6415.06,0.0009309867209800422
2018-06-18 19:00:00,BTCUSDT,LONG,0.0001387867109197675,Binance,6694.63,0.0009300557342590623
2018-06-20 08:00:00,BTCUSDT,SHORT,0.0001387867109197675,Binance,6633.99,0.0009207096523746284
2018-06-20 22:00:00,BTCUSDT,LONG,0.0001365331037813512,Binance,6730.01,0.0009197889427222538
2018-06-22 01:00:00,BTCUSDT,SHORT,0.0001365331037813512,Binance,6637.59,0.000906250764328059
