EMVStrategy_26_26_45,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:26:00+00:00,ETHUSDT,LONG,1,ARCA,484.44,0.013
2018-07-25 00:58:00+00:00,ETHUSDT,SHORT,1,ARCA,479.98,0.013
2018-07-25 01:40:00+00:00,ETHUSDT,LONG,1,ARCA,480.3,0.013
2018-07-25 02:23:00+00:00,ETHUSDT,SHORT,1,ARCA,476.85,0.013
2018-07-25 03:07:00+00:00,ETHUSDT,LONG,1,ARCA,476.0,0.013
2018-07-25 03:33:00+00:00,ETHUSDT,SHORT,1,ARCA,476.09,0.013
2018-07-25 03:43:00+00:00,ETHUSDT,LONG,1,ARCA,478.68,0.013
