EMVStrategy_10_5_5,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:10:00+00:00,ETHUSDT,LONG,1,ARCA,482.53,0.013
2018-07-25 00:21:00+00:00,ETHUSDT,SHORT,1,ARCA,484.93,0.013
2018-07-25 00:47:00+00:00,ETHUSDT,LONG,1,ARCA,481.76,0.013
2018-07-25 00:58:00+00:00,ETHUSDT,SHORT,1,ARCA,479.98,0.013
2018-07-25 01:08:00+00:00,ETHUSDT,LONG,1,ARCA,479.62,0.013
2018-07-25 01:24:00+00:00,ETHUSDT,SHORT,1,ARCA,481.01,0.013
2018-07-25 01:43:00+00:00,ETHUSDT,LONG,1,ARCA,480.15,0.013
2018-07-25 02:02:00+00:00,ETHUSDT,SHORT,1,ARCA,481.8,0.013
2018-07-25 02:21:00+00:00,ETHUSDT,LONG,1,ARCA,478.0,0.013
2018-07-25 02:24:00+00:00,ETHUSDT,SHORT,1,ARCA,477.3,0.013
2018-07-25 02:29:00+00:00,ETHUSDT,LONG,1,ARCA,478.56,0.013
2018-07-25 02:42:00+00:00,ETHUSDT,SHORT,1,ARCA,478.44,0.013
2018-07-25 02:56:00+00:00,ETHUSDT,LONG,1,ARCA,478.17,0.013
2018-07-25 03:01:00+00:00,ETHUSDT,SHORT,1,ARCA,477.66,0.013
2018-07-25 03:15:00+00:00,ETHUSDT,LONG,1,ARCA,475.87,0.013
2018-07-25 03:30:00+00:00,ETHUSDT,SHORT,1,ARCA,475.42,0.013
2018-07-25 03:35:00+00:00,ETHUSDT,LONG,1,ARCA,477.1,0.013
2018-07-25 03:55:00+00:00,ETHUSDT,SHORT,1,ARCA,478.72,0.013
2018-07-25 04:09:00+00:00,ETHUSDT,LONG,1,ARCA,478.85,0.013
2018-07-25 04:11:00+00:00,ETHUSDT,SHORT,1,ARCA,479.01,0.013
2018-07-25 04:15:00+00:00,ETHUSDT,LONG,1,ARCA,479.7,0.013
