EMVStrategy_10_26_26,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:10:00+00:00,ETHUSDT,LONG,1,ARCA,482.53,0.013
2018-07-25 00:38:00+00:00,ETHUSDT,SHORT,1,ARCA,481.06,0.013
2018-07-25 01:16:00+00:00,ETHUSDT,LONG,1,ARCA,480.31,0.013
2018-07-25 01:44:00+00:00,ETHUSDT,SHORT,1,ARCA,479.67,0.013
2018-07-25 02:03:00+00:00,ETHUSDT,LONG,1,ARCA,481.5,0.013
2018-07-25 02:17:00+00:00,ETHUSDT,SHORT,1,ARCA,478.83,0.013
2018-07-25 02:42:00+00:00,ETHUSDT,LONG,1,ARCA,478.44,0.013
2018-07-25 03:04:00+00:00,ETHUSDT,SHORT,1,ARCA,477.25,0.013
2018-07-25 03:28:00+00:00,ETHUSDT,LONG,1,ARCA,475.77,0.013
2018-07-25 04:11:00+00:00,ETHUSDT,SHORT,1,ARCA,479.01,0.013
