EMVStrategy_5_26_5,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:05:00+00:00,ETHUSDT,LONG,1,ARCA,481.18,0.013
2018-07-25 00:28:00+00:00,ETHUSDT,SHORT,1,ARCA,484.53,0.013
2018-07-25 00:48:00+00:00,ETHUSDT,LONG,1,ARCA,481.07,0.013
2018-07-25 00:51:00+00:00,ETHUSDT,SHORT,1,ARCA,479.75,0.013
2018-07-25 00:59:00+00:00,ETHUSDT,LONG,1,ARCA,479.88,0.013
2018-07-25 01:14:00+00:00,ETHUSDT,SHORT,1,ARCA,479.77,0.013
2018-07-25 01:16:00+00:00,ETHUSDT,LONG,1,ARCA,480.31,0.013
2018-07-25 01:33:00+00:00,ETHUSDT,SHORT,1,ARCA,480.3,0.013
2018-07-25 01:51:00+00:00,ETHUSDT,LONG,1,ARCA,481.0,0.013
2018-07-25 02:06:00+00:00,ETHUSDT,SHORT,1,ARCA,481.46,0.013
2018-07-25 02:29:00+00:00,ETHUSDT,LONG,1,ARCA,478.56,0.013
2018-07-25 02:55:00+00:00,ETHUSDT,SHORT,1,ARCA,478.01,0.013
2018-07-25 03:14:00+00:00,ETHUSDT,LONG,1,ARCA,476.16,0.013
2018-07-25 03:23:00+00:00,ETHUSDT,SHORT,1,ARCA,476.22,0.013
2018-07-25 03:27:00+00:00,ETHUSDT,LONG,1,ARCA,476.51,0.013
2018-07-25 03:54:00+00:00,ETHUSDT,SHORT,1,ARCA,479.3,0.013
2018-07-25 04:00:00+00:00,ETHUSDT,LONG,1,ARCA,479.73,0.013
2018-07-25 04:02:00+00:00,ETHUSDT,SHORT,1,ARCA,479.21,0.013
2018-07-25 04:20:00+00:00,ETHUSDT,LONG,1,ARCA,479.88,0.013
