EMVStrategy_10_10_10,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:10:00+00:00,ETHUSDT,LONG,1,ARCA,482.53,0.013
2018-07-25 00:24:00+00:00,ETHUSDT,SHORT,1,ARCA,484.63,0.013
2018-07-25 00:51:00+00:00,ETHUSDT,LONG,1,ARCA,479.75,0.013
2018-07-25 01:00:00+00:00,ETHUSDT,SHORT,1,ARCA,479.5,0.013
2018-07-25 01:11:00+00:00,ETHUSDT,LONG,1,ARCA,479.87,0.013
2018-07-25 01:30:00+00:00,ETHUSDT,SHORT,1,ARCA,480.48,0.013
2018-07-25 01:48:00+00:00,ETHUSDT,LONG,1,ARCA,480.9,0.013
2018-07-25 02:08:00+00:00,ETHUSDT,SHORT,1,ARCA,481.24,0.013
2018-07-25 02:29:00+00:00,ETHUSDT,LONG,1,ARCA,478.56,0.013
2018-07-25 02:47:00+00:00,ETHUSDT,SHORT,1,ARCA,478.16,0.013
2018-07-25 03:02:00+00:00,ETHUSDT,LONG,1,ARCA,477.14,0.013
2018-07-25 03:06:00+00:00,ETHUSDT,SHORT,1,ARCA,476.7,0.013
2018-07-25 03:19:00+00:00,ETHUSDT,LONG,1,ARCA,476.24,0.013
2018-07-25 03:58:00+00:00,ETHUSDT,SHORT,1,ARCA,479.85,0.013
2018-07-25 04:20:00+00:00,ETHUSDT,LONG,1,ARCA,479.88,0.013
