EMVStrategy_45_10_26,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:45:00+00:00,ETHUSDT,LONG,1,ARCA,482.36,0.013
2018-07-25 01:04:00+00:00,ETHUSDT,SHORT,1,ARCA,479.57,0.013
2018-07-25 01:53:00+00:00,ETHUSDT,LONG,1,ARCA,481.26,0.013
2018-07-25 02:25:00+00:00,ETHUSDT,SHORT,1,ARCA,477.73,0.013
2018-07-25 03:18:00+00:00,ETHUSDT,LONG,1,ARCA,476.11,0.013
2018-07-25 03:28:00+00:00,ETHUSDT,SHORT,1,ARCA,475.77,0.013
2018-07-25 03:32:00+00:00,ETHUSDT,LONG,1,ARCA,476.13,0.013
