EMVStrategy_30_5_30,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:30:00+00:00,ETHUSDT,LONG,1,ARCA,484.42,0.013
2018-07-25 00:49:00+00:00,ETHUSDT,SHORT,1,ARCA,480.46,0.013
2018-07-25 01:32:00+00:00,ETHUSDT,LONG,1,ARCA,480.45,0.013
2018-07-25 02:11:00+00:00,ETHUSDT,SHORT,1,ARCA,480.19,0.013
2018-07-25 02:56:00+00:00,ETHUSDT,LONG,1,ARCA,478.17,0.013
2018-07-25 03:27:00+00:00,ETHUSDT,SHORT,1,ARCA,476.51,0.013
2018-07-25 03:39:00+00:00,ETHUSDT,LONG,1,ARCA,477.11,0.013
2018-07-25 04:16:00+00:00,ETHUSDT,SHORT,1,ARCA,479.47,0.013
