EMVStrategy_45_10_30,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:45:00+00:00,ETHUSDT,LONG,1,ARCA,482.36,0.013
2018-07-25 01:05:00+00:00,ETHUSDT,SHORT,1,ARCA,479.72,0.013
2018-07-25 01:54:00+00:00,ETHUSDT,LONG,1,ARCA,481.52,0.013
2018-07-25 02:28:00+00:00,ETHUSDT,SHORT,1,ARCA,478.8,0.013
2018-07-25 03:21:00+00:00,ETHUSDT,LONG,1,ARCA,476.14,0.013
2018-07-25 03:27:00+00:00,ETHUSDT,SHORT,1,ARCA,476.51,0.013
2018-07-25 03:32:00+00:00,ETHUSDT,LONG,1,ARCA,476.13,0.013
