EMVStrategy_10_30_45,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:10:00+00:00,ETHUSDT,LONG,1,ARCA,482.53,0.013
2018-07-25 00:43:00+00:00,ETHUSDT,SHORT,1,ARCA,480.73,0.013
2018-07-25 01:22:00+00:00,ETHUSDT,LONG,1,ARCA,480.59,0.013
2018-07-25 01:53:00+00:00,ETHUSDT,SHORT,1,ARCA,481.26,0.013
2018-07-25 02:05:00+00:00,ETHUSDT,LONG,1,ARCA,481.76,0.013
2018-07-25 02:14:00+00:00,ETHUSDT,SHORT,1,ARCA,478.88,0.013
2018-07-25 02:52:00+00:00,ETHUSDT,LONG,1,ARCA,477.81,0.013
2018-07-25 03:10:00+00:00,ETHUSDT,SHORT,1,ARCA,475.48,0.013
2018-07-25 03:37:00+00:00,ETHUSDT,LONG,1,ARCA,476.93,0.013
2018-07-25 04:19:00+00:00,ETHUSDT,SHORT,1,ARCA,478.68,0.013
