EMVStrategy_10_5_45,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:10:00+00:00,ETHUSDT,LONG,1,ARCA,482.53,0.013
2018-07-25 00:26:00+00:00,ETHUSDT,SHORT,1,ARCA,484.44,0.013
2018-07-25 01:12:00+00:00,ETHUSDT,LONG,1,ARCA,479.8,0.013
2018-07-25 01:36:00+00:00,ETHUSDT,SHORT,1,ARCA,480.2,0.013
2018-07-25 01:56:00+00:00,ETHUSDT,LONG,1,ARCA,482.1,0.013
2018-07-25 02:09:00+00:00,ETHUSDT,SHORT,1,ARCA,480.49,0.013
2018-07-25 02:35:00+00:00,ETHUSDT,LONG,1,ARCA,478.71,0.013
2018-07-25 02:49:00+00:00,ETHUSDT,SHORT,1,ARCA,478.53,0.013
2018-07-25 02:57:00+00:00,ETHUSDT,LONG,1,ARCA,478.12,0.013
2018-07-25 03:01:00+00:00,ETHUSDT,SHORT,1,ARCA,477.66,0.013
2018-07-25 03:22:00+00:00,ETHUSDT,LONG,1,ARCA,475.93,0.013
2018-07-25 04:01:00+00:00,ETHUSDT,SHORT,1,ARCA,479.71,0.013
