EMVStrategy_5_30_10,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:05:00+00:00,ETHUSDT,LONG,1,ARCA,481.18,0.013
2018-07-25 00:30:00+00:00,ETHUSDT,SHORT,1,ARCA,484.42,0.013
2018-07-25 01:06:00+00:00,ETHUSDT,LONG,1,ARCA,479.59,0.013
2018-07-25 01:35:00+00:00,ETHUSDT,SHORT,1,ARCA,480.21,0.013
2018-07-25 01:53:00+00:00,ETHUSDT,LONG,1,ARCA,481.26,0.013
2018-07-25 02:08:00+00:00,ETHUSDT,SHORT,1,ARCA,481.24,0.013
2018-07-25 02:31:00+00:00,ETHUSDT,LONG,1,ARCA,478.59,0.013
2018-07-25 03:00:00+00:00,ETHUSDT,SHORT,1,ARCA,477.53,0.013
2018-07-25 03:17:00+00:00,ETHUSDT,LONG,1,ARCA,476.69,0.013
2018-07-25 03:26:00+00:00,ETHUSDT,SHORT,1,ARCA,476.49,0.013
2018-07-25 03:31:00+00:00,ETHUSDT,LONG,1,ARCA,475.98,0.013
2018-07-25 03:57:00+00:00,ETHUSDT,SHORT,1,ARCA,479.3,0.013
2018-07-25 04:03:00+00:00,ETHUSDT,LONG,1,ARCA,479.57,0.013
2018-07-25 04:06:00+00:00,ETHUSDT,SHORT,1,ARCA,479.56,0.013
