EMVStrategy_30_10_10,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:30:00+00:00,ETHUSDT,LONG,1,ARCA,484.42,0.013
2018-07-25 00:43:00+00:00,ETHUSDT,SHORT,1,ARCA,480.73,0.013
2018-07-25 01:30:00+00:00,ETHUSDT,LONG,1,ARCA,480.48,0.013
2018-07-25 02:08:00+00:00,ETHUSDT,SHORT,1,ARCA,481.24,0.013
2018-07-25 02:54:00+00:00,ETHUSDT,LONG,1,ARCA,477.44,0.013
2018-07-25 03:11:00+00:00,ETHUSDT,SHORT,1,ARCA,475.93,0.013
2018-07-25 03:15:00+00:00,ETHUSDT,LONG,1,ARCA,475.87,0.013
2018-07-25 03:26:00+00:00,ETHUSDT,SHORT,1,ARCA,476.49,0.013
2018-07-25 03:39:00+00:00,ETHUSDT,LONG,1,ARCA,477.11,0.013
2018-07-25 04:14:00+00:00,ETHUSDT,SHORT,1,ARCA,479.94,0.013
