EMVStrategy_30_10_5,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:30:00+00:00,ETHUSDT,LONG,1,ARCA,484.42,0.013
2018-07-25 00:41:00+00:00,ETHUSDT,SHORT,1,ARCA,480.0,0.013
2018-07-25 01:28:00+00:00,ETHUSDT,LONG,1,ARCA,480.69,0.013
2018-07-25 02:07:00+00:00,ETHUSDT,SHORT,1,ARCA,481.11,0.013
2018-07-25 02:54:00+00:00,ETHUSDT,LONG,1,ARCA,477.44,0.013
2018-07-25 03:08:00+00:00,ETHUSDT,SHORT,1,ARCA,476.07,0.013
2018-07-25 03:14:00+00:00,ETHUSDT,LONG,1,ARCA,476.16,0.013
2018-07-25 03:25:00+00:00,ETHUSDT,SHORT,1,ARCA,476.23,0.013
2018-07-25 03:37:00+00:00,ETHUSDT,LONG,1,ARCA,476.93,0.013
2018-07-25 04:13:00+00:00,ETHUSDT,SHORT,1,ARCA,479.38,0.013
