MACDStrategy_12_252,tickers,['ETHUSD'],initial equity,100000.0,frequency,60 min
Start date,2017-01-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-07-02 18:00:00,ETHUSD,LONG,100,ARCA,270.25,27.025000000000002
2017-07-05 01:00:00,ETHUSD,SHORT,100,ARCA,264.23,26.423000000000002
2017-07-06 16:00:00,ETHUSD,LONG,100,ARCA,263.88,26.388
2017-07-06 18:00:00,ETHUSD,SHORT,100,ARCA,261.58,26.158
2017-07-18 19:00:00,ETHUSD,LONG,100,ARCA,233.31,23.331000000000003
2017-07-25 19:00:00,ETHUSD,SHORT,100,ARCA,198.75,19.875
2017-08-01 07:00:00,ETHUSD,LONG,100,ARCA,213.62,21.362000000000002
2017-08-15 14:00:00,ETHUSD,SHORT,100,ARCA,276.89,27.689
2017-08-16 16:00:00,ETHUSD,LONG,100,ARCA,303.45,30.345
2017-08-18 21:00:00,ETHUSD,SHORT,100,ARCA,287.14,28.714
2017-08-21 05:00:00,ETHUSD,LONG,100,ARCA,314.67,31.467000000000002
2017-09-02 19:00:00,ETHUSD,SHORT,100,ARCA,337.65,33.765
2017-09-18 10:00:00,ETHUSD,LONG,100,ARCA,287.9,28.79
2017-09-21 19:00:00,ETHUSD,SHORT,100,ARCA,256.33,25.633
2017-09-23 11:00:00,ETHUSD,LONG,100,ARCA,284.04,28.404000000000003
2017-10-03 13:00:00,ETHUSD,SHORT,100,ARCA,289.08,28.908
2017-10-06 08:00:00,ETHUSD,LONG,100,ARCA,300.57,30.057000000000002
2017-10-09 20:00:00,ETHUSD,SHORT,100,ARCA,294.37,29.437
2017-10-10 15:00:00,ETHUSD,LONG,100,ARCA,304.43,30.443
2017-10-18 00:00:00,ETHUSD,SHORT,100,ARCA,312.9,31.29
2017-10-29 12:00:00,ETHUSD,LONG,100,ARCA,309.94,30.994
2017-11-01 19:00:00,ETHUSD,SHORT,100,ARCA,296.51,29.651
2017-11-03 21:00:00,ETHUSD,LONG,100,ARCA,306.73,30.673000000000002
2017-11-05 16:00:00,ETHUSD,SHORT,100,ARCA,295.84,29.584
2017-11-06 15:00:00,ETHUSD,LONG,100,ARCA,303.87,30.387
2017-11-07 14:00:00,ETHUSD,SHORT,100,ARCA,288.0,28.8
2017-11-08 17:00:00,ETHUSD,LONG,100,ARCA,303.0,30.3
2017-11-10 23:00:00,ETHUSD,SHORT,100,ARCA,296.18,29.618000000000002
2017-11-11 08:00:00,ETHUSD,LONG,100,ARCA,302.5,30.25
2017-11-30 15:00:00,ETHUSD,SHORT,100,ARCA,399.11,39.911
2017-12-01 15:00:00,ETHUSD,LONG,100,ARCA,448.88,44.888000000000005
2017-12-04 19:00:00,ETHUSD,SHORT,100,ARCA,453.88,45.388000000000005
2017-12-05 04:00:00,ETHUSD,LONG,100,ARCA,458.54,45.854000000000006
2017-12-05 16:00:00,ETHUSD,SHORT,100,ARCA,450.29,45.029
2017-12-09 03:00:00,ETHUSD,LONG,100,ARCA,456.8,45.68000000000001
2017-12-10 06:00:00,ETHUSD,SHORT,100,ARCA,434.63,43.463
2017-12-11 09:00:00,ETHUSD,LONG,100,ARCA,460.15,46.015
2017-12-22 08:00:00,ETHUSD,SHORT,100,ARCA,628.78,62.878
2017-12-26 04:00:00,ETHUSD,LONG,100,ARCA,732.65,73.265
2017-12-28 02:00:00,ETHUSD,SHORT,100,ARCA,685.0,68.5
2017-12-29 09:00:00,ETHUSD,LONG,100,ARCA,714.53,71.453
2017-12-30 04:00:00,ETHUSD,SHORT,100,ARCA,657.84,65.784
2017-12-31 16:00:00,ETHUSD,LONG,100,ARCA,734.62,73.462
2018-01-16 09:00:00,ETHUSD,SHORT,100,ARCA,1016.2,101.62
2018-01-25 07:00:00,ETHUSD,LONG,100,ARCA,1067.1,106.71
2018-01-25 17:00:00,ETHUSD,SHORT,100,ARCA,1047.2,104.72000000000001
2018-01-25 19:00:00,ETHUSD,LONG,100,ARCA,1065.1,106.50999999999999
2018-01-26 18:00:00,ETHUSD,SHORT,100,ARCA,1038.6,103.86
2018-01-26 20:00:00,ETHUSD,LONG,100,ARCA,1040.4,104.04000000000002
2018-01-31 04:00:00,ETHUSD,SHORT,100,ARCA,1068.9,106.89000000000001
2018-01-31 08:00:00,ETHUSD,LONG,100,ARCA,1092.1,109.21
2018-02-01 20:00:00,ETHUSD,SHORT,100,ARCA,1046.0,104.60000000000001
2018-02-12 08:00:00,ETHUSD,LONG,100,ARCA,866.19,86.61900000000001
2018-02-21 05:00:00,ETHUSD,SHORT,100,ARCA,873.32,87.33200000000001
2018-02-27 14:00:00,ETHUSD,LONG,100,ARCA,880.5,88.05000000000001
2018-02-27 20:00:00,ETHUSD,SHORT,100,ARCA,877.9,87.79
2018-02-28 03:00:00,ETHUSD,LONG,100,ARCA,885.35,88.53500000000001
2018-02-28 12:00:00,ETHUSD,SHORT,100,ARCA,858.99,85.899
2018-03-01 17:00:00,ETHUSD,LONG,100,ARCA,876.32,87.632
2018-03-02 20:00:00,ETHUSD,SHORT,100,ARCA,857.57,85.757
2018-03-03 01:00:00,ETHUSD,LONG,100,ARCA,866.68,86.668
2018-03-04 06:00:00,ETHUSD,SHORT,100,ARCA,842.43,84.243
2018-03-04 19:00:00,ETHUSD,LONG,100,ARCA,865.01,86.501
2018-03-06 00:00:00,ETHUSD,SHORT,100,ARCA,841.33,84.13300000000001
2018-04-08 11:00:00,ETHUSD,LONG,100,ARCA,400.96,40.096000000000004
2018-05-09 09:00:00,ETHUSD,SHORT,100,ARCA,729.99,72.99900000000001
2018-05-09 15:00:00,ETHUSD,LONG,100,ARCA,748.32,74.83200000000001
2018-05-11 01:00:00,ETHUSD,SHORT,100,ARCA,728.8,72.88
2018-05-20 10:00:00,ETHUSD,LONG,100,ARCA,713.25,71.325
2018-05-21 23:00:00,ETHUSD,SHORT,100,ARCA,696.13,69.613
2018-06-02 06:00:00,ETHUSD,LONG,100,ARCA,587.21,58.721000000000004
2018-06-10 02:00:00,ETHUSD,SHORT,100,ARCA,576.16,57.616
2018-06-19 09:00:00,ETHUSD,LONG,100,ARCA,522.21,52.221000000000004
