MACDStrategy_10_30,tickers,['ETHUSD'],initial equity,100000.0,frequency,60 min
Start date,2017-01-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-07-02 14:00:00,ETHUSD,LONG,100,ARCA,253.79,25.379
2017-07-04 16:00:00,ETHUSD,SHORT,100,ARCA,266.5,26.650000000000002
2017-07-06 00:00:00,ETHUSD,LONG,100,ARCA,262.25,26.225
2017-07-06 20:00:00,ETHUSD,SHORT,100,ARCA,262.54,26.254000000000005
2017-07-08 19:00:00,ETHUSD,LONG,100,ARCA,242.24,24.224000000000004
2017-07-09 14:00:00,ETHUSD,SHORT,100,ARCA,237.81,23.781000000000002
2017-07-12 09:00:00,ETHUSD,LONG,100,ARCA,201.0,20.1
2017-07-13 13:00:00,ETHUSD,SHORT,100,ARCA,205.94,20.594
2017-07-17 05:00:00,ETHUSD,LONG,100,ARCA,166.89,16.689
2017-07-19 19:00:00,ETHUSD,SHORT,100,ARCA,194.27,19.427000000000003
2017-07-20 14:00:00,ETHUSD,LONG,100,ARCA,227.31,22.731
2017-07-21 16:00:00,ETHUSD,SHORT,100,ARCA,220.42,22.042
2017-07-22 10:00:00,ETHUSD,LONG,100,ARCA,230.23,23.023
2017-07-23 11:00:00,ETHUSD,SHORT,100,ARCA,220.45,22.045
2017-07-23 20:00:00,ETHUSD,LONG,100,ARCA,231.56,23.156000000000002
2017-07-24 06:00:00,ETHUSD,SHORT,100,ARCA,225.22,22.522000000000002
2017-07-27 01:00:00,ETHUSD,LONG,100,ARCA,203.56,20.356
2017-07-27 21:00:00,ETHUSD,SHORT,100,ARCA,204.0,20.400000000000002
2017-07-28 05:00:00,ETHUSD,LONG,100,ARCA,202.69,20.269000000000002
2017-07-28 08:00:00,ETHUSD,SHORT,100,ARCA,199.41,19.941000000000003
2017-07-29 21:00:00,ETHUSD,LONG,100,ARCA,199.34,19.934
2017-07-30 21:00:00,ETHUSD,SHORT,100,ARCA,196.0,19.6
2017-07-31 21:00:00,ETHUSD,LONG,100,ARCA,199.36,19.936000000000003
2017-08-02 14:00:00,ETHUSD,SHORT,100,ARCA,217.44,21.744
2017-08-03 10:00:00,ETHUSD,LONG,100,ARCA,224.46,22.446
2017-08-04 11:00:00,ETHUSD,SHORT,100,ARCA,222.41,22.241
2017-08-04 18:00:00,ETHUSD,LONG,100,ARCA,264.65,26.465
2017-08-07 20:00:00,ETHUSD,SHORT,100,ARCA,265.61,26.561000000000003
2017-08-08 08:00:00,ETHUSD,LONG,100,ARCA,273.73,27.373000000000005
2017-08-09 15:00:00,ETHUSD,SHORT,100,ARCA,288.62,28.862000000000002
2017-08-10 10:00:00,ETHUSD,LONG,100,ARCA,299.36,29.936000000000003
2017-08-11 06:00:00,ETHUSD,SHORT,100,ARCA,301.0,30.1
2017-08-11 22:00:00,ETHUSD,LONG,100,ARCA,307.89,30.789
2017-08-13 01:00:00,ETHUSD,SHORT,100,ARCA,292.89,29.289
2017-08-14 03:00:00,ETHUSD,LONG,100,ARCA,301.0,30.1
2017-08-14 21:00:00,ETHUSD,SHORT,100,ARCA,297.25,29.725
2017-08-16 10:00:00,ETHUSD,LONG,100,ARCA,290.96,29.096
2017-08-17 21:00:00,ETHUSD,SHORT,100,ARCA,302.08,30.208
2017-08-18 12:00:00,ETHUSD,LONG,100,ARCA,304.78,30.477999999999998
2017-08-18 16:00:00,ETHUSD,SHORT,100,ARCA,297.08,29.708
2017-08-19 23:00:00,ETHUSD,LONG,100,ARCA,292.78,29.278
2017-08-22 04:00:00,ETHUSD,SHORT,100,ARCA,295.24,29.524
2017-08-23 00:00:00,ETHUSD,LONG,100,ARCA,312.0,31.200000000000003
2017-08-24 01:00:00,ETHUSD,SHORT,100,ARCA,315.74,31.574
2017-08-24 11:00:00,ETHUSD,LONG,100,ARCA,324.4,32.44
2017-08-26 02:00:00,ETHUSD,SHORT,100,ARCA,326.11,32.611000000000004
2017-08-26 19:00:00,ETHUSD,LONG,100,ARCA,332.75,33.275
2017-09-02 02:00:00,ETHUSD,SHORT,100,ARCA,385.6,38.56
2017-09-03 08:00:00,ETHUSD,LONG,100,ARCA,355.18,35.518
2017-09-03 15:00:00,ETHUSD,SHORT,100,ARCA,335.9,33.589999999999996
2017-09-04 01:00:00,ETHUSD,LONG,100,ARCA,342.45,34.245
2017-09-04 03:00:00,ETHUSD,SHORT,100,ARCA,344.77,34.477
2017-09-05 14:00:00,ETHUSD,LONG,100,ARCA,305.01,30.501
2017-09-07 07:00:00,ETHUSD,SHORT,100,ARCA,323.45,32.345
2017-09-07 17:00:00,ETHUSD,LONG,100,ARCA,332.15,33.214999999999996
2017-09-08 09:00:00,ETHUSD,SHORT,100,ARCA,331.39,33.139
2017-09-10 20:00:00,ETHUSD,LONG,100,ARCA,301.0,30.1
2017-09-11 13:00:00,ETHUSD,SHORT,100,ARCA,298.36,29.836000000000002
2017-09-12 00:00:00,ETHUSD,LONG,100,ARCA,300.22,30.022000000000006
2017-09-12 20:00:00,ETHUSD,SHORT,100,ARCA,294.0,29.400000000000002
2017-09-14 07:00:00,ETHUSD,LONG,100,ARCA,272.3,27.230000000000004
2017-09-14 08:00:00,ETHUSD,SHORT,100,ARCA,270.53,27.052999999999997
2017-09-15 18:00:00,ETHUSD,LONG,100,ARCA,248.47,24.847
2017-09-16 16:00:00,ETHUSD,SHORT,100,ARCA,247.77,24.777
2017-09-17 17:00:00,ETHUSD,LONG,100,ARCA,261.37,26.137
2017-09-19 07:00:00,ETHUSD,SHORT,100,ARCA,281.1,28.110000000000003
2017-09-20 14:00:00,ETHUSD,LONG,100,ARCA,291.53,29.153
2017-09-21 03:00:00,ETHUSD,SHORT,100,ARCA,280.0,28.0
2017-09-23 02:00:00,ETHUSD,LONG,100,ARCA,263.87,26.387
2017-09-24 13:00:00,ETHUSD,SHORT,100,ARCA,286.74,28.674000000000003
2017-09-24 18:00:00,ETHUSD,LONG,100,ARCA,282.5,28.25
2017-09-26 12:00:00,ETHUSD,SHORT,100,ARCA,292.9,29.29
2017-09-27 10:00:00,ETHUSD,LONG,100,ARCA,297.0,29.700000000000003
