MACDStrategy_26_96,tickers,['ETHUSD'],initial equity,100000.0,frequency,60 min
Start date,2017-01-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-07-03 01:00:00,ETHUSD,LONG,100,ARCA,270.9,27.09
2017-07-05 11:00:00,ETHUSD,SHORT,100,ARCA,258.01,25.801000000000002
2017-07-13 12:00:00,ETHUSD,LONG,100,ARCA,207.44,20.744
2017-07-14 03:00:00,ETHUSD,SHORT,100,ARCA,198.31,19.831000000000003
2017-07-18 05:00:00,ETHUSD,LONG,100,ARCA,189.21,18.921000000000003
2017-07-25 04:00:00,ETHUSD,SHORT,100,ARCA,225.0,22.5
2017-07-30 15:00:00,ETHUSD,LONG,100,ARCA,197.49,19.749000000000002
2017-08-13 15:00:00,ETHUSD,SHORT,100,ARCA,295.7,29.57
2017-08-17 01:00:00,ETHUSD,LONG,100,ARCA,303.37,30.337000000000003
2017-08-19 09:00:00,ETHUSD,SHORT,100,ARCA,288.86,28.886000000000003
2017-08-21 06:00:00,ETHUSD,LONG,100,ARCA,319.08,31.908
2017-09-02 12:00:00,ETHUSD,SHORT,100,ARCA,354.68,35.468
2017-09-06 16:00:00,ETHUSD,LONG,100,ARCA,337.09,33.708999999999996
2017-09-09 00:00:00,ETHUSD,SHORT,100,ARCA,302.0,30.200000000000003
2017-09-12 09:00:00,ETHUSD,LONG,100,ARCA,308.79,30.879000000000005
2017-09-13 07:00:00,ETHUSD,SHORT,100,ARCA,278.88,27.888
2017-09-16 21:00:00,ETHUSD,LONG,100,ARCA,254.37,25.437
2017-09-17 07:00:00,ETHUSD,SHORT,100,ARCA,241.67,24.167
2017-09-17 17:00:00,ETHUSD,LONG,100,ARCA,261.37,26.137
2017-09-21 15:00:00,ETHUSD,SHORT,100,ARCA,272.0,27.200000000000003
2017-09-23 23:00:00,ETHUSD,LONG,100,ARCA,285.89,28.589
2017-09-29 12:00:00,ETHUSD,SHORT,100,ARCA,299.61,29.961000000000002
2017-09-30 15:00:00,ETHUSD,LONG,100,ARCA,304.88,30.488
2017-10-03 05:00:00,ETHUSD,SHORT,100,ARCA,295.22,29.522000000000006
2017-10-06 07:00:00,ETHUSD,LONG,100,ARCA,299.67,29.967000000000002
2017-10-09 18:00:00,ETHUSD,SHORT,100,ARCA,291.53,29.153
2017-10-12 09:00:00,ETHUSD,LONG,100,ARCA,307.21,30.721
2017-10-17 05:00:00,ETHUSD,SHORT,100,ARCA,325.48,32.548
2017-10-24 15:00:00,ETHUSD,LONG,100,ARCA,305.77,30.576999999999998
2017-10-27 13:00:00,ETHUSD,SHORT,100,ARCA,293.65,29.365
2017-10-29 13:00:00,ETHUSD,LONG,100,ARCA,306.1,30.610000000000003
2017-11-01 13:00:00,ETHUSD,SHORT,100,ARCA,297.85,29.785000000000004
2017-11-04 04:00:00,ETHUSD,LONG,100,ARCA,298.01,29.801000000000002
2017-11-07 16:00:00,ETHUSD,SHORT,100,ARCA,288.34,28.834
2017-11-08 20:00:00,ETHUSD,LONG,100,ARCA,316.69,31.669
2017-11-11 05:00:00,ETHUSD,SHORT,100,ARCA,298.32,29.832
2017-11-13 12:00:00,ETHUSD,LONG,100,ARCA,311.74,31.174000000000003
2017-11-29 08:00:00,ETHUSD,SHORT,100,ARCA,469.43,46.943000000000005
2017-11-29 12:00:00,ETHUSD,LONG,100,ARCA,508.03,50.803
2017-11-29 23:00:00,ETHUSD,SHORT,100,ARCA,420.34,42.034
2017-12-02 07:00:00,ETHUSD,LONG,100,ARCA,463.01,46.301
2017-12-05 08:00:00,ETHUSD,SHORT,100,ARCA,466.78,46.678
2017-12-09 03:00:00,ETHUSD,LONG,100,ARCA,456.8,45.68000000000001
2017-12-22 05:00:00,ETHUSD,SHORT,100,ARCA,665.01,66.501
2017-12-25 16:00:00,ETHUSD,LONG,100,ARCA,706.59,70.659
2017-12-28 13:00:00,ETHUSD,SHORT,100,ARCA,692.99,69.299
2017-12-29 21:00:00,ETHUSD,LONG,100,ARCA,724.81,72.481
2017-12-30 05:00:00,ETHUSD,SHORT,100,ARCA,686.24,68.62400000000001
2017-12-31 20:00:00,ETHUSD,LONG,100,ARCA,740.96,74.096
2018-01-11 23:00:00,ETHUSD,SHORT,100,ARCA,1135.1,113.50999999999999
2018-01-13 04:00:00,ETHUSD,LONG,100,ARCA,1281.8,128.18
2018-01-16 03:00:00,ETHUSD,SHORT,100,ARCA,1223.7,122.37
2018-01-19 21:00:00,ETHUSD,LONG,100,ARCA,1015.9,101.59
2018-01-22 05:00:00,ETHUSD,SHORT,100,ARCA,1046.6,104.66
2018-01-25 02:00:00,ETHUSD,LONG,100,ARCA,1087.0,108.7
2018-01-30 19:00:00,ETHUSD,SHORT,100,ARCA,1104.2,110.42000000000002
2018-02-07 21:00:00,ETHUSD,LONG,100,ARCA,816.48,81.64800000000001
2018-02-11 11:00:00,ETHUSD,SHORT,100,ARCA,821.35,82.135
2018-02-12 10:00:00,ETHUSD,LONG,100,ARCA,870.28,87.028
2018-02-13 22:00:00,ETHUSD,SHORT,100,ARCA,838.89,83.88900000000001
2018-02-14 06:00:00,ETHUSD,LONG,100,ARCA,864.13,86.41300000000001
2018-02-18 23:00:00,ETHUSD,SHORT,100,ARCA,913.11,91.311
2018-02-20 05:00:00,ETHUSD,LONG,100,ARCA,945.97,94.59700000000001
2018-02-20 13:00:00,ETHUSD,SHORT,100,ARCA,943.68,94.368
2018-02-26 01:00:00,ETHUSD,LONG,100,ARCA,852.11,85.21100000000001
2018-03-01 12:00:00,ETHUSD,SHORT,100,ARCA,864.01,86.40100000000001
2018-03-02 05:00:00,ETHUSD,LONG,100,ARCA,869.05,86.905
2018-03-02 10:00:00,ETHUSD,SHORT,100,ARCA,860.84,86.084
2018-03-05 12:00:00,ETHUSD,LONG,100,ARCA,867.04,86.70400000000001
2018-03-06 03:00:00,ETHUSD,SHORT,100,ARCA,844.29,84.429
2018-03-12 05:00:00,ETHUSD,LONG,100,ARCA,723.18,72.318
2018-03-13 08:00:00,ETHUSD,SHORT,100,ARCA,698.98,69.89800000000001
2018-03-20 23:00:00,ETHUSD,LONG,100,ARCA,556.38,55.638000000000005
