MACDStrategy_30_120,tickers,['ETHUSD'],initial equity,100000.0,frequency,60 min
Start date,2017-01-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-07-03 03:00:00,ETHUSD,LONG,100,ARCA,272.73,27.273000000000003
2017-07-05 14:00:00,ETHUSD,SHORT,100,ARCA,252.99,25.299000000000003
2017-07-18 12:00:00,ETHUSD,LONG,100,ARCA,191.38,19.138
2017-07-25 07:00:00,ETHUSD,SHORT,100,ARCA,212.12,21.212000000000003
2017-07-30 20:00:00,ETHUSD,LONG,100,ARCA,196.94,19.694000000000003
2017-07-31 09:00:00,ETHUSD,SHORT,100,ARCA,194.08,19.408
2017-08-01 02:00:00,ETHUSD,LONG,100,ARCA,206.08,20.608000000000004
2017-08-13 18:00:00,ETHUSD,SHORT,100,ARCA,291.95,29.195
2017-08-17 08:00:00,ETHUSD,LONG,100,ARCA,308.34,30.834
2017-08-19 11:00:00,ETHUSD,SHORT,100,ARCA,280.86,28.086000000000002
2017-08-21 08:00:00,ETHUSD,LONG,100,ARCA,319.4,31.939999999999998
2017-09-02 17:00:00,ETHUSD,SHORT,100,ARCA,344.89,34.489
2017-09-07 01:00:00,ETHUSD,LONG,100,ARCA,323.52,32.352
2017-09-09 04:00:00,ETHUSD,SHORT,100,ARCA,297.0,29.700000000000003
2017-09-18 02:00:00,ETHUSD,LONG,100,ARCA,282.39,28.239
2017-09-21 23:00:00,ETHUSD,SHORT,100,ARCA,256.67,25.667
2017-09-24 04:00:00,ETHUSD,LONG,100,ARCA,284.0,28.400000000000002
2017-09-29 20:00:00,ETHUSD,SHORT,100,ARCA,293.12,29.312
2017-09-30 14:00:00,ETHUSD,LONG,100,ARCA,303.96,30.396
2017-10-03 05:00:00,ETHUSD,SHORT,100,ARCA,295.22,29.522000000000006
2017-10-06 12:00:00,ETHUSD,LONG,100,ARCA,301.5,30.150000000000002
2017-10-10 01:00:00,ETHUSD,SHORT,100,ARCA,296.29,29.629000000000005
2017-10-12 17:00:00,ETHUSD,LONG,100,ARCA,305.12,30.512
2017-10-17 15:00:00,ETHUSD,SHORT,100,ARCA,319.52,31.951999999999998
2017-10-24 20:00:00,ETHUSD,LONG,100,ARCA,302.0,30.200000000000003
2017-10-28 07:00:00,ETHUSD,SHORT,100,ARCA,293.11,29.311000000000003
2017-10-29 14:00:00,ETHUSD,LONG,100,ARCA,307.0,30.700000000000003
2017-11-01 20:00:00,ETHUSD,SHORT,100,ARCA,296.56,29.656000000000002
2017-11-04 11:00:00,ETHUSD,LONG,100,ARCA,300.23,30.023000000000003
2017-11-07 21:00:00,ETHUSD,SHORT,100,ARCA,292.9,29.29
2017-11-08 22:00:00,ETHUSD,LONG,100,ARCA,309.42,30.942000000000004
2017-11-11 10:00:00,ETHUSD,SHORT,100,ARCA,299.76,29.976
2017-11-12 17:00:00,ETHUSD,LONG,100,ARCA,315.2,31.52
2017-11-13 01:00:00,ETHUSD,SHORT,100,ARCA,315.84,31.584
2017-11-13 17:00:00,ETHUSD,LONG,100,ARCA,309.63,30.963
2017-11-29 23:00:00,ETHUSD,SHORT,100,ARCA,420.34,42.034
2017-12-02 13:00:00,ETHUSD,LONG,100,ARCA,459.45,45.945
2017-12-06 03:00:00,ETHUSD,SHORT,100,ARCA,445.75,44.575
2017-12-09 08:00:00,ETHUSD,LONG,100,ARCA,479.59,47.959
2017-12-22 08:00:00,ETHUSD,SHORT,100,ARCA,628.78,62.878
2017-12-26 01:00:00,ETHUSD,LONG,100,ARCA,719.15,71.915
2017-12-28 23:00:00,ETHUSD,SHORT,100,ARCA,711.42,71.142
2017-12-29 19:00:00,ETHUSD,LONG,100,ARCA,748.01,74.801
2017-12-30 07:00:00,ETHUSD,SHORT,100,ARCA,696.3,69.63
2018-01-01 03:00:00,ETHUSD,LONG,100,ARCA,731.3,73.13
2018-01-12 08:00:00,ETHUSD,SHORT,100,ARCA,1189.0,118.9
2018-01-13 02:00:00,ETHUSD,LONG,100,ARCA,1285.4,128.54000000000002
2018-01-16 08:00:00,ETHUSD,SHORT,100,ARCA,1096.1,109.61
2018-01-20 11:00:00,ETHUSD,LONG,100,ARCA,1098.7,109.87
2018-01-22 15:00:00,ETHUSD,SHORT,100,ARCA,954.5,95.45
2018-01-25 10:00:00,ETHUSD,LONG,100,ARCA,1067.1,106.71
2018-01-31 02:00:00,ETHUSD,SHORT,100,ARCA,1089.4,108.94000000000001
2018-02-08 11:00:00,ETHUSD,LONG,100,ARCA,833.5,83.35000000000001
2018-02-12 00:00:00,ETHUSD,SHORT,100,ARCA,823.09,82.30900000000001
2018-02-12 10:00:00,ETHUSD,LONG,100,ARCA,870.28,87.028
2018-02-14 03:00:00,ETHUSD,SHORT,100,ARCA,852.99,85.299
2018-02-14 12:00:00,ETHUSD,LONG,100,ARCA,889.85,88.98500000000001
2018-02-19 07:00:00,ETHUSD,SHORT,100,ARCA,943.9,94.39
2018-02-20 05:00:00,ETHUSD,LONG,100,ARCA,945.97,94.59700000000001
2018-02-20 20:00:00,ETHUSD,SHORT,100,ARCA,916.99,91.69900000000001
2018-02-26 08:00:00,ETHUSD,LONG,100,ARCA,840.32,84.03200000000001
2018-03-02 20:00:00,ETHUSD,SHORT,100,ARCA,857.57,85.757
2018-03-05 16:00:00,ETHUSD,LONG,100,ARCA,857.29,85.729
2018-03-06 01:00:00,ETHUSD,SHORT,100,ARCA,841.66,84.166
2018-03-12 13:00:00,ETHUSD,LONG,100,ARCA,728.74,72.87400000000001
2018-03-13 12:00:00,ETHUSD,SHORT,100,ARCA,685.2,68.52000000000001
2018-03-21 11:00:00,ETHUSD,LONG,100,ARCA,572.97,57.297000000000004
2018-03-23 06:00:00,ETHUSD,SHORT,100,ARCA,513.0,51.300000000000004
2018-04-03 12:00:00,ETHUSD,LONG,100,ARCA,402.55,40.255
2018-04-05 01:00:00,ETHUSD,SHORT,100,ARCA,367.94,36.794000000000004
2018-04-08 05:00:00,ETHUSD,LONG,100,ARCA,388.43,38.843
2018-04-18 03:00:00,ETHUSD,SHORT,100,ARCA,506.8,50.68000000000001
2018-04-18 09:00:00,ETHUSD,LONG,100,ARCA,514.44,51.44400000000001
