,open,close,high,low,volume
2017-06-25 01:00:00,0.9189,0.9189,0.9189,0.91601,0.07268774
2017-06-25 02:00:00,0.893,0.893,0.893,0.893,0.02768175
2017-06-25 03:00:00,0.893,0.893,0.893,0.893,0.02768175
2017-06-25 04:00:00,0.893,0.893,0.893,0.893,0.02768175
2017-06-25 05:00:00,0.893,0.893,0.893,0.893,0.02768175
2017-06-25 06:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 07:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 08:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 09:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 10:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 11:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 12:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 13:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 14:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 15:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 16:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 17:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 18:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 19:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 20:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 21:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 22:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-25 23:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-26 00:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-26 01:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-26 02:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-26 03:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-26 04:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-26 05:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-26 06:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-26 07:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-26 08:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-26 09:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-26 10:00:00,0.895,0.895,0.895,0.895,0.04903491
2017-06-26 11:00:00,0.8909999999999999,0.9189,0.9189,0.888,1.40065786
2017-06-26 12:00:00,0.8909999999999999,0.9189,0.9189,0.888,1.40065786
2017-06-26 13:00:00,0.8909999999999999,0.9189,0.9189,0.888,1.40065786
2017-06-26 14:00:00,0.8909999999999999,0.9189,0.9189,0.888,1.40065786
2017-06-26 15:00:00,0.9179999999999999,0.9189,0.9189,0.9179999999999999,0.03405953
2017-06-26 16:00:00,0.9179999999999999,0.9189,0.9189,0.9179999999999999,0.03405953
2017-06-26 17:00:00,0.9189,0.9189,0.9189,0.9189,0.015
2017-06-26 18:00:00,0.9189,0.9189,0.9189,0.9189,0.015
2017-06-26 19:00:00,0.9189,0.9189,0.9189,0.9189,0.015
2017-06-26 20:00:00,0.9189,0.9189,0.9189,0.9189,0.015
2017-06-26 21:00:00,0.9179,0.9179,0.9179,0.9179,0.02
2017-06-26 22:00:00,0.9179,0.9179,0.9179,0.9179,0.02
2017-06-26 23:00:00,0.9179,0.9179,0.9179,0.9179,0.02
2017-06-27 00:00:00,0.9179,0.9179,0.9179,0.9179,0.02
2017-06-27 01:00:00,0.9179,0.9179,0.9179,0.9179,0.02
2017-06-27 02:00:00,0.9179,0.9179,0.9179,0.9179,0.02
2017-06-27 03:00:00,0.9179,0.9179,0.9179,0.9179,0.02
2017-06-27 04:00:00,0.9179,0.9179,0.9179,0.9179,0.02
2017-06-27 05:00:00,0.9179,0.9179,0.9179,0.9179,0.02
2017-06-27 06:00:00,0.9179,0.9179,0.9179,0.9179,0.02
2017-06-27 07:00:00,0.9189,0.888,0.9189,0.888,0.30233550000000003
2017-06-27 08:00:00,0.9189,0.888,0.9189,0.888,0.30233550000000003
2017-06-27 09:00:00,0.9189,0.888,0.9189,0.888,0.30233550000000003
2017-06-27 10:00:00,0.9189,0.888,0.9189,0.888,0.30233550000000003
2017-06-27 11:00:00,0.9189,0.888,0.9189,0.888,0.30233550000000003
2017-06-27 12:00:00,0.9189,0.888,0.9189,0.888,0.30233550000000003
2017-06-27 13:00:00,0.9189,0.888,0.9189,0.888,0.30233550000000003
2017-06-27 14:00:00,0.888,0.889,0.889,0.888,1.26958881
2017-06-27 15:00:00,0.888,0.889,0.889,0.888,1.26958881
2017-06-27 16:00:00,0.888,0.889,0.889,0.888,1.26958881
2017-06-27 17:00:00,0.888,0.889,0.889,0.888,1.26958881
2017-06-27 18:00:00,0.888,0.889,0.889,0.888,1.26958881
2017-06-27 19:00:00,0.888,0.889,0.889,0.888,1.26958881
2017-06-27 20:00:00,0.888,0.889,0.889,0.888,1.26958881
2017-06-27 21:00:00,0.888,0.889,0.889,0.888,1.26958881
2017-06-27 22:00:00,0.87,0.87,0.87,0.87,0.03174591
2017-06-27 23:00:00,0.87,0.87,0.87,0.87,0.03174591
2017-06-28 00:00:00,0.87,0.87,0.87,0.87,0.03174591
2017-06-28 01:00:00,0.87,0.87,0.87,0.87,0.03174591
2017-06-28 02:00:00,0.89,0.89,0.89,0.89,0.017932
2017-06-28 03:00:00,0.89,0.89,0.89,0.89,0.017932
2017-06-28 04:00:00,0.89,0.89,0.89,0.89,0.017932
2017-06-28 05:00:00,0.89,0.89,0.89,0.89,0.017932
2017-06-28 06:00:00,0.89,0.89,0.89,0.89,0.017932
