ADXStrategy_60,tickers,['BTCUSDT'],initial equity,100000.0,frequency,60 min
Start date,2017-05-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-27 23:00:00,BTCUSDT,LONG,100,Binance,5768.83,576.883
2017-10-28 11:00:00,BTCUSDT,SHORT,100,Binance,5680.28,568.028
2017-10-29 07:00:00,BTCUSDT,LONG,100,Binance,5799.99,579.999
2017-10-29 13:00:00,BTCUSDT,SHORT,100,Binance,5790.0,579.0
2017-10-29 14:00:00,BTCUSDT,LONG,100,Binance,5790.04,579.004
2017-11-04 22:00:00,BTCUSDT,SHORT,100,Binance,7325.03,732.503
2017-11-04 23:00:00,BTCUSDT,LONG,100,Binance,7357.09,735.7090000000001
2017-11-05 09:00:00,BTCUSDT,SHORT,100,Binance,7416.87,741.687
2017-11-05 11:00:00,BTCUSDT,LONG,100,Binance,7513.82,751.3820000000001
2017-11-05 15:00:00,BTCUSDT,SHORT,100,Binance,7499.87,749.9870000000001
2017-11-06 12:00:00,BTCUSDT,LONG,100,Binance,7399.98,739.998
2017-11-06 14:00:00,BTCUSDT,SHORT,100,Binance,7289.93,728.993
2017-11-08 17:00:00,BTCUSDT,LONG,100,Binance,7499.87,749.9870000000001
2017-11-08 18:00:00,BTCUSDT,SHORT,100,Binance,7070.0,707.0
2017-11-10 02:00:00,BTCUSDT,LONG,100,Binance,7217.0,721.7
2017-11-10 05:00:00,BTCUSDT,SHORT,100,Binance,7168.35,716.835
2017-11-14 01:00:00,BTCUSDT,LONG,100,Binance,6600.03,660.003
2017-11-18 19:00:00,BTCUSDT,SHORT,100,Binance,7726.14,772.614
2017-11-19 01:00:00,BTCUSDT,LONG,100,Binance,7804.96,780.4960000000001
2017-11-19 05:00:00,BTCUSDT,SHORT,100,Binance,7750.04,775.004
2017-11-19 19:00:00,BTCUSDT,LONG,100,Binance,8024.98,802.498
2017-11-19 22:00:00,BTCUSDT,SHORT,100,Binance,7998.98,799.898
2017-11-19 23:00:00,BTCUSDT,LONG,100,Binance,8038.0,803.8000000000001
2017-11-20 03:00:00,BTCUSDT,SHORT,100,Binance,7972.55,797.2550000000001
2017-11-20 06:00:00,BTCUSDT,LONG,100,Binance,8009.59,800.9590000000001
2017-11-22 05:00:00,BTCUSDT,SHORT,100,Binance,8187.7,818.77
2017-11-25 12:00:00,BTCUSDT,LONG,100,Binance,8499.0,849.9000000000001
2017-11-29 19:00:00,BTCUSDT,SHORT,100,Binance,9306.0,930.6
2017-12-02 07:00:00,BTCUSDT,LONG,100,Binance,10931.04,1093.104
2017-12-04 09:00:00,BTCUSDT,SHORT,100,Binance,11346.81,1134.681
2017-12-05 02:00:00,BTCUSDT,LONG,100,Binance,11521.37,1152.1370000000002
2017-12-05 10:00:00,BTCUSDT,SHORT,100,Binance,11640.47,1164.047
2017-12-05 12:00:00,BTCUSDT,LONG,100,Binance,11718.99,1171.8990000000001
2017-12-05 16:00:00,BTCUSDT,SHORT,100,Binance,11608.0,1160.8
2017-12-06 07:00:00,BTCUSDT,LONG,100,Binance,12426.93,1242.6930000000002
2017-12-09 09:00:00,BTCUSDT,SHORT,100,Binance,14899.96,1489.996
2017-12-11 20:00:00,BTCUSDT,LONG,100,Binance,17205.0,1720.5
2017-12-13 02:00:00,BTCUSDT,SHORT,100,Binance,15299.97,1529.997
2017-12-13 06:00:00,BTCUSDT,LONG,100,Binance,16135.68,1613.5680000000002
2017-12-13 07:00:00,BTCUSDT,SHORT,100,Binance,16089.17,1608.9170000000001
2017-12-13 09:00:00,BTCUSDT,LONG,100,Binance,15925.01,1592.5010000000002
2017-12-13 11:00:00,BTCUSDT,SHORT,100,Binance,15842.17,1584.217
2017-12-15 03:00:00,BTCUSDT,LONG,100,Binance,17119.0,1711.9
2017-12-15 06:00:00,BTCUSDT,SHORT,100,Binance,17144.48,1714.448
2017-12-15 08:00:00,BTCUSDT,LONG,100,Binance,17299.02,1729.902
2017-12-18 01:00:00,BTCUSDT,SHORT,100,Binance,18142.32,1814.232
2017-12-18 03:00:00,BTCUSDT,LONG,100,Binance,18570.03,1857.003
2017-12-18 13:00:00,BTCUSDT,SHORT,100,Binance,18606.0,1860.6000000000001
2017-12-18 15:00:00,BTCUSDT,LONG,100,Binance,18670.0,1867.0
