,Parameters,Target
120,"[97.0, 75.0, 45.0]",0.08847656809682802
121,"[101.0, 65.0, 45.0]",-0.5381299070867851
122,"[35.0, 75.0, 25.0]",-0.12311735454827089
123,"[100.0, 75.0, 25.0]",0.0
124,"[119.0, 67.0, 45.0]",-0.2561847951090045
125,"[89.0, 75.0, 35.0]",-0.19205008458682693
126,"[33.0, 55.0, 25.0]",0.0982352957442838
127,"[207.0, 75.0, 25.0]",0.0
128,"[130.0, 75.0, 36.0]",-0.01784986284535528
129,"[53.0, 58.0, 43.0]",-0.5203129187716184
130,"[122.0, 61.0, 29.0]",0.0
131,"[134.0, 75.0, 45.0]",0.1722426609765808
132,"[191.0, 64.0, 45.0]",0.15734825320070445
133,"[169.0, 59.0, 32.0]",0.0
134,"[103.0, 75.0, 36.0]",-0.239727933972116
135,"[17.0, 75.0, 45.0]",-0.4271158023049959
136,"[136.0, 65.0, 45.0]",-0.23876237195183259
137,"[167.0, 75.0, 45.0]",0.1722426609765808
138,"[228.0, 55.0, 39.0]",0.04521571630447818
139,"[212.0, 55.0, 32.0]",0.0
140,"[40.0, 75.0, 45.0]",-0.12129597942448733
141,"[240.0, 75.0, 35.0]",0.0
142,"[194.0, 75.0, 36.0]",0.0
143,"[145.0, 62.0, 34.0]",0.0
144,"[29.0, 63.0, 31.0]",-0.4772638140000821
145,"[18.0, 55.0, 36.0]",-0.6329121010942312
146,"[1.0, 75.0, 34.0]",-0.8511762109254872
147,"[75.0, 75.0, 25.0]",0.0
148,"[16.0, 74.0, 34.0]",-0.5504210650544332
149,"[160.0, 63.0, 25.0]",0.0
150,"[175.0, 66.0, 45.0]",0.29827964853724964
151,"[128.0, 68.0, 45.0]",-0.13891877251807583
152,"[133.0, 64.0, 25.0]",0.0
153,"[152.0, 66.0, 45.0]",0.0016907121916291956
154,"[89.0, 72.0, 32.0]",0.06050128709220037
155,"[123.0, 64.0, 31.0]",0.0
156,"[180.0, 55.0, 25.0]",0.0
157,"[72.0, 75.0, 45.0]",0.05472797808124952
158,"[171.0, 69.0, 39.0]",0.18186778468667053
159,"[87.0, 67.0, 45.0]",-0.5035513268348784
160,"[18.0, 64.0, 45.0]",-0.6901820533038361
161,"[60.0, 65.0, 31.0]",-0.33023859986235327
162,"[88.0, 55.0, 33.0]",0.09237291627841504
163,"[76.0, 75.0, 36.0]",0.11027384546492858
164,"[77.0, 55.0, 34.0]",-0.16508705841969817
165,"[125.0, 55.0, 45.0]",-0.3868981903195676
166,"[187.0, 66.0, 25.0]",0.0
167,"[151.0, 69.0, 37.0]",-0.12218214416176365
168,"[119.0, 66.0, 36.0]",-0.17496009011905211
169,"[116.0, 72.0, 39.0]",0.17230537399988344
170,"[129.0, 55.0, 34.0]",0.0
171,"[57.0, 55.0, 41.0]",-0.4346027243840749
172,"[153.0, 55.0, 33.0]",0.0
173,"[122.0, 71.0, 35.0]",0.07989741442584997
174,"[171.0, 55.0, 45.0]",-0.17678121914694123
175,"[228.0, 65.0, 25.0]",0.0
176,"[31.0, 63.0, 29.0]",-0.18435385559088513
177,"[73.0, 65.0, 45.0]",-0.7056006608728709
178,"[7.0, 67.0, 45.0]",0.6461588833656284
179,"[30.0, 73.0, 34.0]",-0.4733434975190216
180,"[126.0, 67.0, 37.0]",-0.17072135705654334
181,"[110.0, 68.0, 45.0]",-0.2475353497897419
182,"[163.0, 75.0, 25.0]",0.0
183,"[20.0, 63.0, 34.0]",-0.6258150216261558
184,"[155.0, 64.0, 31.0]",0.0
185,"[129.0, 66.0, 31.0]",0.0
186,"[57.0, 67.0, 45.0]",-0.26182214976305274
187,"[56.0, 75.0, 25.0]",0.0
188,"[168.0, 67.0, 25.0]",0.0
189,"[7.0, 69.0, 42.0]",0.8913892974957012
