,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,long_window,short_window
67,nan%,0.06%,0.06%,0 days 00:12:00.000000000,0.06%,0.24259999999999282,190,0.16275115281960162,0.000548000000000215,100%,1,0.06%,0 days 00:12:00.000000000,252,60
68,-0.39%,-0.06%,0.28%,0 days 00:17:30.000000000,0.28%,0.7312446518010735,177,-0.14739134961445705,-0.0008499999999996843,50%,2,-0.39%,0 days 00:24:00.000000000,84,72
69,-0.35%,-0.03%,0.28%,0 days 00:18:30.000000000,0.28%,0.6714046639286619,177,0.1197620409850168,0.0006499999999995953,50%,2,-0.35%,0 days 00:26:00.000000000,96,72
70,nan%,0.28%,0.28%,0 days 00:11:00.000000000,0.28%,0.1177040919129268,177,1.0262042177064934,0.0026479999999997617,100%,1,0.28%,0 days 00:11:00.000000000,120,72
71,nan%,0.28%,0.28%,0 days 00:11:00.000000000,0.28%,0.1177040919129268,177,1.0262042177064934,0.0026479999999997617,100%,1,0.28%,0 days 00:11:00.000000000,252,72
72,-0.11%,0.02%,0.14%,0 days 00:15:30.000000000,0.14%,0.339799999999979,99,0.05613602623894468,0.00021600000000021602,50%,2,-0.11%,0 days 00:10:00.000000000,96,84
73,-0.11%,-0.05%,0.01%,0 days 00:07:30.000000000,0.01%,0.22379999999997402,176,-0.5972961516800407,-0.0010239999999996918,50%,2,-0.11%,0 days 00:10:00.000000000,120,84
74,-0.11%,-0.11%,nan%,0 days 00:10:00.000000000,-0.11%,0.14459999999997253,176,-0.8527029996276836,-0.0010719999999998508,0%,1,-0.11%,0 days 00:10:00.000000000,252,84
75,-0.06%,0.01%,0.08%,0 days 00:09:30.000000000,0.08%,0.22972387190596585,92,0.007085672623858584,1.6000000000238046e-05,50%,2,-0.06%,0 days 00:09:00.000000000,120,96
76,-0.06%,-0.06%,nan%,0 days 00:09:00.000000000,-0.06%,0.17588145589875592,163,-0.38907317962124766,-0.000672000000000117,0%,1,-0.06%,0 days 00:09:00.000000000,252,96
77,-0.33%,-0.33%,nan%,0 days 00:09:00.000000000,-0.33%,0.32720000000000526,140,-1.6063824232147144,-0.0032720000000000526,0%,1,-0.33%,0 days 00:09:00.000000000,252,120
